# L (m), R (m), T (K), P_Drude (mPa), P_Plasma (mPa), P_PFA_Drude (mPa), P_PFA_Plasma (mPa)
5.3e-07, 7.5e-05, 295, -12.3253683982, -13.3353848124, -12.3588062846, -13.3898996879
5.35e-07, 7.5e-05, 295, -11.8817956247, -12.865716608, -11.9139547475, -12.9185529666
5.4e-07, 7.5e-05, 295, -11.4573052189, -12.4160073463, -11.4888001071, -12.4678032893
5.45e-07, 7.5e-05, 295, -11.0519877109, -11.9863354858, -11.0823079034, -12.0365782864
5.5e-07, 7.5e-05, 295, -10.6640629854, -11.5748668549, -10.693506447, -11.6238702589
5.55e-07, 7.5e-05, 295, -10.2926387663, -11.1806753747, -10.3214825043, -11.2287317542
5.6e-07, 7.5e-05, 295, -9.93747609036, -10.8035044583, -9.9653773135, -10.8502714777
5.65e-07, 7.5e-05, 295, -9.59739986132, -10.4421395107, -9.62438290379, -10.4876505166
5.7e-07, 7.5e-05, 295, -9.27137744326, -10.0955128846, -9.29773869114, -10.140078846
5.75e-07, 7.5e-05, 295, -8.95911561291, -9.76331304969, -8.98472832981, -9.80681209525
5.8e-07, 7.5e-05, 295, -8.65977229348, -9.4446677683, -8.68467679666, -9.48714855416
5.85e-07, 7.5e-05, 295, -8.37271386359, -9.13891817517, -8.39694769038, -9.18042639758
5.9e-07, 7.5e-05, 295, -8.09750028002, -8.84560475236, -8.12094072702, -8.88602111284
5.95e-07, 7.5e-05, 295, -7.83303500917, -8.56359326889, -7.8560894175, -8.60334311096
6e-07, 7.5e-05, 295, -7.57967603003, -8.29324470173, -7.60185891135, -8.33183551031
6.05e-07, 7.5e-05, 295, -7.3360185683, -8.03310866079, -7.35774399447, -8.07097207661
6.1e-07, 7.5e-05, 295, -7.1021313133, -7.78324882287, -7.12326722758, -7.82025530808
6.15e-07, 7.5e-05, 295, -6.87739851532, -7.54302604598, -6.89797721594, -7.5792146547
6.2e-07, 7.5e-05, 295, -6.66138775776, -7.31198980671, -6.68144699904, -7.34740485978
