# L = 8.5508357477912e-06 [m]
# T = 0 [K]
# omega_p = 9 [eV]
# omega_p*L/c = 390
# E = E_PFA (1+theta_1*L/R)
# theta1 = -1.6975699232363
#
# L/R, R, ldim, E*(L+R)/(hbar*c), E_PFA*(L+R)/(hbar*c), E/E_PFA, 1-E/E_PFA, E/E_PFA-1-theta1*L/R
0.001, 0.00855083574779, 9000, -42745.3278433, -42814.6143997, 0.998381707801, 0.00161829219871, 7.9277724526e-05
0.0009, 0.00950092860866, 10001, -52775.1070964, -52852.2681672, 0.998540061316, 0.00145993868442, 6.78742464908e-05
0.0008, 0.0106885446847, 11251, -66797.4514642, -66884.4687988, 0.998698990421, 0.00130100957879, 5.70463597949e-05
0.0007, 0.0122154796397, 12858, -87250.8686706, -87350.5772387, 0.998858524222, 0.00114147577759, 4.68231686766e-05
