# L (m), R (m), T (K), F'_Drude (mPa), F'_Plasma (N/m), F'_PFA_Drude (N/m), F'_PFA_Plasma (N/m), F'_Drude/F'_PFA_Drude, F'_Plasma/F'_PFA_Plasma, F'_Plasma_xi0 (N/m), F'_Plasma_xi0/F'_PFA_Plasma_xi0
1.15e-07, 1.2e-05, 295, 0.000277014428199, 0.000280595114398, 0.000278215063286, 0.000281918956185, 0.995684507253, 0.995304176048, 3.58068619955e-06, 0.96673589037
1.2e-07, 1.2e-05, 295, 0.000237895797125, 0.000241152693449, 0.000238974751814, 0.000242346658233, 0.995485068275, 0.995073318558, 3.25689632379e-06, 0.965891670505
1.25e-07, 1.2e-05, 295, 0.000205510102281, 0.000208481111532, 0.000206483197288, 0.000209561788444, 0.995287292039, 0.994843158575, 2.97100925192e-06, 0.965054825896
1.3e-07, 1.2e-05, 295, 0.000178501962861, 0.000181219585851, 0.000179382529637, 0.000182200982846, 0.995091122991, 0.994613656968, 2.71762299011e-06, 0.964224980365
1.35e-07, 1.2e-05, 295, 0.00015582610681, 0.000158318343757, 0.000156625409001, 0.000159212322322, 0.994896727192, 0.994384991362, 2.49223694642e-06, 0.963401798759
1.4e-07, 1.2e-05, 295, 0.000136668322174, 0.000138959402687, 0.00013739599475, 0.00013977612801, 0.994703829777, 0.994156904081, 2.29108051301e-06, 0.96258497435
1.45e-07, 1.2e-05, 295, 0.000120388683395, 0.0001224996615, 0.000121052943391, 0.000123247822429, 0.994512648949, 0.993929621525, 2.11097810546e-06, 0.961774234125
1.5e-07, 1.2e-05, 295, 0.000106479864224, 0.000108429106278, 0.000107087793728, 0.00010911620608, 0.994323073786, 0.993703045342, 1.94924205397e-06, 0.960969327259
1.55e-07, 1.2e-05, 295, 9.45365081792e-05, 9.63400952481e-05, 9.50942421392e-05, 9.69726459916e-05, 0.994134934488, 0.993477018833, 1.80358706888e-06, 0.960170022304
1.6e-07, 1.2e-05, 295, 8.42323889277e-05, 8.59044504241e-05, 8.47452197721e-05, 8.64880831505e-05, 0.993948557266, 0.993251871181, 1.67206149637e-06, 0.959376114688
1.65e-07, 1.2e-05, 295, 7.53030470362e-05, 7.68560387035e-05, 7.5775622996e-05, 7.7395706527e-05, 0.993763483016, 0.993027160708, 1.5529916673e-06, 0.958587404658
1.7e-07, 1.2e-05, 295, 6.75328289978e-05, 6.89777657051e-05, 6.79691838438e-05, 6.94777775939e-05, 0.993580107612, 0.992803283207, 1.4449367073e-06, 0.957803720985
1.75e-07, 1.2e-05, 295, 6.0744705191e-05, 6.20913566897e-05, 6.1148402436e-05, 6.25555251855e-05, 0.993398073722, 0.99257989611, 1.34665149869e-06, 0.957024892909
1.8e-07, 1.2e-05, 295, 5.47925990821e-05, 5.604965539e-05, 5.51667652187e-05, 5.6481332848e-05, 0.993217544383, 0.992357165878, 1.25705630794e-06, 0.956250770169
1.85e-07, 1.2e-05, 295, 4.9555284159e-05, 5.07304958102e-05, 4.99026845621e-05, 5.1132652917e-05, 0.993038442597, 0.992135023633, 1.17521165125e-06, 0.955481209402
1.9e-07, 1.2e-05, 295, 4.49316594611e-05, 4.60319569222e-05, 4.52547453265e-05, 4.64072319011e-05, 0.992860729563, 0.991913437551, 1.10029746118e-06, 0.954716076903
1.95e-07, 1.2e-05, 295, 4.08370005417e-05, 4.18685962593e-05, 4.11379514937e-05, 4.22193394535e-05, 0.99268434764, 0.991692357133, 1.03159571754e-06, 0.953955246241
2e-07, 1.2e-05, 295, 3.71999940372e-05, 3.81684699611e-05, 3.74807436336e-05, 3.84967710554e-05, 0.992509497699, 0.991471983615, 9.68475923855e-07, 0.953198607743
2.05e-07, 1.2e-05, 295, 3.39603230138e-05, 3.48707058778e-05, 3.42226146502e-05, 3.5178451336e-05, 0.992335721888, 0.991251875892, 9.10382863993e-07, 0.952446037592
