# L (m), R (m), T (K), F_Drude (N), F_Plasma (N), F_PFA_Drude (N), F_PFA_Plasma (N), F_Drude/F_PFA_Drude, F_Plasma/F_PFA_Plasma, F_Plasma_xi0 (N), F_Plasma_xi0/F_PFA_Plasma_xi0
1.15e-07, 1.2e-05, 295, -1.20248518586e-11, -1.2301383601e-11, -1.21046594913e-11, -1.23969660089e-11, 0.993406866771, 0.992289854806, -2.76531742463e-13, 0.946033446991
1.2e-07, 1.2e-05, 295, -1.07407129181e-11, -1.10001677587e-11, -1.08148302993e-11, -1.10894647165e-11, 0.993146690313, 0.991947586289, -2.59454840648e-13, 0.944728061993
1.25e-07, 1.2e-05, 295, -9.63469283137e-12, -9.87859249765e-12, -9.70368716046e-12, -9.96221022461e-12, 0.992889885262, 0.991606508487, -2.4389966628e-13, 0.943434842368
1.3e-07, 1.2e-05, 295, -8.67666458451e-12, -8.9063552118e-12, -8.74103056021e-12, -8.98482382075e-12, 0.99263634016, 0.991266538942, -2.29690627282e-13, 0.942153309636
1.35e-07, 1.2e-05, 295, -7.84246421341e-12, -8.0591410211e-12, -7.90263533777e-12, -8.13292624733e-12, 0.99238594193, 0.990927591867, -2.16676807694e-13, 0.940883025323
1.4e-07, 1.2e-05, 295, -7.11254882101e-12, -7.31727672751e-12, -7.16890655423e-12, -7.38678944856e-12, 0.992138587273, 0.990589589491, -2.04727906502e-13, 0.939623585992
1.45e-07, 1.2e-05, 295, -6.47099077876e-12, -6.66472171708e-12, -6.52387209717e-12, -6.73032582513e-12, 0.991894182225, 0.990252461805, -1.9373093832e-13, 0.938374619017
1.5e-07, 1.2e-05, 295, -5.90471581186e-12, -6.08830334805e-12, -5.95441957561e-12, -6.15032238961e-12, 0.991652626571, 0.989916131605, -1.83587536192e-13, 0.937135778903
1.55e-07, 1.2e-05, 295, -5.40292042425e-12, -5.57713215799e-12, -5.44971252828e-12, -5.63585472117e-12, 0.991413839943, 0.98958053994, -1.74211733744e-13, 0.935906744441
1.6e-07, 1.2e-05, 295, -4.95662183832e-12, -5.12214996961e-12, -5.00073968774e-12, -5.17783436548e-12, 0.991177735259, 0.989245620477, -1.65528131294e-13, 0.934687215919
1.65e-07, 1.2e-05, 295, -4.55830777603e-12, -4.71577814768e-12, -4.59996398103e-12, -4.76865628552e-12, 0.990944232352, 0.988911312815, -1.57470371646e-13, 0.933476913016
1.7e-07, 1.2e-05, 295, -4.20166149321e-12, -4.35164136019e-12, -4.24104700063e-12, -4.40192203731e-12, 0.990713258445, 0.988577563007, -1.4997986698e-13, 0.932275572843
1.75e-07, 1.2e-05, 295, -3.88134428343e-12, -4.02434901396e-12, -3.91863108995e-12, -4.07222076829e-12, 0.99048473672, 0.98824431261, -1.43004730524e-13, 0.931082948199
1.8e-07, 1.2e-05, 295, -3.5928223772e-12, -3.72932125337e-12, -3.62816577884e-12, -3.77495473614e-12, 0.99025860344, 0.987911515247, -1.36498876162e-13, 0.929898806265
1.85e-07, 1.2e-05, 295, -3.33222803221e-12, -3.46264928852e-12, -3.3657686243e-12, -3.50619937335e-12, 0.990034789719, 0.9875791191, -1.30421256312e-13, 0.928722927141
1.9e-07, 1.2e-05, 295, -3.09624758141e-12, -3.22098279578e-12, -3.128112938e-12, -3.26259035501e-12, 0.989813233341, 0.987247078333, -1.2473521437e-13, 0.927555102832
1.95e-07, 1.2e-05, 295, -2.88203053854e-12, -3.00143847089e-12, -2.91233667129e-12, -3.04123192092e-12, 0.989593877298, 0.986915351716, -1.19407932347e-13, 0.926395136276
2e-07, 1.2e-05, 295, -2.6871154009e-12, -2.80152535891e-12, -2.71596805742e-12, -2.83962203563e-12, 0.989376658373, 0.986583891712, -1.14409958008e-13, 0.925242840241
2.05e-07, 1.2e-05, 295, -2.50936886296e-12, -2.6190836617e-12, -2.53686460861e-12, -2.65559097136e-12, 0.989161524206, 0.986252660874, -1.0971479874e-13, 0.92409803685
2.1e-07, 1.2e-05, 295, -2.34693563116e-12, -2.45223420265e-12, -2.37316281835e-12, -2.48725065312e-12, 0.988948424867, 0.985921623773, -1.05298571494e-13, 0.92296055671
2.15e-07, 1.2e-05, 295, -2.19819686119e-12, -2.29933656134e-12, -2.22323649313e-12, -2.3329526816e-12, 0.988737306168, 0.985590740643, -1.01139700151e-13, 0.921830238206
2.2e-07, 1.2e-05, 295, -2.06173561101e-12, -2.15895426414e-12, -2.08566207671e-12, -2.19125338951e-12, 0.988528119694, 0.985259976995, -9.72186531259e-14, 0.920706927047
2.25e-07, 1.2e-05, 295, -1.93630793853e-12, -2.02982565368e-12, -1.95918966949e-12, -2.06088462787e-12, 0.988320818896, 0.98492929989, -9.35177151553e-14, 0.91959047575
2.3e-07, 1.2e-05, 295, -1.82081865667e-12, -1.91083944495e-12, -1.8427187077e-12, -1.9407292419e-12, 0.988115358604, 0.984598677495, -9.0020788286e-14, 0.918480743111
2.35e-07, 1.2e-05, 295, -1.71430090936e-12, -1.80101412723e-12, -1.73527747367e-12, -1.82980040344e-12, 0.987911694453, 0.984268078556, -8.67132178709e-14, 0.917377593844
2.4e-07, 1.2e-05, 295, -1.61589890524e-12, -1.69948054527e-12, -1.63600576889e-12, -1.72722412802e-12, 0.987709784386, 0.983937473838, -8.3581640028e-14, 0.916280898153
2.45e-07, 1.2e-05, 295, -1.52485326223e-12, -1.60546710983e-12, -1.54414020904e-12, -1.63222443285e-12, 0.987509588377, 0.983606835869, -8.06138476e-14, 0.915190531427
2.5e-07, 1.2e-05, 295, -1.44048852677e-12, -1.51828719884e-12, -1.45900170185e-12, -1.54411069387e-12, 0.987311066834, 0.983276137438, -7.77986720761e-14, 0.914106373868
2.55e-07, 1.2e-05, 295, -1.3622025142e-12, -1.43732839355e-12, -1.37998474843e-12, -1.46226684035e-12, 0.987114180613, 0.982945351621, -7.51258793531e-14, 0.913028310221
2.6e-07, 1.2e-05, 295, -1.28945718435e-12, -1.36204326187e-12, -1.30654827393e-12, -1.38614209121e-12, 0.986918899269, 0.982614459586, -7.25860775194e-14, 0.911956229722
2.65e-07, 1.2e-05, 295, -1.22177075536e-12, -1.29194139037e-12, -1.23820774513e-12, -1.31524298877e-12, 0.986725176099, 0.982283427022, -7.01706350166e-14, 0.910890025128
2.7e-07, 1.2e-05, 295, -1.15871098034e-12, -1.2265825884e-12, -1.17452837469e-12, -1.24912652861e-12, 0.986532982349, 0.981952236461, -6.78716080577e-14, 0.909829593474
2.75e-07, 1.2e-05, 295, -1.09988927109e-12, -1.16557094699e-12, -1.11511924581e-12, -1.18739421794e-12, 0.986342290497, 0.981620871472, -6.56816759058e-14, 0.908774835456
2.8e-07, 1.2e-05, 295, -1.0449556046e-12, -1.10854968772e-12, -1.05962821906e-12, -1.12968692326e-12, 0.986153054248, 0.98128929785, -6.35940831239e-14, 0.907725654501
2.85e-07, 1.2e-05, 295, -9.93594167553e-13, -1.05519675569e-12, -1.00773750599e-12, -1.07568039112e-12, 0.985965255485, 0.980957507826, -6.16025881352e-14, 0.906681958206
2.9e-07, 1.2e-05, 295, -9.45519463177e-13, -1.00522088012e-12, -9.59159812259e-13, -1.02508134389e-12, 0.985778856757, 0.98062547535, -5.97014169462e-14, 0.905643656488
2.95e-07, 1.2e-05, 295, -9.00472982541e-13, -9.58358204357e-13, -9.13634969334e-13, -9.77624068992e-13, 0.985593823317, 0.980293176851, -5.7885221816e-14, 0.904610662214
3e-07, 1.2e-05, 295, -8.58220276808e-13, -9.14369320908e-13, -8.7092698577e-13, -9.33067432023e-13, 0.985410132917, 0.97996060041, -5.61490440992e-14, 0.903582891414
3.05e-07, 1.2e-05, 295, -8.18548470538e-13, -8.73036752488e-13, -8.30821460167e-13, -8.91192255357e-13, 0.985227885632, 0.979627849367, -5.44882819496e-14, 0.902560282313
3.1e-07, 1.2e-05, 295, -7.81263561032e-13, -8.34162216319e-13, -7.93123306488e-13, -8.51799012503e-13, 0.985046782312, 0.979294650586, -5.28986552866e-14, 0.90154271467
3.15e-07, 1.2e-05, 295, -7.46189113295e-13, -7.97565299448e-13, -7.57654749785e-13, -8.14705795889e-13, 0.984866937753, 0.978961121269, -5.13761861531e-14, 0.900530133297
3.2e-07, 1.2e-05, 295, -7.1316402425e-13, -7.63081193198e-13, -7.24253556772e-13, -7.79746522151e-13, 0.984688328531, 0.978627248112, -4.99171689473e-14, 0.899522463907
3.25e-07, 1.2e-05, 295, -6.82041076619e-13, -7.30559226079e-13, -6.92771470473e-13, -7.46769343905e-13, 0.984510918374, 0.978293005787, -4.85181494601e-14, 0.898519633758
3.3e-07, 1.2e-05, 295, -6.52685585772e-13, -6.99861490571e-13, -6.63072822927e-13, -7.15635241704e-13, 0.984334696287, 0.977958392468, -4.71759047984e-14, 0.897521573327
3.35e-07, 1.2e-05, 295, -6.24974142514e-13, -6.70861567472e-13, -6.35033303336e-13, -6.86216773344e-13, 0.984159632622, 0.977623388894, -4.58874249585e-14, 0.896528214114
