# L (m), R (m), T (K), P_Drude (mPa), P_Plasma (mPa), P_PFA_Drude (mPa), P_PFA_Plasma (mPa), P_Drude/P_PFA_Drude, P_Plasma/P_PFA_Plasma
1.15e-07, 1.2e-05, 295, -3674.01796297, -3721.50828866, -3689.94188039, -3739.06628568, 0.995684507253, 0.995304176048
1.2e-07, 1.2e-05, 295, -3155.19100444, -3198.38693353, -3169.50108544, -3214.22238329, 0.995485068275, 0.995073318558
1.25e-07, 1.2e-05, 295, -2725.66238611, -2765.06662014, -2738.56845949, -2779.39954284, 0.995287292039, 0.994843158575
1.3e-07, 1.2e-05, 295, -2367.45581175, -2403.49940611, -2379.13469133, -2416.51558801, 0.995091122991, 0.994613656968
1.35e-07, 1.2e-05, 295, -2066.70793014, -2099.76224925, -2077.3090047, -2111.61900822, 0.994896727192, 0.994384991362
1.4e-07, 1.2e-05, 295, -1812.61991984, -1843.00631889, -1822.27097712, -1853.83847492, 0.994703829777, 0.994156904081
1.45e-07, 1.2e-05, 295, -1596.70450455, -1624.70222124, -1605.51452637, -1634.62501373, 0.994512648949, 0.993929621525
1.5e-07, 1.2e-05, 295, -1412.23306092, -1438.0856866, -1420.29597638, -1447.19863076, 0.994323073786, 0.993703045342
1.55e-07, 1.2e-05, 295, -1253.82938161, -1277.75019806, -1261.226558, -1286.13966286, 0.994134934488, 0.993477018833
1.6e-07, 1.2e-05, 295, -1117.16675552, -1139.34315988, -1123.96838585, -1147.08382933, 0.993948557266, 0.993251871181
1.65e-07, 1.2e-05, 295, -998.737680474, -1019.33487218, -1005.00541381, -1026.49243899, 0.993763483016, 0.993027160708
1.7e-07, 1.2e-05, 295, -895.681962999, -914.846031284, -901.469298889, -921.477644926, 0.993580107612, 0.992803283207
1.75e-07, 1.2e-05, 295, -805.651674818, -823.512195038, -811.005875821, -829.668420915, 0.993398073722, 0.99257989611
1.8e-07, 1.2e-05, 295, -726.70941573, -743.381642826, -731.671948245, -749.106942931, 0.993217544383, 0.992357165878
1.85e-07, 1.2e-05, 295, -657.247369185, -672.834097808, -661.854910134, -678.167872095, 0.993038442597, 0.992135023633
1.9e-07, 1.2e-05, 295, -595.924642046, -610.517790364, -600.209701423, -615.495029356, 0.992860729564, 0.991913437551
1.95e-07, 1.2e-05, 295, -541.617541439, -555.299504582, -545.609027408, -559.951380676, 0.99268434764, 0.991692357133
2e-07, 1.2e-05, 295, -493.380244501, -506.22505538, -497.103801671, -510.579283879, 0.992509497699, 0.991471983615
2.05e-07, 1.2e-05, 295, -450.412773054, -462.487100796, -453.891523925, -466.568701704, 0.992335721888, 0.991251875892
2.1e-07, 1.2e-05, 295, -412.036414804, -423.400427267, -415.29085698, -427.231639737, 0.992163462979, 0.991032470179
2.15e-07, 1.2e-05, 295, -377.672393297, -388.38050322, -380.72107695, -391.981478905, 0.991992343376, 0.990813403494
2.2e-07, 1.2e-05, 295, -346.825876437, -356.927390028, -349.685377129, -360.316179314, 0.991822647216, 0.99059495665
2.25e-07, 1.2e-05, 295, -319.071854036, -328.611535269, -321.757236388, -331.804563389, 0.991654011009, 0.990376780573
2.3e-07, 1.2e-05, 295, -294.044484163, -303.063048127, -296.569237733, -306.075061499, 0.99148679887, 0.990159232974
2.35e-07, 1.2e-05, 295, -271.427401431, -279.961945658, -273.80385571, -282.806436811, 0.991320596005, 0.989941915098
2.4e-07, 1.2e-05, 295, -250.946605055, -259.030988755, -253.185833771, -261.720108825, 0.99115578987, 0.989725206509
2.45e-07, 1.2e-05, 295, -232.363670997, -240.028848048, -234.475851477, -242.573774151, 0.990991906133, 0.989508651083
2.5e-07, 1.2e-05, 295, -215.470966041, -222.745279355, -217.465242867, -225.156084694, 0.990829445663, 0.989292737336
2.55e-07, 1.2e-05, 295, -200.086744352, -206.996185321, -201.971575034, -209.282191388, 0.990667841836, 0.989076920248
2.6e-07, 1.2e-05, 295, -186.051908065, -192.620347056, -187.834933609, -194.789999369, 0.990507487031, 0.988861582625
2.65e-07, 1.2e-05, 295, -173.226583699, -179.475974222, -174.914791399, -181.537010207, 0.990348399434, 0.988646744909
2.7e-07, 1.2e-05, 295, -161.487480058, -167.43804027, -163.08735994, -169.397650365, 0.990190043653, 0.988431893294
2.75e-07, 1.2e-05, 295, -150.725926518, -156.39630147, -152.243342386, -158.261003882, 0.990032957475, 0.988217549705
2.8e-07, 1.2e-05, 295, -140.845674353, -146.25308041, -142.28602109, -148.028882208, 0.989877102995, 0.988003680287
2.85e-07, 1.2e-05, 295, -131.761279336, -136.921633155, -133.12962528, -138.614176278, 0.989721702128, 0.987789538069
2.9e-07, 1.2e-05, 295, -123.397103703, -128.325138863, -124.697933835, -129.939445532, 0.989568150072, 0.987576469462
2.95e-07, 1.2e-05, 295, -115.685432668, -120.394802642, -116.923076054, -121.935706545, 0.989414892008, 0.987362980489
3e-07, 1.2e-05, 295, -108.566192804, -113.069565339, -109.744499657, -114.54139027, 0.989263180779, 0.987150278803
3.05e-07, 1.2e-05, 295, -101.985446263, -106.29458691, -103.108080418, -107.70144216, 0.989112064249, 0.986937452071
3.1e-07, 1.2e-05, 295, -95.8950457622, -100.02089405, -96.9653521456, -101.366543677, 0.988961970851, 0.986724913581
3.15e-07, 1.2e-05, 295, -90.2517794951, -94.2045175938, -91.2728391249, -95.4924372152, 0.988813105415, 0.986512862599
3.2e-07, 1.2e-05, 295, -85.0167634046, -88.805877861, -85.9914760849, -90.0393393594, 0.988665008154, 0.986300860189
3.25e-07, 1.2e-05, 295, -80.1550462116, -83.7893842829, -81.0861030865, -84.9714297871, 0.988517676403, 0.986088906504
3.3e-07, 1.2e-05, 295, -75.6351467504, -79.1229674287, -76.5250247107, -80.2564051059, 0.98837141231, 0.985877293212
3.35e-07, 1.2e-05, 295, -71.4286098546, -74.7776300212, -72.2796245567, -75.8650885588, 0.988226077441, 0.985665889828
3.4e-07, 1.2e-05, 295, -67.5097230882, -70.7271596589, -68.3240274383, -71.7710879237, 0.988081727899, 0.985454752115
3.45e-07, 1.2e-05, 295, -63.8551962081, -66.9478044166, -64.6348027861, -67.9504950559, 0.987938284881, 0.985243806709
