# R = 150 (µm)
# T = 300 (K)
# model = Drude
# omegap = 9 (eV)
# gamma = 0.035 (eV)

# L (nm), E (J), E/Epfa
75, -1.9808511571169e-17, 0.999253932350382
79.625, -1.79668743655822e-17, 0.999215499024693
84.25, -1.63741273951269e-17, 0.999177370475015
88.875, -1.49866141415299e-17, 0.999139501897112
93.5, -1.37699862717388e-17, 0.999101852774728
98.125, -1.2696891609672e-17, 0.999064386705477
102.75, -1.17453116662332e-17, 0.999027070534365
107.375, -1.08973466943304e-17, 0.998989873906198
112, -1.01383146897316e-17, 0.998952769275634
116.625, -9.45607425923468e-18, 0.998915731213694
121.25, -8.84050951479373e-18, 0.998878736282704
125.875, -8.2831338392654e-18, 0.998841762638825
130.5, -7.7767819585392e-18, 0.998804790427338
135.125, -7.31536836889337e-18, 0.998767800615282
139.75, -6.89369615950413e-18, 0.998730775859876
144.375, -6.50730448332686e-18, 0.99869369976687
149, -6.15234594272774e-18, 0.998656556985872
153.625, -5.82548732456143e-18, 0.998619333059419
158.25, -5.52382870810753e-18, 0.99858201421587
162.875, -5.24483713621346e-18, 0.99854458791793
167.5, -4.98629191094635e-18, 0.998507041861466
172.125, -4.74623923014665e-18, 0.998469364338811
176.75, -4.52295437511356e-18, 0.998431544604666
181.375, -4.31491003860646e-18, 0.998393572418064
186, -4.12074967391646e-18, 0.998355437548792
190.625, -3.93926497103736e-18, 0.998317130749036
195.25, -3.76937674134205e-18, 0.998278643029445
199.875, -3.61011863133255e-18, 0.9982399657816
204.5, -3.4606231948449e-18, 0.998201090968299
209.125, -3.32010993923819e-18, 0.99816201038443
213.75, -3.18787503090793e-18, 0.998122716664036
218.375, -3.06328240115402e-18, 0.998083202388012
223, -2.94575603784887e-18, 0.998043461011391
227.625, -2.83477328458896e-18, 0.998003485671636
232.25, -2.72985899980419e-18, 0.997963269996189
236.875, -2.63058045058827e-18, 0.997922807823556
241.5, -2.53654283794416e-18, 0.997882093253105
246.125, -2.44738536482601e-18, 0.997841120378414
250.75, -2.36277777332342e-18, 0.997799884117635
255.375, -2.28241728725135e-18, 0.997758378986146
260, -2.20602590745475e-18, 0.997716599942251
264.625, -2.13334801291777e-18, 0.997674541827091
269.25, -2.06414822977837e-18, 0.99763220035827
273.875, -1.99820953349782e-18, 0.997589570554295
278.5, -1.93533155630669e-18, 0.997546648429956
283.125, -1.87532907401316e-18, 0.997503429591991
287.75, -1.81803065125645e-18, 0.997459909666032
292.375, -1.76327742675046e-18, 0.997416085197366
297, -1.7109220210884e-18, 0.997371951931277
301.625, -1.66082755452939e-18, 0.997327506628848
306.25, -1.61286676109454e-18, 0.997282745315994
310.875, -1.56692118927956e-18, 0.997237665043463
315.5, -1.52288047873961e-18, 0.997192262063427
320.125, -1.48064170603607e-18, 0.997146533628335
324.75, -1.44010879092561e-18, 0.997100476276773
329.375, -1.4011919574845e-18, 0.997054087514676
334, -1.36380724395662e-18, 0.997007364019211
338.625, -1.32787605686061e-18, 0.996960303520091
343.25, -1.29332476430279e-18, 0.996912902933615
347.875, -1.26008432482975e-18, 0.996865160004133
352.5, -1.22808994834515e-18, 0.996817072479731
357.125, -1.1972807859016e-18, 0.996768637583149
361.75, -1.16759964564533e-18, 0.99671985352204
366.375, -1.13899273237089e-18, 0.996670717682535
371, -1.11140940833322e-18, 0.996621228245534
375.625, -1.08480197370107e-18, 0.996571383439913
380.25, -1.05912546450464e-18, 0.996521180901904
384.875, -1.03433746665608e-18, 0.996470619109167
389.5, -1.01039794447387e-18, 0.996419696518778
394.125, -9.87269082621035e-19, 0.996368410970999
398.75, -9.64915140226582e-19, 0.996316761215251
403.375, -9.43302315810226e-19, 0.996264745952222
408, -9.22398622613207e-19, 0.996212363254966
412.625, -9.02173773079264e-19, 0.996159612057257
417.25, -8.82599071786809e-19, 0.99610649104347
421.875, -8.63647316333255e-19, 0.996052999268923
426.5, -8.45292705041668e-19, 0.995999135092401
431.125, -8.27510751635903e-19, 0.99594489775429
435.75, -8.10278205515617e-19, 0.995890286417177
440.375, -7.93572977997863e-19, 0.995835299668185
445, -7.77374073319691e-19, 0.995779936884089
449.625, -7.61661524644103e-19, 0.995724197321739
454.25, -7.46416334086187e-19, 0.995668080405083
458.875, -7.31620417086895e-19, 0.995611584935114
463.5, -7.17256550348711e-19, 0.995554710643933
468.125, -7.03308323033109e-19, 0.995497456891515
472.75, -6.89760091463096e-19, 0.995439823181073
477.375, -6.76596936573349e-19, 0.995381809342283
482, -6.63804623962343e-19, 0.995323414461747
486.625, -6.51369566770414e-19, 0.995264638458889
491.25, -6.39278790708843e-19, 0.99520548109188
495.875, -6.27519901233229e-19, 0.995145942333222
500.5, -6.16081052932331e-19, 0.995086021583862
505.125, -6.04950920484456e-19, 0.995025718895238
509.75, -5.94118671794364e-19, 0.994965034280104
514.375, -5.83573942359089e-19, 0.99490396772801
519, -5.7330681134085e-19, 0.994842519472339
523.625, -5.63307779090432e-19, 0.994780689096283
528.25, -5.53567745926704e-19, 0.994718477059738
532.875, -5.44077992096984e-19, 0.994655883508455
537.5, -5.34830159047948e-19, 0.994592908722046
542.125, -5.25816231584852e-19, 0.994529552939605
546.75, -5.17028521232589e-19, 0.99446581675977
551.375, -5.0845965034059e-19, 0.994401700041939
556, -5.00102537245805e-19, 0.994337203467059
560.625, -4.91950382184784e-19, 0.994272327547673
565.25, -4.83996653914363e-19, 0.994207072748722
569.875, -4.76235077222149e-19, 0.994141439676878
574.5, -4.6865962090508e-19, 0.994075429057186
579.125, -4.61264486688808e-19, 0.994009041196404
583.75, -4.54044098321338e-19, 0.993942276896583
588.375, -4.46993091715803e-19, 0.993875136974119
593, -4.4010630521273e-19, 0.993807622152361
597.625, -4.33378770591407e-19, 0.993739733233127
602.25, -4.2680570447619e-19, 0.993671471355502
606.875, -4.20382500113597e-19, 0.993602836832384
611.5, -4.14104719695779e-19, 0.993533830870115
616.125, -4.0796808701017e-19, 0.99346445447713
620.75, -4.01968480401382e-19, 0.99339470860574
625.375, -3.96101926197923e-19, 0.993324594288446
630, -3.90364592392431e-19, 0.993254112595267
634.625, -3.847527826705e-19, 0.993183264686031
639.25, -3.79262930649703e-19, 0.993112051871015
643.875, -3.73891594519166e-19, 0.993040474854197
648.5, -3.68635451881311e-19, 0.992968535158834
653.125, -3.63491294753906e-19, 0.992896233919642
657.75, -3.5845602503348e-19, 0.992823572521149
662.375, -3.53526649896985e-19, 0.992750552219309
667, -3.48700277632359e-19, 0.992677174356103
671.625, -3.43974113585926e-19, 0.992603440357814
676.25, -3.39345456244948e-19, 0.992529351803556
680.875, -3.34811693604851e-19, 0.992454909647792
685.5, -3.30370299636949e-19, 0.992380115612432
690.125, -3.26018830930239e-19, 0.992304971191355
694.75, -3.21754923504677e-19, 0.992229477965066
699.375, -3.17576289674528e-19, 0.99215363736966
704, -3.13480715254663e-19, 0.992077451100993
708.625, -3.09466056632728e-19, 0.99200092070548
713.25, -3.05530238193226e-19, 0.991924047881578
