# Casimir force gradient F' for a sphere of radius R above a plate at various
# separations L measured by Ricardo Decca
#
# R = 148200nm
# T = 295K
#
# F'_PR = -pi^3*hbar*c*R/(120*L^4)
#
# L (nm), F'/F'_PR, error bar
159.8, 0.58440, 5.25E-04
161.8, 0.58680, 4.55E-04
164.6, 0.58921, 5.44E-04
166.1, 0.59182, 5.56E-04
168.0, 0.59293, 5.22E-04
170.2, 0.59559, 4.68E-04
171.5, 0.59753, 5.20E-04
173.6, 0.59980, 4.59E-04
175.7, 0.60233, 4.70E-04
178.0, 0.60446, 4.93E-04
180.2, 0.60615, 4.42E-04
182.0, 0.60870, 5.51E-04
184.0, 0.61078, 5.35E-04
186.7, 0.61308, 4.83E-04
187.8, 0.61484, 5.33E-04
189.9, 0.61737, 4.36E-04
192.2, 0.61931, 5.06E-04
194.0, 0.62194, 5.25E-04
195.8, 0.62377, 5.25E-04
197.6, 0.62650, 5.21E-04
199.5, 0.62862, 5.31E-04
202.0, 0.63114, 4.81E-04
203.9, 0.63253, 5.32E-04
205.9, 0.63481, 5.40E-04
207.9, 0.63536, 5.60E-04
209.9, 0.63844, 4.69E-04
212.1, 0.64100, 4.86E-04
213.3, 0.64303, 5.00E-04
216.4, 0.64552, 5.13E-04
218.2, 0.64638, 4.49E-04
220.2, 0.64899, 5.34E-04
222.4, 0.64993, 4.84E-04
224.1, 0.65259, 4.81E-04
225.7, 0.65341, 4.33E-04
228.2, 0.65605, 4.54E-04
230.4, 0.65843, 5.26E-04
232.6, 0.66029, 5.50E-04
234.0, 0.66246, 4.35E-04
236.0, 0.66474, 5.09E-04
237.8, 0.66624, 4.52E-04
240.6, 0.66879, 5.11E-04
241.5, 0.66873, 5.43E-04
243.8, 0.67093, 5.16E-04
246.8, 0.67274, 4.43E-04
248.1, 0.67528, 4.25E-04
250.0, 0.67606, 5.48E-04
252.2, 0.67805, 4.49E-04
253.8, 0.68037, 4.26E-04
256.3, 0.68223, 5.67E-04
258.1, 0.68379, 5.33E-04
259.3, 0.68493, 5.06E-04
261.8, 0.68656, 4.51E-04
263.2, 0.68785, 4.26E-04
266.2, 0.68959, 5.47E-04
268.4, 0.69232, 5.10E-04
269.2, 0.69349, 5.11E-04
272.5, 0.69396, 4.55E-04
273.9, 0.69631, 5.14E-04
276.4, 0.69830, 5.28E-04
277.8, 0.69960, 5.10E-04
279.8, 0.70019, 5.44E-04
281.8, 0.70383, 5.58E-04
283.7, 0.70404, 4.85E-04
286.2, 0.70774, 5.09E-04
288.3, 0.70932, 5.39E-04
289.7, 0.70825, 5.32E-04
292.0, 0.71139, 4.99E-04
293.6, 0.71023, 4.54E-04
296.3, 0.71267, 4.82E-04
298.4, 0.71567, 4.83E-04
299.6, 0.71251, 5.36E-04
301.9, 0.71649, 5.20E-04
304.1, 0.71948, 4.39E-04
305.6, 0.71629, 4.46E-04
308.4, 0.72015, 5.21E-04
310.3, 0.72187, 4.35E-04
312.0, 0.72530, 4.28E-04
313.9, 0.72208, 4.42E-04
315.9, 0.72600, 4.37E-04
318.2, 0.72998, 5.11E-04
319.9, 0.72806, 4.61E-04
321.9, 0.72861, 4.70E-04
323.6, 0.72983, 5.20E-04
326.6, 0.73422, 4.32E-04
327.3, 0.73532, 5.00E-04
330.2, 0.73105, 4.21E-04
331.8, 0.73741, 4.69E-04
334.6, 0.73738, 5.36E-04
335.4, 0.74082, 4.52E-04
338.4, 0.73766, 5.20E-04
339.6, 0.73996, 5.05E-04
