# Casimir force gradient F' for a sphere of radius R above a plate at various
# separations L measured by Ricardo Decca
#
# R = 52300nm
# T = 295K
#
# F'_PR = -pi^3*hbar*c*R/(120*L^4)
#
# L (nm), F'/F'_PR, error bar
161.8, 0.58688, 5.71E-04
163.9, 0.58990, 5.27E-04
165.8, 0.59151, 5.33E-04
168.4, 0.59350, 5.62E-04
170.6, 0.59602, 5.07E-04
172.0, 0.59699, 5.79E-04
173.9, 0.59998, 5.15E-04
176.2, 0.60161, 5.73E-04
178.3, 0.60410, 4.59E-04
180.5, 0.60617, 4.61E-04
182.3, 0.60950, 4.77E-04
184.1, 0.61067, 5.19E-04
186.1, 0.61261, 4.66E-04
187.7, 0.61487, 4.79E-04
189.6, 0.61669, 5.76E-04
191.9, 0.61928, 4.55E-04
194.0, 0.62253, 4.60E-04
195.8, 0.62399, 5.32E-04
197.8, 0.62549, 4.41E-04
200.8, 0.62771, 4.87E-04
201.8, 0.62935, 4.47E-04
204.0, 0.63277, 5.48E-04
206.3, 0.63556, 4.37E-04
207.7, 0.63617, 4.46E-04
210.3, 0.63810, 5.10E-04
212.1, 0.64067, 5.72E-04
213.8, 0.64265, 5.30E-04
216.3, 0.64527, 5.20E-04
218.1, 0.64652, 4.82E-04
220.3, 0.64841, 5.79E-04
221.8, 0.65038, 5.21E-04
224.4, 0.65201, 5.75E-04
225.5, 0.65475, 5.78E-04
227.8, 0.65621, 5.52E-04
230.1, 0.65814, 5.78E-04
232.2, 0.66002, 5.47E-04
233.9, 0.66194, 4.73E-04
235.7, 0.66297, 4.43E-04
238.1, 0.66626, 5.53E-04
239.7, 0.66784, 5.60E-04
242.0, 0.66999, 4.58E-04
244.3, 0.67337, 4.73E-04
246.3, 0.67293, 4.54E-04
247.6, 0.67553, 4.84E-04
250.5, 0.67575, 5.00E-04
252.2, 0.67951, 5.57E-04
254.1, 0.67977, 5.49E-04
255.8, 0.68139, 5.66E-04
258.4, 0.68481, 4.59E-04
260.1, 0.68565, 4.64E-04
261.7, 0.68552, 5.23E-04
264.7, 0.68868, 4.95E-04
266.0, 0.69028, 4.46E-04
268.2, 0.69327, 5.13E-04
269.3, 0.69172, 5.45E-04
272.3, 0.69432, 5.70E-04
273.9, 0.69573, 5.43E-04
276.1, 0.69828, 4.56E-04
277.8, 0.69867, 4.71E-04
279.8, 0.70042, 5.25E-04
282.6, 0.70258, 5.30E-04
284.5, 0.70323, 4.34E-04
286.2, 0.70426, 4.69E-04
