# Casimir force gradient F' for a sphere of radius R above a plate at various
# separations L measured by Ricardo Decca
#
# R = 10500nm
# T = 295K
#
# F'_PR = -pi^3*hbar*c*R/(120*L^4)
#
# L (nm), F'/F'_PR, error bar
161.5, 0.58682, 3.76E-04
163.9, 0.58933, 4.28E-04
165.8, 0.59146, 4.35E-04
167.8, 0.59383, 3.69E-04
170.1, 0.59564, 4.24E-04
172.0, 0.59747, 4.30E-04
173.2, 0.59988, 4.49E-04
176.3, 0.60257, 4.03E-04
178.5, 0.60519, 3.64E-04
179.4, 0.60616, 4.54E-04
181.5, 0.60943, 4.33E-04
183.9, 0.61111, 3.57E-04
186.3, 0.61247, 4.34E-04
188.5, 0.61539, 3.60E-04
190.5, 0.61739, 3.93E-04
191.5, 0.62023, 3.77E-04
194.2, 0.62219, 4.37E-04
196.3, 0.62455, 3.65E-04
197.7, 0.62607, 4.39E-04
200.1, 0.62788, 3.62E-04
202.0, 0.62979, 4.08E-04
203.6, 0.63268, 4.02E-04
205.6, 0.63501, 3.61E-04
208.0, 0.63657, 4.33E-04
209.8, 0.63913, 4.15E-04
211.6, 0.64032, 3.96E-04
213.9, 0.64198, 3.71E-04
216.0, 0.64516, 3.65E-04
218.2, 0.64676, 4.36E-04
219.9, 0.64876, 3.90E-04
222.3, 0.65025, 4.27E-04
224.0, 0.65171, 3.74E-04
225.4, 0.65516, 3.76E-04
228.1, 0.65745, 3.57E-04
230.3, 0.65953, 3.67E-04
231.7, 0.66149, 3.56E-04
234.1, 0.66194, 3.53E-04
236.5, 0.66443, 4.54E-04
238.2, 0.66650, 3.90E-04
240.2, 0.66694, 3.88E-04
242.5, 0.66977, 3.58E-04
243.7, 0.67184, 3.76E-04
245.7, 0.67297, 4.36E-04
248.1, 0.67625, 3.96E-04
249.7, 0.67463, 3.56E-04
251.8, 0.67909, 3.86E-04
253.8, 0.67905, 3.77E-04
255.9, 0.68220, 4.04E-04
257.7, 0.68357, 4.08E-04
260.8, 0.68601, 4.22E-04
262.0, 0.68718, 4.37E-04
263.9, 0.68807, 3.76E-04
265.6, 0.68865, 3.90E-04
268.2, 0.69119, 4.20E-04
269.9, 0.69244, 3.52E-04
272.5, 0.69395, 4.17E-04
273.9, 0.69649, 3.99E-04
276.3, 0.69575, 4.14E-04
278.7, 0.69946, 4.50E-04
280.4, 0.70105, 3.96E-04
281.8, 0.70491, 4.50E-04
284.3, 0.70345, 3.86E-04
286.1, 0.70636, 3.77E-04
288.3, 0.70645, 4.44E-04
289.8, 0.70588, 3.52E-04
292.1, 0.70750, 3.64E-04
293.9, 0.70992, 3.76E-04
295.5, 0.71274, 3.68E-04
297.8, 0.71364, 4.42E-04
299.9, 0.71646, 3.87E-04
302.5, 0.71670, 4.27E-04
304.2, 0.71461, 4.40E-04
306.5, 0.71807, 3.80E-04
308.0, 0.72252, 4.36E-04
309.9, 0.72026, 3.51E-04
311.8, 0.72165, 4.29E-04
313.8, 0.72556, 4.47E-04
315.3, 0.72941, 4.20E-04
318.2, 0.73076, 3.99E-04
319.5, 0.72527, 4.37E-04
321.6, 0.73196, 4.32E-04
324.3, 0.73334, 4.30E-04
326.3, 0.73096, 4.05E-04
