# Casimir force F for a sphere of radius R above a plate at various separations L
# measured by Ricardo Decca
#
# R = 148200nm
#
# F_PR = -pi^3*hbar*c*R/(360*L^3)
#
# L (nm), F/F_PR
1.61042E2, 0.65179
1.69893E2, 0.65865
1.80094E2, 0.67464
1.89437E2, 0.68635
1.99469E2, 0.69655
2.09854E2, 0.71622
2.19525E2, 0.70764
2.30621E2, 0.72934
2.39567E2, 0.7379
2.49875E2, 0.73697
2.60278E2, 0.74378
2.7026E2, 0.75283
2.8021E2, 0.77108
2.90961E2, 0.77549
3.00055E2, 0.78068
3.0949E2, 0.77334
3.20456E2, 0.78249
3.29217E2, 0.7914
3.40547E2, 0.80176
3.49984E2, 0.80476
3.60055E2, 0.81065
3.70673E2, 0.80603
3.80173E2, 0.81265
3.89957E2, 0.82003
4.00627E2, 0.82163
4.09562E2, 0.81605
4.19194E2, 0.82174
4.29459E2, 0.82063
4.39261E2, 0.83946
4.49834E2, 0.83282
4.59691E2, 0.84921
4.69668E2, 0.84391
4.79917E2, 0.83886
4.90135E2, 0.84058
4.99607E2, 0.85136
5.1001E2, 0.85059
5.19503E2, 0.85229
5.30332E2, 0.86241
5.39596E2, 0.86566
5.49931E2, 0.86538
5.5954E2, 0.85266
5.7033E2, 0.86393
5.80495E2, 0.87333
5.90577E2, 0.86704
5.99751E2, 0.87233
6.09639E2, 0.86348
6.19972E2, 0.8779
6.30118E2, 0.88083
6.40351E2, 0.88187
6.50046E2, 0.88674
6.59674E2, 0.88839
6.70246E2, 0.89502
6.80259E2, 0.8875
6.8989E2, 0.89499
7.00078E2, 0.88137
7.09835E2, 0.89019
7.20595E2, 0.88734
7.3039E2, 0.89561
7.39992E2, 0.90561
7.49573E2, 0.89284
