# Casimir force gradient F' for a sphere of radius R above a plate at various
# separations L measured by Ricardo Decca
#
# R = 31400nm
# T = 295K
#
# F'_PR = -pi^3*hbar*c*R/(120*L^4)
#
# L (nm), F'/F'_PR, error bar
162.8, 0.58715, 3.58E-04
163.5, 0.58882, 3.98E-04
166.2, 0.59127, 4.35E-04
167.9, 0.59324, 4.15E-04
170.1, 0.59566, 3.42E-04
172.2, 0.59744, 3.98E-04
174.0, 0.59937, 3.92E-04
175.4, 0.60169, 3.42E-04
178.1, 0.60466, 4.25E-04
179.9, 0.60620, 3.88E-04
182.1, 0.60924, 3.90E-04
184.1, 0.61097, 3.49E-04
186.4, 0.61318, 4.10E-04
187.4, 0.61490, 4.38E-04
189.8, 0.61756, 4.11E-04
191.5, 0.61896, 4.09E-04
194.4, 0.62186, 4.11E-04
196.0, 0.62445, 3.69E-04
198.2, 0.62666, 3.92E-04
200.3, 0.62814, 3.90E-04
202.5, 0.62993, 3.87E-04
204.3, 0.63221, 3.77E-04
205.1, 0.63421, 3.72E-04
207.2, 0.63640, 4.08E-04
210.2, 0.63949, 3.97E-04
211.4, 0.64021, 3.52E-04
213.8, 0.64318, 4.58E-04
216.6, 0.64510, 3.73E-04
217.9, 0.64655, 4.26E-04
220.5, 0.64676, 3.93E-04
222.3, 0.65115, 3.80E-04
223.2, 0.65322, 3.84E-04
225.5, 0.65513, 3.70E-04
228.3, 0.65648, 3.48E-04
230.0, 0.65959, 3.63E-04
232.0, 0.65999, 4.55E-04
233.9, 0.66235, 4.30E-04
236.3, 0.66337, 3.47E-04
238.3, 0.66558, 4.00E-04
239.7, 0.66839, 3.79E-04
242.5, 0.66980, 3.71E-04
243.9, 0.67085, 4.49E-04
246.3, 0.67252, 3.82E-04
248.1, 0.67427, 4.35E-04
249.7, 0.67604, 3.84E-04
252.0, 0.67726, 3.96E-04
254.4, 0.67977, 4.18E-04
256.2, 0.68163, 3.79E-04
258.3, 0.68515, 3.50E-04
260.3, 0.68552, 3.80E-04
262.2, 0.68583, 3.53E-04
264.0, 0.68818, 4.20E-04
266.5, 0.68969, 3.83E-04
267.6, 0.69173, 3.42E-04
270.2, 0.69179, 3.94E-04
271.7, 0.69195, 4.07E-04
273.2, 0.69659, 3.95E-04
276.1, 0.69866, 4.28E-04
278.0, 0.69991, 4.42E-04
279.7, 0.70220, 3.44E-04
281.8, 0.70404, 4.26E-04
283.7, 0.70249, 3.53E-04
285.9, 0.70400, 4.14E-04
288.5, 0.70954, 3.54E-04
290.1, 0.70759, 3.81E-04
292.0, 0.70797, 3.67E-04
293.5, 0.71215, 3.56E-04
296.0, 0.71211, 4.50E-04
298.4, 0.71378, 3.82E-04
300.0, 0.71595, 4.19E-04
302.1, 0.71755, 4.42E-04
303.6, 0.72168, 4.21E-04
305.7, 0.71836, 3.43E-04
308.2, 0.72530, 4.56E-04
309.9, 0.71957, 4.19E-04
312.0, 0.72547, 4.47E-04
313.5, 0.72382, 3.50E-04
315.6, 0.72716, 3.71E-04
318.2, 0.72806, 3.69E-04
320.4, 0.72985, 3.56E-04
322.3, 0.72909, 4.31E-04
323.8, 0.73117, 3.51E-04
326.0, 0.73011, 3.52E-04
327.9, 0.73180, 3.99E-04
329.7, 0.73631, 3.90E-04
332.5, 0.73607, 3.77E-04
334.2, 0.74189, 4.23E-04
335.8, 0.73958, 3.42E-04
337.8, 0.74407, 4.50E-04
340.2, 0.74004, 3.66E-04
342.0, 0.74652, 3.44E-04
344.4, 0.74417, 3.99E-04
346.2, 0.74754, 3.89E-04
347.9, 0.74800, 4.39E-04
350.4, 0.74888, 4.58E-04
351.9, 0.74637, 4.18E-04
353.7, 0.74785, 3.88E-04
356.0, 0.74989, 3.71E-04
357.7, 0.75441, 3.89E-04
359.9, 0.75063, 3.48E-04
362.5, 0.75324, 3.71E-04
364.0, 0.75507, 4.53E-04
366.3, 0.75113, 4.28E-04
367.8, 0.76094, 3.86E-04
369.7, 0.75703, 4.04E-04
372.3, 0.75557, 4.56E-04
373.8, 0.75468, 3.70E-04
376.0, 0.75761, 3.89E-04
377.8, 0.76549, 4.05E-04
380.0, 0.76814, 3.56E-04
381.5, 0.75919, 3.55E-04
384.2, 0.75768, 4.20E-04
385.8, 0.76909, 3.65E-04
387.4, 0.76465, 3.43E-04
390.7, 0.77431, 4.13E-04
391.6, 0.77071, 4.02E-04
394.3, 0.77011, 4.54E-04
395.8, 0.77510, 3.45E-04
398.1, 0.76167, 3.65E-04
399.8, 0.76574, 4.27E-04
401.7, 0.77299, 4.46E-04
403.4, 0.77108, 3.41E-04
405.4, 0.78180, 4.10E-04
408.2, 0.77902, 3.93E-04
410.2, 0.77446, 3.88E-04
411.8, 0.77493, 4.09E-04
414.3, 0.78650, 4.36E-04
416.1, 0.78030, 4.27E-04
417.8, 0.78321, 4.17E-04
419.8, 0.77848, 4.33E-04
422.3, 0.77695, 4.15E-04
423.9, 0.78444, 3.77E-04
426.1, 0.78576, 3.94E-04
427.8, 0.76713, 4.23E-04
430.5, 0.78936, 3.84E-04
432.7, 0.78022, 4.24E-04
434.1, 0.77798, 3.59E-04
435.8, 0.77903, 4.40E-04
438.8, 0.77545, 4.17E-04
440.1, 0.77912, 3.76E-04
442.8, 0.78981, 3.98E-04
443.9, 0.78545, 3.88E-04
445.8, 0.78467, 4.57E-04
447.5, 0.78248, 3.42E-04
449.6, 0.79631, 4.40E-04
452.3, 0.79138, 4.38E-04
453.9, 0.79383, 4.24E-04
455.9, 0.77628, 4.37E-04
457.6, 0.80898, 3.81E-04
460.1, 0.79628, 3.60E-04
462.4, 0.78007, 4.17E-04
463.7, 0.80428, 3.90E-04
466.4, 0.80614, 4.14E-04
468.2, 0.79994, 4.09E-04
470.1, 0.79743, 3.79E-04
472.5, 0.80216, 4.06E-04
473.7, 0.80047, 4.32E-04
476.5, 0.81127, 4.32E-04
477.7, 0.79680, 3.86E-04
480.1, 0.80611, 4.26E-04
482.3, 0.81331, 4.56E-04
483.4, 0.79854, 4.37E-04
486.1, 0.79673, 3.72E-04
488.1, 0.78528, 3.65E-04
490.8, 0.80028, 3.70E-04
492.3, 0.81167, 3.79E-04
494.0, 0.78561, 4.31E-04
495.9, 0.81112, 3.87E-04
498.2, 0.80387, 3.72E-04
500.0, 0.82001, 3.84E-04
502.2, 0.80279, 3.63E-04
503.7, 0.78854, 3.54E-04
506.1, 0.80977, 4.09E-04
507.4, 0.81301, 4.36E-04
510.5, 0.81515, 3.44E-04
511.7, 0.81257, 3.93E-04
513.2, 0.80589, 4.32E-04
516.5, 0.79360, 4.38E-04
517.6, 0.82932, 4.17E-04
519.9, 0.80967, 3.74E-04
522.1, 0.80383, 3.61E-04
523.8, 0.78575, 3.65E-04
526.4, 0.83158, 4.16E-04
528.5, 0.82273, 4.49E-04
529.8, 0.81445, 3.56E-04
531.6, 0.79493, 3.81E-04
534.0, 0.79680, 3.92E-04
536.0, 0.82873, 3.82E-04
537.8, 0.81287, 3.44E-04
539.7, 0.80878, 4.16E-04
542.7, 0.82323, 3.70E-04
543.8, 0.81808, 3.51E-04
545.2, 0.83800, 3.60E-04
547.9, 0.85296, 3.59E-04
550.6, 0.84894, 3.91E-04
552.0, 0.82597, 3.51E-04
554.0, 0.80287, 4.40E-04
555.7, 0.79439, 4.11E-04
557.6, 0.82127, 4.13E-04
559.8, 0.82381, 3.50E-04
562.0, 0.87137, 4.44E-04
563.8, 0.79572, 3.63E-04
566.1, 0.85801, 3.81E-04
568.0, 0.80961, 3.60E-04
569.2, 0.79616, 4.34E-04
572.0, 0.82024, 4.54E-04
573.8, 0.85441, 3.70E-04
575.7, 0.80650, 3.82E-04
578.3, 0.85386, 4.15E-04
580.4, 0.83145, 3.81E-04
582.3, 0.78559, 3.54E-04
583.8, 0.83193, 4.27E-04
586.8, 0.83009, 4.51E-04
588.3, 0.81840, 3.87E-04
589.9, 0.88265, 3.64E-04
591.6, 0.86919, 4.17E-04
593.8, 0.83394, 3.75E-04
596.4, 0.81326, 3.75E-04
597.9, 0.82185, 4.37E-04
600.3, 0.85881, 3.58E-04
602.3, 0.81084, 3.87E-04
604.3, 0.78857, 3.43E-04
606.4, 0.83451, 3.65E-04
608.7, 0.81493, 4.35E-04
609.7, 0.81630, 3.65E-04
612.3, 0.82935, 3.70E-04
613.6, 0.83800, 4.28E-04
615.5, 0.81652, 4.01E-04
618.0, 0.82421, 4.25E-04
619.8, 0.86507, 3.88E-04
621.9, 0.86215, 4.56E-04
623.8, 0.77387, 4.20E-04
626.1, 0.81733, 4.01E-04
627.8, 0.85219, 3.72E-04
630.2, 0.81081, 4.14E-04
631.9, 0.87683, 4.18E-04
633.9, 0.82905, 3.48E-04
636.0, 0.82295, 4.19E-04
638.3, 0.82108, 4.45E-04
639.9, 0.82071, 3.60E-04
641.7, 0.81280, 4.44E-04
644.3, 0.85762, 4.15E-04
646.1, 0.81562, 3.72E-04
648.4, 0.83571, 3.82E-04
650.0, 0.87939, 3.98E-04
651.6, 0.92004, 3.46E-04
653.2, 0.85684, 4.02E-04
655.2, 0.80426, 4.50E-04
657.9, 0.89632, 4.51E-04
659.7, 0.77033, 4.47E-04
662.0, 0.81715, 4.39E-04
664.2, 0.88892, 3.73E-04
666.1, 0.92202, 4.55E-04
668.3, 0.86489, 3.77E-04
669.2, 0.91952, 4.40E-04
672.5, 0.89169, 4.30E-04
674.3, 0.84916, 3.45E-04
675.9, 0.89493, 3.92E-04
677.7, 0.85625, 4.11E-04
680.3, 0.90313, 3.79E-04
681.8, 0.87505, 3.63E-04
684.0, 0.83015, 4.01E-04
685.7, 0.83530, 3.58E-04
687.7, 0.85414, 3.45E-04
690.6, 0.89048, 4.51E-04
691.8, 0.98224, 4.48E-04
694.0, 0.87174, 4.15E-04
696.5, 0.79512, 3.62E-04
698.2, 0.92100, 3.79E-04
699.8, 0.76177, 4.46E-04
702.1, 0.77771, 4.52E-04
703.6, 0.84317, 3.44E-04
705.9, 0.94450, 3.56E-04
708.6, 0.90071, 4.18E-04
710.2, 0.75060, 3.48E-04
712.1, 0.86797, 4.52E-04
714.1, 0.80297, 4.48E-04
715.9, 0.86461, 4.11E-04
717.5, 0.85661, 4.06E-04
719.4, 0.88732, 3.82E-04
722.1, 0.88890, 4.41E-04
724.0, 0.86969, 4.20E-04
725.8, 0.87926, 3.64E-04
727.8, 0.85180, 4.36E-04
729.9, 0.88301, 3.44E-04
731.6, 0.82497, 4.41E-04
734.4, 0.90233, 3.63E-04
735.7, 0.81803, 3.55E-04
738.4, 0.95412, 4.57E-04
740.0, 0.96055, 4.14E-04
741.8, 0.88946, 3.63E-04
743.8, 0.79392, 4.56E-04
746.3, 0.83395, 3.93E-04
747.7, 0.87936, 4.42E-04
749.9, 0.92618, 3.60E-04
752.2, 0.88132, 3.47E-04
754.0, 0.87211, 4.31E-04
755.7, 0.91620, 3.74E-04
758.1, 0.88164, 4.06E-04
760.0, 0.97260, 4.34E-04
761.9, 0.81944, 4.43E-04
763.7, 1.00321, 3.48E-04
766.4, 0.93022, 4.09E-04
767.4, 0.90421, 4.33E-04
770.8, 0.97139, 3.81E-04
771.9, 0.82027, 3.67E-04
774.2, 0.85539, 4.21E-04
776.0, 0.84690, 3.73E-04
777.8, 0.90181, 4.34E-04
780.1, 0.97399, 4.06E-04
781.9, 0.92951, 4.04E-04
784.1, 0.97042, 3.45E-04
785.9, 0.72642, 4.26E-04
788.5, 0.90256, 4.23E-04
789.5, 0.89402, 3.81E-04
791.6, 0.85883, 4.02E-04
794.2, 0.79833, 4.37E-04
796.3, 0.72369, 3.81E-04
798.0, 0.77532, 3.77E-04
800.0, 0.92348, 4.42E-04
802.0, 0.76061, 3.66E-04
804.2, 0.95570, 3.42E-04
805.7, 0.86731, 4.23E-04
807.8, 0.83243, 4.12E-04
810.0, 0.70982, 3.89E-04
811.6, 0.83749, 4.55E-04
814.2, 0.77291, 3.86E-04
816.0, 0.75095, 3.94E-04
817.9, 0.99095, 4.49E-04
819.7, 0.75422, 3.90E-04
822.4, 0.73560, 4.57E-04
824.0, 1.24402, 3.74E-04
825.8, 0.95607, 4.39E-04
828.1, 0.97077, 3.64E-04
829.7, 0.81858, 4.18E-04
831.6, 0.98062, 3.53E-04
833.6, 0.86901, 3.84E-04
836.3, 0.86452, 4.15E-04
837.9, 1.13107, 3.85E-04
840.6, 0.86009, 4.20E-04
842.1, 0.84241, 3.53E-04
844.5, 0.95675, 4.06E-04
845.6, 0.87840, 4.26E-04
847.6, 0.82386, 3.97E-04
849.6, 0.70949, 4.14E-04
851.7, 0.93338, 4.02E-04
854.5, 0.91021, 3.45E-04
856.2, 0.99184, 3.59E-04
857.9, 0.89479, 4.20E-04
860.4, 0.80634, 3.51E-04
861.7, 0.91886, 3.73E-04
864.0, 1.10873, 4.13E-04
865.7, 0.97738, 3.75E-04
868.4, 0.95792, 3.65E-04
869.7, 0.75943, 3.91E-04
871.9, 0.88402, 3.55E-04
874.5, 0.87722, 4.06E-04
876.5, 1.00342, 3.83E-04
878.0, 1.07241, 3.58E-04
879.8, 0.73775, 3.66E-04
882.4, 0.93036, 4.35E-04
884.5, 1.08057, 3.63E-04
885.3, 0.73945, 4.33E-04
888.4, 0.98801, 3.45E-04
890.8, 0.86985, 3.53E-04
892.1, 0.85709, 4.42E-04
893.6, 0.78610, 3.58E-04
896.5, 0.74831, 3.92E-04
898.1, 0.87294, 4.27E-04
899.4, 1.23980, 3.80E-04
902.6, 0.80889, 4.40E-04
903.3, 0.77136, 4.03E-04
906.2, 0.83152, 3.75E-04
908.0, 0.78214, 4.17E-04
909.9, 1.12145, 4.07E-04
911.7, 0.96697, 3.52E-04
914.2, 0.96371, 4.26E-04
916.3, 1.07115, 4.56E-04
917.9, 0.63513, 4.34E-04
920.2, 0.99412, 4.23E-04
921.6, 1.11318, 3.45E-04
924.1, 0.86636, 3.87E-04
926.1, 0.74424, 4.49E-04
928.0, 0.95547, 4.42E-04
930.7, 0.80500, 4.55E-04
932.0, 0.90772, 4.26E-04
933.7, 0.88798, 3.65E-04
935.2, 1.04384, 4.15E-04
938.2, 0.96819, 3.50E-04
939.5, 1.07175, 3.85E-04
