# Casimir force F for a sphere of radius R above a plate at various separations L
# measured by Ricardo Decca
#
# R = 102800nm
#
# F_PR = -pi^3*hbar*c*R/(360*L^3)
#
# L (nm), F/F_PR
1.60652E2, 0.64163
1.69968E2, 0.6623
1.8093E2, 0.68686
1.90417E2, 0.69802
1.99635E2, 0.70191
2.09538E2, 0.7006
2.20518E2, 0.71837
2.30102E2, 0.71623
2.39769E2, 0.72591
2.50443E2, 0.73668
2.60008E2, 0.74641
2.7008E2, 0.76103
2.79825E2, 0.76568
2.90874E2, 0.76643
3.00308E2, 0.76406
3.09566E2, 0.76443
3.2098E2, 0.79334
3.30107E2, 0.78399
3.40017E2, 0.79425
3.50097E2, 0.79794
3.59857E2, 0.80304
3.70332E2, 0.80732
3.79725E2, 0.80678
3.89693E2, 0.81571
4.00461E2, 0.83249
4.10269E2, 0.81922
4.20311E2, 0.8183
4.30026E2, 0.83714
4.39291E2, 0.84229
4.50249E2, 0.82682
4.60204E2, 0.83291
4.70683E2, 0.84697
4.79569E2, 0.85036
4.89409E2, 0.85603
5.00476E2, 0.84855
5.10556E2, 0.84692
5.20007E2, 0.84394
5.30471E2, 0.86459
5.39952E2, 0.86594
5.49081E2, 0.87564
5.59859E2, 0.85669
5.68926E2, 0.86048
5.8015E2, 0.84375
5.90219E2, 0.86178
5.991E2, 0.8762
6.0981E2, 0.88464
6.19358E2, 0.88887
6.29153E2, 0.8858
6.40522E2, 0.87975
6.49744E2, 0.8857
6.59861E2, 0.87426
6.70546E2, 0.87619
6.8008E2, 0.89482
6.8987E2, 0.88905
7.0011E2, 0.88343
7.09212E2, 0.88165
7.2064E2, 0.89215
7.29581E2, 0.89977
7.39843E2, 0.91492
7.49482E2, 0.89792
