# R=5.7e-06
# T=300
# R/L, L (in m), F (in N), F_pfa (in N), 1-F/F_PFA
330.578512397, 1.72425e-08, -6.60906744437e-10, -6.62019812601e-10, 0.0016813215289
312.5, 1.824e-08, -5.77639494497e-10, -5.78683725078e-10, 0.00180449274118
296.296296296, 1.92375e-08, -5.08323933507e-10, -5.09306344245e-10, 0.00192891910443
281.690140845, 2.0235e-08, -4.50091047542e-10, -4.51017626496e-10, 0.00205441849625
268.456375839, 2.12325e-08, -4.00761789105e-10, -4.01637760539e-10, 0.00218099870005
256.41025641, 2.223e-08, -3.58659134936e-10, -3.5948905682e-10, 0.00230861515516
245.398773006, 2.32275e-08, -3.2247688102e-10, -3.23264655947e-10, 0.00243693491491
235.294117647, 2.4225e-08, -2.91186234334e-10, -2.91935343911e-10, 0.00256601193318
225.988700565, 2.52225e-08, -2.63968842484e-10, -2.64682397311e-10, 0.00269589075189
217.391304348, 2.622e-08, -2.40167819342e-10, -2.40848508548e-10, 0.00282621308369
209.42408377, 2.72175e-08, -2.19251183655e-10, -2.19901462375e-10, 0.00295713685737
202.02020202, 2.8215e-08, -2.00784907751e-10, -2.01406932435e-10, 0.00308839758892
195.12195122, 2.92125e-08, -1.84412167375e-10, -1.85007885574e-10, 0.00321996112262
188.679245283, 3.021e-08, -1.69837648527e-10, -1.7040883101e-10, 0.00335183617166
182.648401826, 3.12075e-08, -1.56815398072e-10, -1.57363661683e-10, 0.00348405473783
176.991150442, 3.2205e-08, -1.45139393795e-10, -1.45666186235e-10, 0.00361643600207
171.673819742, 3.32025e-08, -1.34636083897e-10, -1.35142695957e-10, 0.00374871950885
166.666666667, 3.42e-08, -1.25158419746e-10, -1.25646084811e-10, 0.00388125953888
161.943319838, 3.51975e-08, -1.16581323141e-10, -1.17051164419e-10, 0.00401398209556
157.480314961, 3.6195e-08, -1.08797895204e-10, -1.09250906202e-10, 0.00414651936636
153.256704981, 3.71925e-08, -1.01716290983e-10, -1.02153407894e-10, 0.00427902425974
149.253731343, 3.819e-08, -9.52573515776e-11, -9.56794301711e-11, 0.00441138280914
145.454545455, 3.91875e-08, -8.93525444202e-11, -8.97603848962e-11, 0.00454365783389
141.843971631, 4.0185e-08, -8.39422998936e-11, -8.43366833764e-11, 0.00467629822538
138.408304498, 4.11825e-08, -7.89748419501e-11, -7.93563733382e-11, 0.00480782288915
135.135135135, 4.218e-08, -7.44046277971e-11, -7.47740086491e-11, 0.00493996321298
132.01320132, 4.31775e-08, -7.01918580437e-11, -7.05497078264e-11, 0.00507230708298
129.032258065, 4.4175e-08, -6.63015719429e-11, -6.66483663011e-11, 0.00520334371949
126.1829653, 4.51725e-08, -6.27027060018e-11, -6.3038994652e-11, 0.00533461315625
123.456790123, 4.617e-08, -5.93678934657e-11, -5.96941603772e-11, 0.00546564202349
120.84592145, 4.71675e-08, -5.62728102149e-11, -5.65895152897e-11, 0.00559653273486
118.343195266, 4.8165e-08, -5.33958334697e-11, -5.3703393909e-11, 0.00572702052826
115.942028986, 4.91625e-08, -5.07176542835e-11, -5.10164710008e-11, 0.00585725965334
113.636363636, 5.016e-08, -4.82210128199e-11, -4.85114686017e-11, 0.00598736319952
111.420612813, 5.11575e-08, -4.58904671932e-11, -4.61729045692e-11, 0.00611695059152
109.289617486, 5.2155e-08, -4.3712126849e-11, -4.39868760853e-11, 0.0062461638715
107.238605898, 5.31525e-08, -4.16734773225e-11, -4.19408727509e-11, 0.00637553324233
105.263157895, 5.415e-08, -3.97633025304e-11, -4.00236147383e-11, 0.0065039654616
103.359173127, 5.51475e-08, -3.79713948319e-11, -3.82249122608e-11, 0.0066322566582
101.52284264, 5.6145e-08, -3.62885378876e-11, -3.65355432629e-11, 0.00676068707968
99.7506234414, 5.71425e-08, -3.47064268189e-11, -3.4947146651e-11, 0.00688811119441
98.0392156863, 5.814e-08, -3.32174442546e-11, -3.34521289071e-11, 0.00701553713213
96.3855421687, 5.91375e-08, -3.18147072993e-11, -3.20435821999e-11, 0.00714261280721
94.7867298578, 6.0135e-08, -3.04919414722e-11, -3.07152123971e-11, 0.00726906661105
93.2400932401, 6.11325e-08, -2.92433988672e-11, -2.94612756769e-11, 0.0073953623756
91.7431192661, 6.213e-08, -2.8063835087e-11, -2.82765225695e-11, 0.00752169868001
90.2934537246, 6.31275e-08, -2.69484771017e-11, -2.71561484566e-11, 0.00764730518519
88.8888888889, 6.4125e-08, -2.589293142e-11, -2.60957497185e-11, 0.0077720816866
87.5273522976, 6.51225e-08, -2.48931335717e-11, -2.50912847815e-11, 0.00789721257704
86.2068965517, 6.612e-08, -2.39454030829e-11, -2.41390394671e-11, 0.00802171041108
84.9256900212, 6.71175e-08, -2.30463217754e-11, -2.32355961255e-11, 0.00814587881206
83.6820083682, 6.8115e-08, -2.21927516491e-11, -2.23778060591e-11, 0.00826955106889
82.4742268041, 6.91125e-08, -2.13817882517e-11, -2.15627648835e-11, 0.00839301605293
81.3008130081, 7.011e-08, -2.06107584574e-11, -2.07877904385e-11, 0.00851615189904
80.1603206413, 7.11075e-08, -1.98771939822e-11, -2.00504029832e-11, 0.00863867929158
79.0513833992, 7.2105e-08, -1.91787917398e-11, -1.93483074006e-11, 0.00876126563816
77.9727095517, 7.31025e-08, -1.85134494997e-11, -1.8679377172e-11, 0.00888293387894
76.9230769231, 7.41e-08, -1.78791813396e-11, -1.80416399474e-11, 0.009004647485
