# L (m), R (m), T (K), P_Drude (mPa), P_Plasma (mPa), P_PFA_Drude (mPa), P_PFA_Plasma (mPa), P_Drude/P_PFA_Drude, P_Plasma/P_PFA_Plasma
8.5e-08, 4e-05, 295, -10759.1490208, -10851.1051317, -10769.1467051, -10862.0318672, 0.99907163635, 0.998994043143
9e-08, 4e-05, 295, -8795.74024066, -8877.57267551, -8804.47652253, -8887.163773, 0.999007745452, 0.998920792085
9.5e-08, 4e-05, 295, -7266.09914914, -7339.24916035, -7273.7761508, -7347.71510842, 0.998944564487, 0.99884781215
1e-07, 4e-05, 295, -6059.01369681, -6124.67327765, -6065.79714067, -6132.18696538, 0.998881689628, 0.998774713201
1.05e-07, 4e-05, 295, -5095.4184755, -5154.58070212, -5101.43809594, -5161.27803677, 0.998820014998, 0.998702388322
1.1e-07, 4e-05, 295, -4318.12142329, -4371.61923991, -4323.49112437, -4377.61947154, 0.998758017325, 0.998629339149
1.15e-07, 4e-05, 295, -3685.13530595, -3733.67171357, -3689.94188039, -3739.06628568, 0.998697384786, 0.998557240844
1.2e-07, 4e-05, 295, -3165.18006965, -3209.35183684, -3169.50108544, -3214.22238329, 0.99863668897, 0.998484689025
1.25e-07, 4e-05, 295, -2734.67173179, -2774.98818306, -2738.56845949, -2779.39954284, 0.998577093196, 0.998412837123
1.3e-07, 4e-05, 295, -2375.60717241, -2412.50518997, -2379.13469133, -2416.51558801, 0.998517310123, 0.998340421201
1.35e-07, 4e-05, 295, -2074.10657459, -2107.96266985, -2077.3090047, -2111.61900822, 0.998458375668, 0.99826846682
1.4e-07, 4e-05, 295, -1819.35554655, -1850.49563721, -1822.27097712, -1853.83847492, 0.998400111396, 0.998196802065
1.45e-07, 4e-05, 295, -1602.85343662, -1631.5608181, -1605.51452637, -1634.62501373, 0.998342531498, 0.998125444304
1.5e-07, 4e-05, 295, -1417.85926647, -1444.38114981, -1420.29597638, -1447.19863076, 0.998284364703, 0.99805314841
1.55e-07, 4e-05, 295, -1258.99129417, -1283.54420175, -1261.226558, -1286.13966286, 0.998227706339, 0.997981975687
1.6e-07, 4e-05, 295, -1121.91373518, -1144.68797263, -1123.96838585, -1147.08382933, 0.998171967568, 0.997911349951
1.65e-07, 4e-05, 295, -1003.11094276, -1024.27432509, -1005.00541381, -1026.49243899, 0.998114964333, 0.997839132744
1.7e-07, 4e-05, 295, -899.72023065, -919.421209076, -901.469298889, -921.477644926, 0.998059758396, 0.99776832801
1.75e-07, 4e-05, 295, -809.387682933, -827.757968395, -811.005875821, -829.668420915, 0.998004708799, 0.997697330075
1.8e-07, 4e-05, 295, -730.172215893, -747.328999525, -731.671948245, -749.106942931, 0.997950266706, 0.997626582662
1.85e-07, 4e-05, 295, -660.462603732, -676.510439421, -661.854910134, -678.167872095, 0.99789635707, 0.997556014164
1.9e-07, 4e-05, 295, -598.914303916, -613.946711005, -600.209701423, -615.495029356, 0.997841758466, 0.99748443403
1.95e-07, 4e-05, 295, -544.402626556, -558.503462497, -545.609027408, -559.951380676, 0.997788891328, 0.997414207326
2e-07, 4e-05, 295, -495.977774712, -509.222407391, -497.103801671, -510.579283879, 0.997734825291, 0.997342476418
2.05e-07, 4e-05, 295, -452.84061289, -465.296938118, -453.891523925, -466.568701704, 0.99768466477, 0.997274220108
2.1e-07, 4e-05, 295, -414.307292227, -426.036598112, -415.29085698, -427.231639737, 0.997631624351, 0.997202825087
2.15e-07, 4e-05, 295, -379.799261302, -390.856992621, -380.72107695, -391.981478905, 0.997578763812, 0.997131277001
2.2e-07, 4e-05, 295, -348.821341885, -359.257757055, -349.685377129, -360.316179314, 0.997529106733, 0.997062518091
2.25e-07, 4e-05, 295, -320.945377565, -330.806114652, -321.757236388, -331.804563389, 0.997476797001, 0.996990852909
2.3e-07, 4e-05, 295, -295.805975444, -305.13255962, -296.569237733, -306.075061499, 0.997426360553, 0.996920683851
2.35e-07, 4e-05, 295, -273.08593648, -281.916215136, -273.80385571, -282.806436811, 0.997377979835, 0.996852187368
2.4e-07, 4e-05, 295, -252.508990482, -260.87751358, -253.185833771, -261.720108825, 0.99732669368, 0.996780548317
2.45e-07, 4e-05, 295, -233.837002589, -241.775366546, -234.475851477, -242.573774151, 0.997275417133, 0.996708598828
2.5e-07, 4e-05, 295, -216.862977845, -224.400126917, -217.465242867, -225.156084694, 0.997230522843, 0.996642516776
2.55e-07, 4e-05, 295, -201.40214969, -208.564627046, -201.971575034, -209.282191388, 0.997180665923, 0.996571307206
2.6e-07, 4e-05, 295, -187.296189539, -194.108382633, -187.834933609, -194.789999369, 0.997131821757, 0.996500761135
2.65e-07, 4e-05, 295, -174.40461156, -180.888955542, -174.914791399, -181.537010207, 0.997083266461, 0.996430178812
2.7e-07, 4e-05, 295, -162.603804128, -168.780966898, -163.08735994, -169.397650365, 0.997034989026, 0.996359551235
2.75e-07, 4e-05, 295, -151.784851571, -157.673899059, -152.243342386, -158.261003882, 0.996988434384, 0.996290274872
2.8e-07, 4e-05, 295, -141.850964239, -147.469505601, -142.28602109, -148.028882208, 0.99694237812, 0.996221165772
2.85e-07, 4e-05, 295, -132.716251206, -138.080570068, -133.12962528, -138.614176278, 0.996894950516, 0.996150421087
2.9e-07, 4e-05, 295, -124.304854277, -129.430028637, -124.697933835, -129.939445532, 0.996847746022, 0.996079582351
2.95e-07, 4e-05, 295, -116.549250892, -121.449258892, -116.923076054, -121.935706545, 0.996802811088, 0.996010621775
3e-07, 4e-05, 295, -109.388636376, -114.076448589, -109.744499657, -114.54139027, 0.996757347461, 0.995940841299
3.05e-07, 4e-05, 295, -102.768855358, -107.256521517, -103.108080418, -107.70144216, 0.996710005088, 0.995868944432
3.1e-07, 4e-05, 295, -96.6419628649, -100.940692082, -96.9653521456, -101.366543677, 0.99666489861, 0.995798894003
3.15e-07, 4e-05, 295, -90.9645478615, -95.0847761489, -91.2728391249, -95.4924372152, 0.996622311015, 0.995730959663
3.2e-07, 4e-05, 295, -85.6972070149, -89.6486579102, -85.9914760849, -90.0393393594, 0.996577927448, 0.995660991608
3.25e-07, 4e-05, 295, -80.8049448036, -84.5966895818, -81.0861030865, -84.9714297871, 0.996532595941, 0.995589809349
3.3e-07, 4e-05, 295, -76.2563304987, -79.8968406132, -76.5250247107, -80.2564051059, 0.996488805941, 0.995519803158
3.35e-07, 4e-05, 295, -72.0226204744, -75.5198123757, -72.2796245567, -75.8650885588, 0.996444308006, 0.995448813287
3.4e-07, 4e-05, 295, -68.0781298283, -71.4394103275, -68.3240274383, -71.7710879237, 0.996401008266, 0.99537867398
3.45e-07, 4e-05, 295, -64.399486526, -67.6317904519, -64.6348027861, -67.9504950559, 0.996359294839, 0.995309753023
3.5e-07, 4e-05, 295, -60.9652341665, -64.0750581034, -61.1907037408, -64.3816215097, 0.996315296924, 0.995238339777
3.55e-07, 4e-05, 295, -57.7564127879, -60.7498521809, -57.9724372218, -61.0447654812, 0.996273669967, 0.995168901084
3.6e-07, 4e-05, 295, -54.7553776881, -57.6381526023, -54.9624609247, -57.9220059856, 0.996232278666, 0.995099386176
3.65e-07, 4e-05, 295, -51.9461493957, -54.7236328293, -52.1448037839, -54.9970207738, 0.99619033204, 0.995029040834
3.7e-07, 4e-05, 295, -49.3142535901, -51.9914970526, -49.5049069257, -52.2549249828, 0.996148799233, 0.994958792301
3.75e-07, 4e-05, 295, -46.8463435973, -49.428098827, -47.0294825321, -49.6821279146, 0.996105869659, 0.994886912089
3.8e-07, 4e-05, 295, -44.5304630026, -47.0212051609, -44.7063884033, -47.2662057095, 0.996064871106, 0.994816581002
3.85e-07, 4e-05, 295, -42.3554375455, -44.7593822364, -42.5245163023, -44.9957879747, 0.9960239699, 0.994746047376
3.9e-07, 4e-05, 295, -40.3111687733, -42.6322910736, -40.4736924075, -42.8604566795, 0.995984462387, 0.994676547486
3.95e-07, 4e-05, 295, -38.3882238925, -40.6302729225, -38.5445884406, -40.8506558647, 0.995943281419, 0.99460515535
4e-07, 4e-05, 295, -36.5781727457, -38.7446892544, -36.7286422006, -38.9576108862, 0.995903212154, 0.99453453056
4.05e-07, 4e-05, 295, -34.8730933643, -36.9674215222, -35.0179864183, -37.1732560917, 0.995862324799, 0.994462831855
4.1e-07, 4e-05, 295, -33.2658758288, -35.2911782369, -33.4053849635, -35.4901699548, 0.99582375312, 0.994393046917
4.15e-07, 4e-05, 295, -31.7497688725, -33.7090359375, -31.8841755794, -33.9015168266, 0.995784532471, 0.994322351709
4.2e-07, 4e-05, 295, -30.3187099329, -32.2147727274, -30.4482183986, -32.4009945558, 0.995746599552, 0.994252589128
4.25e-07, 4e-05, 295, -28.9669814455, -30.8025203977, -29.0918496093, -30.9827873316, 0.995707795638, 0.994181707023
