# LbyR, T [K], ldim, E*(L+R)/(hbar*c), E_PFA*(L+R)/(hbar*c), E/E_PFA, E/E_PFA-1-theta1*L/R
0.1, 0, 150, -4.20070223332, -4.73707004838, 0.886772243267, 0.0560812772186
0.0950492390112, 0, 150, -4.65305807207, -5.21979540915, 0.891425373475, 0.0523523218235
0.090343578366, 0, 150, -5.15404896746, -5.75288794905, 0.895906371392, 0.0488662111609
0.0858708837324, 0, 150, -5.70889772007, -6.34166716755, 0.900220331537, 0.0456074952296
0.0816196215198, 0, 150, -6.32338715721, -6.99201780695, 0.904372290202, 0.0425616829121
0.0775788291384, 0, 150, -7.00392009963, -7.71045009494, 0.908367217657, 0.039715183822
0.0737380867298, 0, 150, -7.75758574269, -8.50416641722, 0.9122100112, 0.0370552534961
0.0700874902981, 0, 150, -8.59223313638, -9.38113510684, 0.915905488891, 0.0345699416353
0.0666176261704, 0, 150, -9.51655251907, -10.3501721107, 0.919458383614, 0.0322480429247
0.0633195467222, 0, 150, -10.5401653362, -11.4210313745, 0.922873336968, 0.0300790498257
0.0601847473048, 0, 150, -11.6737238533, -12.6045048771, 0.926154892012, 0.0280531062596
0.057205144314, 0, 150, -12.9290213497, -13.9125333457, 0.929307483293, 0.026160960502
0.0543730543457, 0, 150, -14.3191139497, -15.358328793, 0.932335421562, 0.0243939146047
0.0516811743828, 0, 155, -15.8584599698, -16.956510138, 0.935243150905, 0.0227440479869
0.0491225629628, 0, 163, -17.5630642429, -18.72325331, 0.938034857088, 0.0212037938925
0.046690622279, 0, 172, -19.4506436491, -20.6764573815, 0.940714518463, 0.019765959989
0.0443790811657, 0, 181, -21.5408127835, -22.835928444, 0.943286051901, 0.0184238454991
0.0421819789282, 0, 190, -23.855287327, -25.2235831211, 0.945753313969, 0.0171712149936
0.0400936499711, 0, 200, -26.4181089181, -27.8636738179, 0.948120089648, 0.0160022610895
0.0381087091893, 0, 210, -29.2558912864, -30.7830380285, 0.950389992676, 0.0149114800556
0.0362220380814, 0, 221, -32.3980991459, -34.0113742725, 0.952566599816, 0.0138937825695
0.0344287715508, 0, 233, -35.877350283, -37.5815475062, 0.954653351544, 0.0129443720581
0.0327242853599, 0, 245, -39.729752726, -41.5299271573, 0.956653561551, 0.0120587329618
0.0311041842064, 0, 258, -43.995281363, -45.8967612681, 0.958570499256, 0.0112326930541
0.0295642903888, 0, 271, -48.7181870656, -50.7265906082, 0.960407283074, 0.0104622975259
0.0281006330336, 0, 285, -53.9474587235, -56.068707025, 0.962166983794, 0.00974389411758
0.0267094378558, 0, 300, -59.7373264135, -61.9776607612, 0.963852550738, 0.00907404194563
0.0253871174261, 0, 316, -66.1478231284, -68.5138219705, 0.965466839039, 0.00844952230169
0.0241302619204, 0, 332, -73.2454043487, -75.7440022223, 0.967012597693, 0.00786731104083
0.0229356303267, 0, 349, -81.103637246, -83.7421424102, 0.968492504631, 0.00732459876801
0.021800142088, 0, 367, -89.8039609689, -92.5900741525, 0.969909159171, 0.00681876914048
0.020720869158, 0, 387, -99.4365274456, -102.378362551, 0.971265069766, 0.00634737316368
0.0196950284512, 0, 407, -110.101128262, -113.207238985, 0.972562613925, 0.00590807633168
0.0187199746659, 0, 428, -121.908235631, -125.187633579, 0.9738041382, 0.0054987464627
0.017793193463, 0, 450, -134.98013735, -138.442317988, 0.974991890573, 0.0051173745343
0.0169122949824, 0, 474, -149.452204158, -153.107170283, 0.976128053842, 0.0047620970955
0.0160750076801, 0, 498, -165.47428013, -169.332575009, 0.977214691981, 0.00443113219202
0.0152791724709, 0, 524, -183.212245552, -187.284972827, 0.97825384913, 0.0041228684362
0.0145227371608, 0, 551, -202.84971577, -207.148575753, 0.979247455756, 0.00383576174631
0.0138037511549, 0, 580, -224.589949199, -229.12726569, 0.980197396077, 0.00356839380621
0.0131203604277, 0, 610, -248.657937845, -253.446695817, 0.981105463001, 0.00331941849165
0.0124708027421, 0, 642, -275.302741141, -280.356616547, 0.981973404199, 0.0030875998477
0.0118534031049, 0, 675, -304.800048211, -310.133450051, 0.982802881023, 0.00287176331017
0.0112665694482, 0, 711, -337.455040126, -343.083139849, 0.983595522283, 0.00267084217548
0.0107087885232, 0, 748, -373.605520396, -379.544305004, 0.984352855438, 0.0024838018344
0.0101786219986, 0, 786, -413.625422797, -419.891731311, 0.985076370771, 0.00230969734624
0.00967470275147, 0, 827, -457.928674433, -464.540235607, 0.985767516638, 0.00214766240396
0.00919573134187, 0, 870, -506.973453137, -513.948943048, 0.986427659778, 0.00199686367753
0.00874047266196, 0, 916, -561.266937311, -568.626021496, 0.98705812976, 0.00185653958685
0.00830775275117, 0, 963, -621.370523564, -629.13392184, 0.98766018171, 0.00172595763566
0.00789645576892, 0, 1014, -687.90565834, -696.095178361, 0.988235057108, 0.00160447008633
0.00750552111721, 0, 1066, -761.560207005, -770.198828992, 0.98878390662, 0.0014914319162
0.00713394070573, 0, 1122, -843.095611928, -852.207521695, 0.989307874508, 0.00138628059983
0.00678075635231, 0, 1180, -933.354703144, -942.965380327, 0.989808027544, 0.0012884606188
0.00644505731207, 0, 1242, -1033.27044616, -1043.40671115, 0.990285413267, 0.00119747753925
0.00612597792896, 0, 1306, -1143.87553265, -1154.56563981, 0.990741013941, 0.00111284799282
0.00582269540346, 0, 1374, -1266.31308896, -1277.58677829, 0.991175793672, 0.00103414300992
0.00553442767093, 0, 1446, -1401.84844488, -1413.73703185, 0.991590665948, 0.000960951971892
0.00526043138484, 0, 1521, -1551.88220216, -1564.41866785, 0.991986502114, 0.000892887673611
0.005, 0, 1600, -1717.96471644, -1731.18378132, 0.992364146997, 0.000829598694515
0.00459390605191, 0, 1742, -2035.51067474, -2049.95082082, 0.992955857313, 0.000733755270398
0.00422079456275, 0, 1896, -2411.72038602, -2427.49253462, 0.993502699443, 0.000648885942334
0.00387798673713, 0, 2063, -2857.42788188, -2874.65290331, 0.994007964783, 0.000573746664565
0.00356302134818, 0, 2246, -3385.46767473, -3404.27725402, 0.994474721682, 0.000507238706484
0.0032736370669, 0, 2444, -4011.04403712, -4031.58168056, 0.99490580991, 0.00044837320327
0.00300775622667, 0, 2660, -4752.16861463, -4774.59065818, 0.995303881495, 0.000396284505833
0.00276346990647, 0, 2895, -5630.17866551, -5654.65544184, 0.995671393848, 0.000350198050242
0.00253902422552, 0, 3151, -6670.35108906, -6697.06816149, 0.996010631551, 0.000309428938796
0.00233280775111, 0, 3430, -7902.62976163, -7931.78928019, 0.996323714924, 0.000273369191111
0.00214333992915, 0, 3733, -9362.48714531, -9394.30934282, 0.996612609151, 0.00024147727916
0.00196926045437, 0, 4063, -11091.9450378, -11126.6698062, 0.996879140927, 0.000213276778584
0.00180931950382, 0, 4422, -13140.7836585, -13178.6723191, 0.997125001695, 0.000188343067735
0.00166236876368, 0, 4813, -15567.9740471, -15609.311239, 0.997351760667, 0.000166301161773
0.0015273531848, 0, 5238, -18443.3748165, -18488.4705999, 0.997560869992, 0.000146816914597
0.00140330340781, 0, 5701, -21849.7422789, -21898.93435, 0.997753677402, 0.000129596845309
0.00128932880356, 0, 6205, -25885.1111757, -25938.7676891, 0.997931416248, 0.000114366390006
0.00118461107871, 0, 6754, -30665.6170943, -30724.1380178, 0.998095278588, 0.000100932161757
0.00108839840073, 0, 7351, -36328.8346706, -36392.6566515, 0.998246295083, 8.90519009845e-05
0.001, 0, 8000, -43037.739146, -43107.3374403, 0.99838546525, 7.85555891853e-05
0.0009, 0, 8889, -53136.1082073, -53213.6185345, 0.998543411831, 6.7193136242e-05
0.0008, 0, 10000, -67254.3430048, -67341.757165, 0.998701932295, 5.64045665685e-05
0.0007, 0, 11429, -87847.6254631, -87947.7921598, 0.998861066387, 4.62296249997e-05
0.0006, 0, 13334, -119577.557056, -119694.754808, 0.999020861421, 3.67156243138e-05
0.0005, 0, 16000, -172202.136943, -172343.221215, 0.999181376147, 2.79213164922e-05
0.0004, 0, 20000, -269082.380645, -269259.367977, 0.999342688301, 1.99244369804e-05
0.00035, 0, 22858, -351465.451694, -351668.127859, 0.999423672069, 1.62536881871e-05
