# numerical results using Fredholm determinants; provided by Benjamin spreng

# L/R                    energy*(2*pi/R)           computation time
1.000000000000000056e-01 -2.399419702702371282e+01 1.048169136047363281e+00
7.896522868499725178e-02 -3.935732245249111116e+01 1.302248239517211914e+00
6.235507341273915233e-02 -6.429344263128260195e+01 1.782833814620971680e+00
4.923882631706739260e-02 -1.046741556969443110e+02 2.734246969223022461e+00
3.888155180308089376e-02 -1.699437772946413361e+02 3.900724172592163086e+00
3.070290629757849860e-02 -2.752814298978025249e+02 5.160556316375732422e+00
2.424462017082328405e-02 -4.450764642906208906e+02 6.592254400253295898e+00
1.914481976169957536e-02 -7.184964526776637967e+02 8.397932052612304688e+00
1.511775070615662374e-02 -1.158427633425797467e+03 1.088129997253417969e+01
1.193776641714437009e-02 -1.865814975882239878e+03 1.429314947128295898e+01
9.426684551178853705e-03 -3.002661036893967776e+03 1.802152037620544434e+01
7.443803013251688513e-03 -4.828913386419606468e+03 2.421493959426879883e+01
5.878016072274911547e-03 -7.761657912085791395e+03 3.139583063125610352e+01
4.641588833612782412e-03 -1.247000255379466762e+04 4.416860032081604004e+01
3.665241237079625968e-03 -2.002731615010321548e+04 5.560348200798034668e+01
2.894266124716751622e-03 -3.215538031207918539e+04 6.932905459403991699e+01
2.285463864134990725e-03 -5.161591382015209092e+04 9.657006907463073730e+01
1.804721766827170138e-03 -8.283855980090227968e+04 1.250320777893066406e+02
1.425102670302999227e-03 -1.329280254636978207e+05 1.574371395111083984e+02
1.125335582600764600e-03 -2.132791717828512192e+05 2.092868623733520508e+02
8.886238162743407155e-04 -3.421674428426880622e+05 2.810296611785888672e+02
7.017038286703829912e-04 -5.489032174976688111e+05 3.526105387210845947e+02
5.541020330009491972e-04 -8.804940551382817794e+05 4.438448905944824219e+02
4.375479375074184211e-04 -1.412329138162533054e+06 5.912399754524230957e+02
3.455107294592218038e-04 -2.265314884969098959e+06 7.863415939807891846e+02
2.728333376486769706e-04 -3.633355754128109198e+06 9.320478479862213135e+02
2.154434690031884489e-04 -5.827424500067623332e+06 1.005462898492813110e+03
1.701254279852589153e-04 -9.346241324623050168e+06 1.437144291639328003e+03
1.343399332598899977e-04 -1.498961953180004284e+07 1.791327003955841064e+03
1.060818355139448306e-04 -2.404024722428320721e+07 2.155618214368820190e+03
8.376776400682923638e-05 -3.855520780807001889e+07 2.554087138414382935e+03
6.614740641230158736e-05 -6.183349916875720024e+07 5.373001156091690063e+03
5.223345074266843603e-05 -9.916581468723818660e+07 5.268792668581008911e+03
4.124626382901347725e-05 -1.590369576021982133e+08 5.654799349308013916e+03
