# L (m), R (m), T (K), P_Drude (mPa), P_Plasma (mPa), P_PFA_Drude (mPa), P_PFA_Plasma (mPa), P_Drude/P_PFA_Drude, P_Plasma/P_PFA_Plasma
1.65e-07, 0.0001, 295, -1004.24658576, -1025.58702922, -1005.00541381, -1026.49243899, 0.999244951284, 0.999117957689
1.7e-07, 0.0001, 295, -900.769076608, -920.638141037, -901.469298889, -921.477644926, 0.999223243342, 0.999088959028
1.75e-07, 0.0001, 295, -810.357751244, -828.887793798, -811.005875821, -829.668420915, 0.999200838617, 0.999059109521
1.8e-07, 0.0001, 295, -731.071306689, -748.38010584, -731.671948245, -749.106942931, 0.999179083526, 0.999029728534
1.85e-07, 0.0001, 295, -661.297198017, -677.489841085, -661.854910134, -678.167872095, 0.999157349883, 0.999000201812
1.9e-07, 0.0001, 295, -599.691035001, -614.861528739, -600.209701423, -615.495029356, 0.999135857983, 0.998970746169
1.95e-07, 0.0001, 295, -545.126106804, -559.358752213, -545.609027408, -559.951380676, 0.999114896236, 0.998941643002
2e-07, 0.0001, 295, -496.652846695, -510.0234184, -497.103801671, -510.579283879, 0.99909283539, 0.998911304285
2.05e-07, 0.0001, 295, -453.470903047, -466.047669528, -453.891523925, -466.568701704, 0.999073300873, 0.998883268051
2.1e-07, 0.0001, 295, -414.897378057, -426.741969563, -415.29085698, -427.231639737, 0.999052522067, 0.998853853208
2.15e-07, 0.0001, 295, -380.352441105, -391.520617164, -380.72107695, -391.981478905, 0.999031743007, 0.998824276743
2.2e-07, 0.0001, 295, -349.339538427, -359.881845222, -349.685377129, -360.316179314, 0.999011000388, 0.998794575109
2.25e-07, 0.0001, 295, -321.432443927, -331.394789376, -321.757236388, -331.804563389, 0.998990566724, 0.998765013932
2.3e-07, 0.0001, 295, -296.263858309, -305.688013872, -296.569237733, -306.075061499, 0.998970292985, 0.998735448665
2.35e-07, 0.0001, 295, -273.516406605, -282.44044719, -273.80385571, -282.806436811, 0.998950164143, 0.998705865307
2.4e-07, 0.0001, 295, -252.915021002, -261.373711161, -253.185833771, -261.720108825, 0.998930379458, 0.998676457587
2.45e-07, 0.0001, 295, -234.220400093, -242.245533401, -234.475851477, -242.573774151, 0.99891054289, 0.99864684156
2.5e-07, 0.0001, 295, -217.223983152, -224.84468224, -217.465242867, -225.156084694, 0.998890582641, 0.998616948527
2.55e-07, 0.0001, 295, -201.743586359, -208.986568437, -201.971575034, -209.282191388, 0.998871184349, 0.99858744335
2.6e-07, 0.0001, 295, -187.619352525, -194.50916358, -187.834933609, -194.789999369, 0.998852284396, 0.99855826382
2.65e-07, 0.0001, 295, -174.71071014, -181.269933205, -174.914791399, -181.537010207, 0.998833253282, 0.998528801361
2.7e-07, 0.0001, 295, -162.893933737, -169.143374608, -163.08735994, -169.397650365, 0.99881397183, 0.998498941652
2.75e-07, 0.0001, 295, -152.059832486, -158.018685139, -152.243342386, -158.261003882, 0.998794627751, 0.998468866389
