# L (m), R (m), T (K), F_Drude (N), F_Plasma (N), F_PFA_Drude (N), F_PFA_Plasma (N), F_Drude/F_PFA_Drude, F_Plasma/F_PFA_Plasma, F_Plasma_xi0 (N), F_Plasma_xi0/F_PFA_Plasma_xi0
1.65e-07, 0.0001, 295, -3.82912130108e-11, -3.96805131673e-11, -3.83330331753e-11, -3.97388023794e-11, 0.998909030646, 0.998533191527, -1.38930015651e-12, 0.988284671812
1.7e-07, 0.0001, 295, -3.53025280687e-11, -3.66271332156e-11, -3.53420583386e-11, -3.66826836442e-11, 0.998881494976, 0.998485649819, -1.3246051469e-12, 0.988050233932
1.75e-07, 0.0001, 295, -3.26178449871e-11, -3.38821656012e-11, -3.26552590829e-11, -3.39351730691e-11, 0.998854270433, 0.99843797856, -1.26432061414e-12, 0.987816859398
1.8e-07, 0.0001, 295, -3.01992608471e-11, -3.14073150291e-11, -3.02347148237e-11, -3.14579561345e-11, 0.998827375195, 0.998390197215, -1.20805418198e-12, 0.987584519355
1.85e-07, 0.0001, 295, -2.80144361275e-11, -2.91698923565e-11, -2.80480718692e-11, -2.92183281112e-11, 0.99880078239, 0.998342281785, -1.15545622902e-12, 0.987353186016
1.9e-07, 0.0001, 295, -2.60356617698e-11, -2.71418761776e-11, -2.60676078166e-11, -2.71882529584e-11, 0.998774492579, 0.998294234613, -1.10621440781e-12, 0.987122833572
1.95e-07, 0.0001, 295, -2.4239098441e-11, -2.52991474068e-11, -2.42694722608e-11, -2.5343599341e-11, 0.998748476298, 0.998246029159, -1.06004896577e-12, 0.986893436779
2e-07, 0.0001, 295, -2.26041594289e-11, -2.3620868172e-11, -2.26330671452e-11, -2.36635169636e-11, 0.998722766291, 0.998197698521, -1.01670874312e-12, 0.986664973814
2.05e-07, 0.0001, 295, -2.1113026205e-11, -2.20889940871e-11, -2.11405384051e-11, -2.21299247613e-11, 0.99869860457, 0.998150437715, -9.75967882124e-13, 0.986437579166
2.1e-07, 0.0001, 295, -1.97501190168e-11, -2.06877412345e-11, -1.97763568195e-11, -2.0727088776e-11, 0.998673274205, 0.998101636852, -9.3762221767e-13, 0.986210899227
2.15e-07, 0.0001, 295, -1.85019265698e-11, -1.9403414288e-11, -1.85269707761e-11, -1.94412723467e-11, 0.998648229838, 0.998052696449, -9.01487718187e-13, 0.985985092009
2.2e-07, 0.0001, 295, -1.73565924188e-11, -1.82239899779e-11, -1.7380517306e-11, -1.82604449126e-11, 0.998623465187, 0.998003611913, -8.67397559083e-13, 0.985760138171
2.25e-07, 0.0001, 295, -1.63037066279e-11, -1.71389069987e-11, -1.63265805791e-11, -1.71740385656e-11, 0.998598974778, 0.99795437941, -8.35200370757e-13, 0.985536019585
2.3e-07, 0.0001, 295, -1.53341032684e-11, -1.61388618181e-11, -1.53559892309e-11, -1.61727436825e-11, 0.998574760497, 0.997905002079, -8.04758549759e-13, 0.98531271927
2.35e-07, 0.0001, 295, -1.443968913e-11, -1.52156359103e-11, -1.44606456139e-11, -1.52483366953e-11, 0.998550791957, 0.997855452325, -7.75946780296e-13, 0.985090219559
2.4e-07, 0.0001, 295, -1.36133004231e-11, -1.43619511645e-11, -1.36333814074e-11, -1.43935344001e-11, 0.998527072357, 0.997805734523, -7.48650741429e-13, 0.984868504896
2.45e-07, 0.0001, 295, -1.28485796772e-11, -1.35713456446e-11, -1.28678350753e-11, -1.36018702738e-11, 0.99850360235, 0.997755850592, -7.22765967469e-13, 0.984647560524
2.5e-07, 0.0001, 295, -1.21398713792e-11, -1.28380682235e-11, -1.21583475154e-11, -1.28675891156e-11, 0.99848037439, 0.997705794628, -6.98196844323e-13, 0.984427371695
2.55e-07, 0.0001, 295, -1.14821328876e-11, -1.21569886114e-11, -1.14998729035e-11, -1.21855570029e-11, 0.998457372866, 0.997655553087, -6.74855723868e-13, 0.984207923839
2.6e-07, 0.0001, 295, -1.08708583671e-11, -1.15235205081e-11, -1.08879022827e-11, -1.15511840934e-11, 0.998434600608, 0.997605129902, -6.52662140935e-13, 0.983989203996
2.65e-07, 0.0001, 295, -1.03020125633e-11, -1.09335546791e-11, -1.03183978761e-11, -1.09603582397e-11, 0.998412029371, 0.997554499582, -6.31542115792e-13, 0.983771197603
2.7e-07, 0.0001, 295, -9.77197504194e-12, -1.03834025816e-11, -9.78773645576e-12, -1.04093877385e-11, 0.998389677339, 0.997503680576, -6.11427539709e-13, 0.983553893851
