# L (m), R (m), T (K), P_Drude (mPa), P_Plasma (mPa), P_PFA_Drude (mPa), P_PFA_Plasma (mPa), P_Drude/P_PFA_Drude, P_Plasma/P_PFA_Plasma
1.15e-07, 1.5e-05, 295, -3677.17913826, -3724.94773198, -3689.94188039, -3739.06628568, 0.996541207818, 0.99622404295
1.2e-07, 1.5e-05, 295, -3158.03125331, -3201.48661144, -3169.50108544, -3214.22238329, 0.996381186872, 0.996037681799
1.25e-07, 1.5e-05, 295, -2728.22366479, -2767.87027375, -2738.56845949, -2779.39954284, 0.99622255392, 0.995851884945
1.3e-07, 1.5e-05, 295, -2369.7730278, -2406.04351264, -2379.13469133, -2416.51558801, 0.996065097294, 0.995666456523
1.35e-07, 1.5e-05, 295, -2068.81101105, -2102.07812204, -2077.3090047, -2111.61900822, 0.995909133585, 0.99548171988
1.4e-07, 1.5e-05, 295, -1814.53440372, -1845.12072391, -1822.27097712, -1853.83847492, 0.995754433064, 0.99529745923
1.45e-07, 1.5e-05, 295, -1598.45182622, -1626.63768484, -1605.51452637, -1634.62501373, 0.995600973997, 0.99511366287
1.5e-07, 1.5e-05, 295, -1413.83211231, -1439.86207427, -1420.29597638, -1447.19863076, 0.995448931643, 0.994930511721
1.55e-07, 1.5e-05, 295, -1255.29618858, -1279.3844065, -1261.226558, -1286.13966286, 0.995297934871, 0.994747649457
1.6e-07, 1.5e-05, 295, -1118.5153412, -1140.84999353, -1123.96838585, -1147.08382933, 0.995148400331, 0.994565492389
1.65e-07, 1.5e-05, 295, -999.980409037, -1020.7273981, -1005.00541381, -1026.49243899, 0.995000022189, 0.994383747338
1.7e-07, 1.5e-05, 295, -896.82921914, -916.135267938, -901.469298889, -921.477644926, 0.994852758985, 0.994202380256
1.75e-07, 1.5e-05, 295, -806.71303006, -824.708287139, -811.005875821, -829.668420915, 0.994706763675, 0.99402154686
1.8e-07, 1.5e-05, 295, -727.693154502, -744.493394249, -731.671948245, -749.106942931, 0.994562052362, 0.993841268292
1.85e-07, 1.5e-05, 295, -658.160530354, -673.869018994, -661.854910134, -678.167872095, 0.994418142521, 0.993661078211
1.9e-07, 1.5e-05, 295, -596.774001668, -611.483087007, -600.209701423, -615.495029356, 0.994275834352, 0.993481763202
1.95e-07, 1.5e-05, 295, -542.408627011, -556.201095685, -545.609027408, -559.951380676, 0.99413426055, 0.993302481036
2e-07, 1.5e-05, 295, -494.118158748, -507.068401592, -497.103801671, -510.579283879, 0.993993924582, 0.993123727504
2.05e-07, 1.5e-05, 295, -451.102136722, -463.277150603, -453.891523925, -466.568701704, 0.993854506954, 0.992945195233
2.1e-07, 1.5e-05, 295, -412.681346246, -424.141599669, -415.29085698, -427.231639737, 0.993716426236, 0.992767295816
2.15e-07, 1.5e-05, 295, -378.276557675, -389.076739573, -380.72107695, -391.981478905, 0.993579238389, 0.992589600559
2.2e-07, 1.5e-05, 295, -347.392518692, -357.582189414, -349.685377129, -360.316179314, 0.993443081733, 0.992412247751
2.25e-07, 1.5e-05, 295, -319.603946749, -329.228104566, -321.757236388, -331.804563389, 0.993307719622, 0.992235010886
2.3e-07, 1.5e-05, 295, -294.544786804, -303.644363248, -296.569237733, -306.075061499, 0.993173766285, 0.992058489707
2.35e-07, 1.5e-05, 295, -271.898271939, -280.510564442, -273.80385571, -282.806436811, 0.99304033259, 0.991881824209
2.4e-07, 1.5e-05, 295, -251.390326282, -259.549379392, -253.185833771, -261.720108825, 0.992908341427, 0.99170591269
2.45e-07, 1.5e-05, 295, -232.782175485, -240.519114647, -234.475851477, -242.573774151, 0.992776757261, 0.991529754151
2.5e-07, 1.5e-05, 295, -215.86614584, -223.209473534, -217.465242867, -225.156084694, 0.992646654676, 0.991354392385
2.55e-07, 1.5e-05, 295, -200.460267044, -207.436122858, -201.971575034, -209.282191388, 0.992517224314, 0.991179046254
2.6e-07, 1.5e-05, 295, -186.405145453, -193.037537363, -187.834933609, -194.789999369, 0.992388060474, 0.991003326598
2.65e-07, 1.5e-05, 295, -173.561132935, -179.872143444, -174.914791399, -181.537010207, 0.992261040629, 0.990829050447
2.7e-07, 1.5e-05, 295, -161.804551207, -167.81451825, -163.08735994, -169.397650365, 0.992134223438, 0.99065434431
2.75e-07, 1.5e-05, 295, -151.026552238, -156.754232495, -152.243342386, -158.261003882, 0.992007596994, 0.990479199868
2.8e-07, 1.5e-05, 295, -141.131124021, -146.593839088, -142.28602109, -148.028882208, 0.99188327103, 0.990305654554
2.85e-07, 1.5e-05, 295, -132.032503075, -137.246267527, -133.12962528, -138.614176278, 0.991758992765, 0.990131537856
2.9e-07, 1.5e-05, 295, -123.654870116, -128.634508941, -124.697933835, -129.939445532, 0.991635276654, 0.989957348314
2.95e-07, 1.5e-05, 295, -115.93065154, -120.689904466, -116.923076054, -121.935706545, 0.991512158691, 0.989783123302
3e-07, 1.5e-05, 295, -108.799801551, -113.351417772, -109.744499657, -114.54139027, 0.99139184097, 0.989610982587
3.05e-07, 1.5e-05, 295, -102.207957482, -106.563777754, -103.108080418, -107.70144216, 0.991270102863, 0.989436869342
3.1e-07, 1.5e-05, 295, -96.107196317, -100.278231872, -96.9653521456, -101.366543677, 0.991149871479, 0.989263599548
3.15e-07, 1.5e-05, 295, -90.4541631953, -94.4506633438, -91.2728391249, -95.4924372152, 0.991030453994, 0.989090509135
3.2e-07, 1.5e-05, 295, -85.2099565539, -89.0414711889, -85.9914760849, -90.0393393594, 0.9909116628, 0.988917420124
3.25e-07, 1.5e-05, 295, -80.3396167811, -84.0150530275, -81.0861030865, -84.9714297871, 0.990793905774, 0.988744725587
3.3e-07, 1.5e-05, 295, -75.8115768704, -79.3392500316, -76.5250247107, -80.2564051059, 0.990676934205, 0.988572188437
3.35e-07, 1.5e-05, 295, -71.5973316112, -74.9850116513, -72.2796245567, -75.8650885588, 0.990560369541, 0.988399447964
3.4e-07, 1.5e-05, 295, -67.6711594908, -70.9261135787, -68.3240274383, -71.7710879237, 0.990444533615, 0.988226814314
3.45e-07, 1.5e-05, 295, -64.0097579942, -67.1387889657, -64.6348027861, -67.9504950559, 0.990329593888, 0.988054449206
3.5e-07, 1.5e-05, 295, -60.5919744966, -63.6014558693, -61.1907037408, -64.3816215097, 0.990215356132, 0.987882168513
3.55e-07, 1.5e-05, 295, -57.3986287298, -60.2945369029, -57.9724372218, -61.0447654812, 0.990102046429, 0.987710189852
3.6e-07, 1.5e-05, 295, -54.4122557667, -57.2001991607, -54.9624609247, -57.9220059856, 0.989989437359, 0.987538297188
