# L (m), R (m), T (K), F_Drude (N), F_Plasma (N), F_PFA_Drude (N), F_PFA_Plasma (N), F_Drude/F_PFA_Drude, F_Plasma/F_PFA_Plasma, F_Plasma_xi0 (N), F_Plasma_xi0/F_PFA_Plasma_xi0
1.15e-07, 1.5e-05, 295, -1.50508659238e-11, -1.53997450461e-11, -1.51308243641e-11, -1.54962075112e-11, 0.994715526503, 0.993775092064, -3.4887912228e-13, 0.954830908579
1.2e-07, 1.5e-05, 295, -1.34442799911e-11, -1.3771686369e-11, -1.35185378742e-11, -1.38618308956e-11, 0.994506958977, 0.99349692495, -3.27406377873e-13, 0.953722789152
1.25e-07, 1.5e-05, 295, -1.20604836761e-11, -1.23683279168e-11, -1.21296089506e-11, -1.24527627808e-11, 0.99430111269, 0.993219587858, -3.07844240756e-13, 0.952624453096
1.3e-07, 1.5e-05, 295, -1.08618001633e-11, -1.11517725951e-11, -1.09262882003e-11, -1.12310297759e-11, 0.99409790079, 0.992943017477, -2.89972431777e-13, 0.951535513779
1.35e-07, 1.5e-05, 295, -9.81800927611e-12, -1.00916108868e-11, -9.87829417221e-12, -1.01661578092e-11, 0.993897236198, 0.992667148816, -2.73601610725e-13, 0.950455617183
1.4e-07, 1.5e-05, 295, -8.90466933559e-12, -9.16323762202e-12, -8.96113319279e-12, -9.23348681071e-12, 0.993699027123, 0.992391911081, -2.58568286421e-13, 0.949384437762
1.45e-07, 1.5e-05, 295, -8.10185977759e-12, -8.346590459e-12, -8.15484012146e-12, -8.41290728141e-12, 0.993503202628, 0.99211725267, -2.44730681414e-13, 0.948321675104
1.5e-07, 1.5e-05, 295, -7.39322828142e-12, -7.62519363251e-12, -7.44302446951e-12, -7.68790298702e-12, 0.993309683679, 0.991843113186, -2.31965351093e-13, 0.947267050843
1.55e-07, 1.5e-05, 295, -6.76526225756e-12, -6.98542666102e-12, -6.81214066035e-12, -7.04481840146e-12, 0.993118403578, 0.991569443377, -2.20164403467e-13, 0.946220306344
1.6e-07, 1.5e-05, 295, -6.20672618098e-12, -6.41595938111e-12, -6.25092460968e-12, -6.47229295685e-12, 0.992929297431, 0.991296195008, -2.09233200129e-13, 0.945181200451
1.65e-07, 1.5e-05, 295, -5.70822348318e-12, -5.90731192846e-12, -5.74995497629e-12, -5.96082035691e-12, 0.992742292195, 0.99102331135, -1.99088445279e-13, 0.944149507612
1.7e-07, 1.5e-05, 295, -5.26185289257e-12, -5.45150948212e-12, -5.30130875078e-12, -5.50240254664e-12, 0.992557336298, 0.990750755858, -1.89656589549e-13, 0.943125016582
1.75e-07, 1.5e-05, 295, -4.86093633951e-12, -5.0418088299e-12, -4.89828886244e-12, -5.09027596037e-12, 0.992374373178, 0.990478486658, -1.80872490392e-13, 0.942107528806
1.8e-07, 1.5e-05, 295, -4.49980239113e-12, -4.67248067409e-12, -4.53520722355e-12, -4.71869342017e-12, 0.992193337443, 0.990206452939, -1.72678282961e-13, 0.941096857108
1.85e-07, 1.5e-05, 295, -4.17361278423e-12, -4.33863520875e-12, -4.20721078038e-12, -4.38274921668e-12, 0.99201418757, 0.989934626474, -1.65022424511e-13, 0.940092825168
1.9e-07, 1.5e-05, 295, -3.87822217821e-12, -4.03608106034e-12, -3.91014117249e-12, -4.07823794376e-12, 0.991836869086, 0.989662966211, -1.5785888213e-13, 0.939095265998
1.95e-07, 1.5e-05, 295, -3.61006456062e-12, -3.76121100064e-12, -3.64042083912e-12, -3.80153990115e-12, 0.991661327128, 0.989391430431, -1.5114644002e-13, 0.938104021385
2e-07, 1.5e-05, 295, -3.36606056724e-12, -3.51090867371e-12, -3.39496007178e-12, -3.54952754454e-12, 0.991487527417, 0.989119996859, -1.44848106461e-13, 0.93711894146
2.05e-07, 1.5e-05, 295, -3.14354127187e-12, -3.28247187613e-12, -3.17108076076e-12, -3.3194887142e-12, 0.99131542494, 0.98884863265, -1.38930604261e-13, 0.936139883624
2.1e-07, 1.5e-05, 295, -2.94018549876e-12, -3.07354943042e-12, -2.96645352293e-12, -3.1090633164e-12, 0.991144973629, 0.98857730372, -1.33363931657e-13, 0.935166712029
2.15e-07, 1.5e-05, 295, -2.7539678601e-12, -2.88208884279e-12, -2.77904561641e-12, -2.916190852e-12, 0.990976126423, 0.988305974835, -1.28120982685e-13, 0.934199297099
2.2e-07, 1.5e-05, 295, -2.58311555407e-12, -2.70629277206e-12, -2.60707759589e-12, -2.73906673689e-12, 0.990808849778, 0.98803462348, -1.23177217996e-13, 0.933237515371
2.25e-07, 1.5e-05, 295, -2.42607219287e-12, -2.54458257138e-12, -2.44898708687e-12, -2.57610578484e-12, 0.990643113587, 0.987763230203, -1.1851037851e-13, 0.932281248954
