# L (m), R (m), T (K), P_Drude (mPa), P_Plasma (mPa), P_PFA_Drude (mPa), P_PFA_Plasma (mPa), P_Drude/P_PFA_Drude, P_Plasma/P_PFA_Plasma
7.5e-08, 2e-05, 295, -16685.4443625, -16802.4120995, -16712.1575502, -16831.1425852, 0.998401571572, 0.998293016321
8e-08, 2e-05, 295, -13304.2143141, -13407.222051, -13327.2341107, -13432.083583, 0.998272725124, 0.998149093411
8.5e-08, 2e-05, 295, -10749.1701418, -10840.3676948, -10769.1467051, -10862.0318672, 0.998145018929, 0.998005513825
9e-08, 2e-05, 295, -8787.02958945, -8868.16523982, -8804.47652253, -8887.163773, 0.998018401998, 0.997862250132
9.5e-08, 2e-05, 295, -7258.45040218, -7330.95835522, -7273.7761508, -7347.71510842, 0.997893013436, 0.997719460682
1e-07, 2e-05, 295, -6052.26085787, -6117.32707998, -6065.79714067, -6132.18696538, 0.997768424745, 0.997576739671
1.05e-07, 2e-05, 295, -5089.42450352, -5148.0368866, -5101.43809594, -5161.27803677, 0.997645057688, 0.997434521047
1.1e-07, 2e-05, 295, -4312.78016751, -4365.76717384, -4323.49112437, -4377.61947154, 0.997522613891, 0.997292524448
1.15e-07, 2e-05, 295, -3680.35249453, -3728.41322974, -3689.94188039, -3739.06628568, 0.997401209513, 0.99715087802
1.2e-07, 2e-05, 295, -3160.88269872, -3204.61053155, -3169.50108544, -3214.22238329, 0.997280838059, 0.997009587204
1.25e-07, 2e-05, 295, -2730.7947323, -2770.6960062, -2738.56845949, -2779.39954284, 0.997161390229, 0.996868555058
1.3e-07, 2e-05, 295, -2372.10010306, -2408.60907698, -2379.13469133, -2416.51558801, 0.997043215629, 0.996728135724
1.35e-07, 2e-05, 295, -2070.92274422, -2104.41361095, -2077.3090047, -2111.61900822, 0.996925705103, 0.996587738015
1.4e-07, 2e-05, 295, -1816.45689925, -1847.25352074, -1822.27097712, -1853.83847492, 0.996809432872, 0.996447935314
1.45e-07, 2e-05, 295, -1600.20676527, -1628.59060784, -1605.51452637, -1634.62501373, 0.996694043548, 0.996308385197
1.5e-07, 2e-05, 295, -1415.43781781, -1441.65446073, -1420.29597638, -1447.19863076, 0.996579474526, 0.996169033112
1.55e-07, 2e-05, 295, -1256.76952577, -1281.03402955, -1261.226558, -1286.13966286, 0.996466112926, 0.996030265259
1.6e-07, 2e-05, 295, -1119.87007805, -1142.37143575, -1123.96838585, -1147.08382933, 0.996353716129, 0.995891849003
1.65e-07, 2e-05, 295, -1001.22858041, -1022.13342726, -1005.00541381, -1026.49243899, 0.99624197706, 0.995753488715
1.7e-07, 2e-05, 295, -897.981855438, -917.437575804, -901.469298889, -921.477644926, 0.996131378567, 0.995615662361
1.75e-07, 2e-05, 295, -807.779325806, -825.916666285, -811.005875821, -829.668420915, 0.996021545451, 0.995478007195
1.8e-07, 2e-05, 295, -728.681062105, -745.616338834, -731.671948245, -749.106942931, 0.995912258017, 0.995340312715
1.85e-07, 2e-05, 295, -659.078429613, -674.915402156, -661.854910134, -678.167872095, 0.995805001249, 0.995204034174
1.9e-07, 2e-05, 295, -597.627104595, -612.458568305, -600.209701423, -615.495029356, 0.9956971758, 0.99506663595
1.95e-07, 2e-05, 295, -543.203457025, -557.112608114, -545.609027408, -559.951380676, 0.995591036324, 0.994930323133
2e-07, 2e-05, 295, -494.859597851, -507.921200971, -497.103801671, -510.579283879, 0.995485442251, 0.994793985984
2.05e-07, 2e-05, 295, -451.79485069, -464.076245316, -453.891523925, -466.568701704, 0.9953806733, 0.994657900588
