# R=100µm, R/L=50, T=0K
# eta, ldim, E, (E-E_exact)/E_exac
1, 50, -82.406800438803, 0.228101
1.34, 67, -93.085073367734, 0.128078
1.68, 84, -99.194988221673, 0.0708467
2, 100, -102.48739296704, 0.040007
2.34, 117, -104.45632101897, 0.0215641
2.68, 134, -105.52599955143, 0.0115445
3, 150, -106.07834263054, 0.00637076
3.34, 167, -106.39867961806, 0.00337018
3.68, 184, -106.56881932062, 0.00177649
4, 200, -106.65500793995, 0.00096917
4.34, 217, -106.70427548794, 0.000507684
4.68, 234, -106.73014516325, 0.000265364
5, 250, -106.74311967043, 0.000143833
5.34, 267, -106.75047810966, 7.49067e-05
5.68, 284, -106.75431622685, 3.89553e-05
6, 300, -106.75623015277, 2.10277e-05
6.34, 317, -106.75731038602, 1.09092e-05
6.68, 334, -106.75787141541, 5.65406e-06
7, 350, -106.75815013135, 3.04334e-06
7.34, 367, -106.75830692862, 1.57463e-06
7.68, 384, -106.75838812012, 8.14118e-07
8, 400, -106.75842834904, 4.37296e-07
8.34, 417, -106.75845092771, 2.25803e-07
8.68, 434, -106.75846259353, 1.1653e-07
9, 450, -106.75846836238, 6.24936e-08
9.34, 467, -106.75847159442, 3.22192e-08
9.68, 484, -106.75847326155, 1.66034e-08
10, 500, -106.75847408469, 8.89305e-09
