# R=100µm, R/L=10, T=0K
# eta, ldim, E, (E-E_exact)/E_exac
1, 10, -3.2102354574442, 0.235786
1.4, 14, -3.6998419117964, 0.119233
1.7, 17, -3.9051559097, 0.0703564
2, 20, -4.0268064339682, 0.0413968
2.4, 24, -4.1159870423726, 0.0201669
2.7, 27, -4.1515578701342, 0.0116991
3, 30, -4.1722651379015, 0.00676961
3.4, 34, -4.1870509803969, 0.00324975
3.7, 37, -4.192848745352, 0.00186957
4, 40, -4.1961915490751, 0.00107379
4.4, 44, -4.1985537167888, 0.000511466
4.7, 47, -4.1994721611678, 0.000292825
5, 50, -4.1999987354586, 0.000167471
5.4, 54, -4.2003687458814, 7.93885e-05
5.7, 57, -4.2005118927072, 4.53116e-05
6, 60, -4.2005936722156, 2.58436e-05
6.4, 64, -4.2006509349113, 1.22119e-05
6.7, 67, -4.2006730160044, 6.95534e-06
7, 70, -4.200685600829, 3.95946e-06
7.4, 74, -4.2006943917035, 1.86674e-06
7.7, 77, -4.2006977738523, 1.0616e-06
8, 80, -4.2006996982036, 6.03499e-07
8.4, 84, -4.2007010401002, 2.84053e-07
8.7, 87, -4.2007015555164, 1.61356e-07
9, 90, -4.2007018484073, 9.16313e-08
9.4, 94, -4.2007020523833, 4.30737e-08
9.7, 97, -4.2007021306309, 2.44464e-08
10, 100, -4.2007021750533, 1.38714e-08
