# R=100µm, R/L=200, T=0K
# eta, ldim, E, (E-E_exact)/E_exac
1, 200, -1324.907790629, 0.228793
1.335, 267, -1493.2829997554, 0.130784
1.67, 334, -1591.7340714811, 0.0734773
2, 400, -1647.4688656678, 0.041035
2.335, 467, -1679.3853649612, 0.0224569
2.67, 534, -1697.0285159205, 0.0121871
3, 600, -1706.5802034159, 0.0066272
3.335, 667, -1711.8661778876, 0.00355032
3.67, 734, -1714.712621952, 0.00189345
4, 800, -1716.2210419841, 0.00101542
4.335, 867, -1717.0417456845, 0.000537702
4.67, 934, -1717.4776213353, 0.000283986
5, 1000, -1717.705964481, 0.000151071
5.335, 1067, -1717.8290218017, 7.94416e-05
5.67, 1134, -1717.8938530707, 4.17043e-05
6, 1200, -1717.9275817013, 2.20714e-05
6.335, 1267, -1717.9456512194, 1.15535e-05
6.67, 1334, -1717.9551220004, 6.04067e-06
7, 1400, -1717.9600267803, 3.18568e-06
7.335, 1467, -1717.9626440083, 1.66223e-06
7.67, 1534, -1717.9640109115, 8.6658e-07
8, 1600, -1717.9647165539, 4.55837e-07
8.335, 1667, -1717.9650920214, 2.37284e-07
8.67, 1734, -1717.965287608, 1.23436e-07
9, 1800, -1717.9653883384, 6.48025e-08
9.335, 1867, -1717.9654418211, 3.3671e-08
9.67, 1934, -1717.9654696261, 1.74862e-08
10, 2000, -1717.9654839201, 9.16589e-09
