# R=100µm, R/L=10, T=300K
# eta, ldim, E, (E-E_exact)/E_exac
1, 10, -28.243546399202, 0.0608876
1.4, 14, -29.251936865669, 0.0273581
1.7, 17, -29.623066125759, 0.0150179
2, 20, -29.824993325345, 0.00830369
2.4, 24, -29.961493788528, 0.00376498
2.7, 27, -30.012083135987, 0.00208286
3, 30, -30.040005267524, 0.00115444
3.4, 34, -30.058901677672, 0.000526121
3.7, 37, -30.065939885503, 0.000292097
4, 40, -30.069843328977, 0.000162305
4.4, 44, -30.072492627291, 7.42149e-05
4.7, 47, -30.073482648951, 4.12961e-05
5, 50, -30.074033154097, 2.29916e-05
5.4, 54, -30.074407670376, 1.05387e-05
5.7, 57, -30.074547957826, 5.87407e-06
6, 60, -30.074626107725, 3.27555e-06
6.4, 64, -30.074679374893, 1.50438e-06
6.7, 67, -30.074699365497, 8.39687e-07
7, 70, -30.074710518056, 4.68859e-07
7.4, 74, -30.074718131633, 2.15703e-07
7.7, 77, -30.074720993497, 1.20545e-07
8, 80, -30.074722592134, 6.73895e-08
8.4, 84, -30.074723684998, 3.10512e-08
8.7, 87, -30.074724096381, 1.73725e-08
9, 90, -30.074724326446, 9.72268e-09
9.4, 94, -30.074724483924, 4.48645e-09
9.7, 97, -30.074724543283, 2.51276e-09
10, 100, -30.074724576515, 1.40778e-09
