# R=100µm, R/L=100, T=0K
# eta, ldim, E, (E-E_exact)/E_exac
1, 100, -330.8527462475, 0.227998
1.34, 134, -373.31322564166, 0.128922
1.67, 167, -397.418996698, 0.0726745
2, 200, -411.21381977706, 0.0404861
2.34, 234, -419.18143914809, 0.0218947
2.67, 267, -423.44246184434, 0.0119521
3, 300, -425.78419696254, 0.00648798
3.34, 334, -427.09162887606, 0.00343726
3.67, 367, -427.77308917743, 0.00184716
4, 400, -428.14068741912, 0.000989415
4.34, 434, -428.34256422755, 0.000518362
4.67, 467, -428.44638263597, 0.000276115
5, 500, -428.50180816342, 0.000146787
5.34, 534, -428.53197095724, 7.64059e-05
5.67, 567, -428.54736908438, 4.04764e-05
6, 600, -428.55553838178, 2.14144e-05
6.34, 634, -428.55995919657, 1.1099e-05
6.67, 667, -428.56220513656, 5.85839e-06
7, 700, -428.5633918585, 3.08933e-06
7.34, 734, -428.56403169057, 1.59636e-06
7.67, 767, -428.56435566945, 8.404e-07
8, 800, -428.56452635971, 4.42117e-07
8.34, 834, -428.56461814489, 2.27948e-07
8.67, 867, -428.56466450785, 1.19766e-07
9, 900, -428.56468888209, 6.28918e-08
9.34, 934, -428.56470196258, 3.23702e-08
9.67, 967, -428.56470855768, 1.69814e-08
10, 1000, -428.56471201912, 8.90455e-09
