# L (m), R (m), T (K), P_Drude (mPa), P_Plasma (mPa), P_PFA_Drude (mPa), P_PFA_Plasma (mPa), P_Drude/P_PFA_Drude, P_Plasma/P_PFA_Plasma
1.15e-07, 7.5e-05, 295, -3687.37576824, -3736.15951387, -3689.94188039, -3739.06628568, 0.9993045657, 0.999222594201
1.2e-07, 7.5e-05, 295, -3167.19499506, -3211.5977721, -3169.50108544, -3214.22238329, 0.999272412181, 0.999183438208
1.25e-07, 7.5e-05, 295, -2736.48824276, -2777.02089889, -2738.56845949, -2779.39954284, 0.999240399953, 0.999144187831
1.3e-07, 7.5e-05, 295, -2377.25138873, -2414.35214837, -2379.13469133, -2416.51558801, 0.999208408581, 0.99910472763
1.35e-07, 7.5e-05, 295, -2075.59951001, -2109.64607101, -2077.3090047, -2111.61900822, 0.999177062882, 0.999065675577
1.4e-07, 7.5e-05, 295, -1820.71445622, -1852.0337888, -1822.27097712, -1853.83847492, 0.999145834555, 0.999026513826
1.45e-07, 7.5e-05, 295, -1604.09363436, -1632.96997096, -1605.51452637, -1634.62501373, 0.999114992742, 0.998987509208
1.5e-07, 7.5e-05, 295, -1418.99533363, -1445.67672286, -1420.29597638, -1447.19863076, 0.999084245275, 0.998948376631
1.55e-07, 7.5e-05, 295, -1260.03326311, -1284.73697646, -1261.226558, -1286.13966286, 0.99905386159, 0.998909382522
1.6e-07, 7.5e-05, 295, -1122.87130676, -1145.78832286, -1123.96838585, -1147.08382933, 0.999023923535, 0.998870608721
1.65e-07, 7.5e-05, 295, -1003.99395373, -1025.29269503, -1005.00541381, -1026.49243899, 0.998993577484, 0.998831219877
1.7e-07, 7.5e-05, 295, -900.535562655, -920.365027612, -901.469298889, -921.477644926, 0.998964206285, 0.998792572647
1.75e-07, 7.5e-05, 295, -810.142062588, -828.634458048, -811.005875821, -829.668420915, 0.998934886591, 0.998753763743
1.8e-07, 7.5e-05, 295, -730.871192441, -748.144158933, -731.671948245, -749.106942931, 0.998905580833, 0.99871475761
1.85e-07, 7.5e-05, 295, -661.111268571, -677.269768928, -661.854910134, -678.167872095, 0.998876428123, 0.998675691957
1.9e-07, 7.5e-05, 295, -599.518440915, -614.656368724, -600.209701423, -615.495029356, 0.998848301675, 0.998637420952
1.95e-07, 7.5e-05, 295, -544.964977037, -559.166528544, -545.609027408, -559.951380676, 0.998819575304, 0.998598356645
2e-07, 7.5e-05, 295, -496.502986554, -509.843842539, -497.103801671, -510.579283879, 0.998791368895, 0.998559594244
2.05e-07, 7.5e-05, 295, -453.330662219, -465.879002983, -453.891523925, -466.568701704, 0.998764326549, 0.998521763851
2.1e-07, 7.5e-05, 295, -414.766031716, -426.583407604, -415.29085698, -427.231639737, 0.998736246525, 0.998482715059
2.15e-07, 7.5e-05, 295, -380.229447518, -391.371544747, -380.72107695, -391.981478905, 0.99870868869, 0.998443971996
2.2e-07, 7.5e-05, 295, -349.22422416, -359.741521087, -349.685377129, -360.316179314, 0.998681234621, 0.998405127885
2.25e-07, 7.5e-05, 295, -321.324199596, -331.262541569, -321.757236388, -331.804563389, 0.998654150574, 0.99836644254
2.3e-07, 7.5e-05, 295, -296.162064961, -305.563165357, -296.569237733, -306.075061499, 0.998627056619, 0.99832754704
2.35e-07, 7.5e-05, 295, -273.420510185, -282.322390188, -273.80385571, -282.806436811, 0.99859992649, 0.998288417237
2.4e-07, 7.5e-05, 295, -252.824715648, -261.262090499, -253.185833771, -261.720108825, 0.998573703284, 0.998249968913
2.45e-07, 7.5e-05, 295, -234.135270526, -242.139887678, -234.475851477, -242.573774151, 0.998547479627, 0.99821132159
2.5e-07, 7.5e-05, 295, -217.1436399, -224.744579136, -217.465242867, -225.156084694, 0.998521129341, 0.998172354264
2.55e-07, 7.5e-05, 295, -201.667667114, -208.891605673, -201.971575034, -209.282191388, 0.998495293604, 0.998133688718
2.6e-07, 7.5e-05, 295, -187.547430157, -194.418876427, -187.834933609, -194.789999369, 0.998469382419, 0.998094753617
2.65e-07, 7.5e-05, 295, -174.642483145, -181.183985314, -174.914791399, -181.537010207, 0.998443194816, 0.998055355806
2.7e-07, 7.5e-05, 295, -162.829329346, -169.061661552, -163.08735994, -169.397650365, 0.998417838183, 0.998016567451
2.75e-07, 7.5e-05, 295, -151.998765958, -157.941092602, -152.243342386, -158.261003882, 0.998393516435, 0.99797858429
2.8e-07, 7.5e-05, 295, -142.053848169, -147.723870065, -142.28602109, -148.028882208, 0.99836826612, 0.997939509247
2.85e-07, 7.5e-05, 295, -132.908973808, -138.323061958, -133.12962528, -138.614176278, 0.998342581742, 0.997899822891
2.9e-07, 7.5e-05, 295, -124.488234963, -129.661549426, -124.697933835, -129.939445532, 0.998318345255, 0.997861341445
2.95e-07, 7.5e-05, 295, -116.723672206, -121.670266356, -116.923076054, -121.935706545, 0.998294572336, 0.997823113537
3e-07, 7.5e-05, 295, -109.554630248, -114.287546235, -109.744499657, -114.54139027, 0.998269895903, 0.997783822645
3.05e-07, 7.5e-05, 295, -102.927090397, -107.458446153, -103.108080418, -107.70144216, 0.998244657253, 0.997743799876
3.1e-07, 7.5e-05, 295, -96.7928259185, -101.133893495, -96.9653521456, -101.366543677, 0.998220743562, 0.99770486224
3.15e-07, 7.5e-05, 295, -91.1083869314, -95.2696615461, -91.2728391249, -95.4924372152, 0.998198235148, 0.997667085733
3.2e-07, 7.5e-05, 295, -85.8345173666, -89.8257793899, -85.9914760849, -90.0393393594, 0.998174717711, 0.997628148196
3.25e-07, 7.5e-05, 295, -80.9360873711, -84.7664610327, -81.0861030865, -84.9714297871, 0.998149920767, 0.997587792098
3.3e-07, 7.5e-05, 295, -76.3816183151, -80.0596250198, -76.5250247107, -80.2564051059, 0.99812601961, 0.997548107396
3.35e-07, 7.5e-05, 295, -72.142564643, -75.6761696696, -72.2796245567, -75.8650885588, 0.998103754487, 0.997509804671
3.4e-07, 7.5e-05, 295, -68.1929496668, -71.589603982, -68.3240274383, -71.7710879237, 0.998081527446, 0.997471350276
3.45e-07, 7.5e-05, 295, -64.509284342, -67.7759638376, -64.6348027861, -67.9504950559, 0.998058036249, 0.99743149453
3.5e-07, 7.5e-05, 295, -61.0704303938, -64.2136731821, -61.1907037408, -64.3816215097, 0.998034450667, 0.997391362261
3.55e-07, 7.5e-05, 295, -57.857185085, -60.8831239488, -57.9724372218, -61.0447654812, 0.998011949431, 0.997352082016
3.6e-07, 7.5e-05, 295, -54.85201838, -57.7664100916, -54.9624609247, -57.9220059856, 0.997990582248, 0.997313699839
3.65e-07, 7.5e-05, 295, -52.0388614759, -54.8471132065, -52.1448037839, -54.9970207738, 0.997968305559, 0.99727426022
3.7e-07, 7.5e-05, 295, -49.4031888387, -52.1103842827, -49.5049069257, -52.2549249828, 0.997945292835, 0.997233931536
3.75e-07, 7.5e-05, 295, -46.9318696199, -49.5427931123, -47.0294825321, -49.6821279146, 0.997924431506, 0.997195474344
3.8e-07, 7.5e-05, 295, -44.6126337776, -47.1317886906, -44.7063884033, -47.2662057095, 0.997902880794, 0.997156170737
3.85e-07, 7.5e-05, 295, -42.4343209421, -44.865949891, -42.5245163023, -44.9957879747, 0.997878979749, 0.99711443916
3.9e-07, 7.5e-05, 295, -40.3869718115, -42.7350770466, -40.4736924075, -42.8604566795, 0.99785735892, 0.997074701424
3.95e-07, 7.5e-05, 295, -38.4612797222, -40.7296376643, -38.5445884406, -40.8506558647, 0.997838640345, 0.997037545718
4e-07, 7.5e-05, 295, -36.6484781792, -38.8406523164, -36.7286422006, -38.9576108862, 0.997817397631, 0.996997799219
4.05e-07, 7.5e-05, 295, -34.9407730261, -37.0601305172, -35.0179864183, -37.1732560917, 0.997795036207, 0.996956802109
4.1e-07, 7.5e-05, 295, -33.331008132, -35.3807330391, -33.4053849635, -35.4901699548, 0.997773507728, 0.99691641613
