# L (m), R (m), T (K), F'_Drude (mPa), F'_Plasma (N/m), F'_PFA_Drude (N/m), F'_PFA_Plasma (N/m), F'_Drude/F'_PFA_Drude, F'_Plasma/F'_PFA_Plasma, F'_Plasma_xi0 (N/m), F'_Plasma_xi0/F'_PFA_Plasma_xi0
2.6e-07, 7.5e-05, 295, 8.83796443172e-05, 9.16177370856e-05, 8.8515127127e-05, 9.17926246517e-05, 0.998469382419, 0.998094753617, 3.23809276833e-06, 0.987977181961
2.65e-07, 7.5e-05, 295, 8.2298331308e-05, 8.53809415816e-05, 8.24266535495e-05, 8.55473006431e-05, 0.998443194816, 0.998055355806, 3.08261027359e-06, 0.987811239503
2.7e-07, 7.5e-05, 295, 7.67315137296e-05, 7.96684310902e-05, 7.68531077823e-05, 7.98267620884e-05, 0.998417838183, 0.998016567451, 2.93691736063e-06, 0.987645858676
2.75e-07, 7.5e-05, 295, 7.16277309734e-05, 7.44279864328e-05, 7.17429848996e-05, 7.45787410716e-05, 0.998393516435, 0.99797858429, 2.80025545938e-06, 0.987481041912
2.8e-07, 7.5e-05, 295, 6.69412988732e-05, 6.96132337434e-05, 6.70507077848e-05, 6.97569673296e-05, 0.99836826612, 0.997939509247, 2.6719348702e-06, 0.987316562204
2.85e-07, 7.5e-05, 295, 6.26318783569e-05, 6.51832072904e-05, 6.27358579133e-05, 6.53203916817e-05, 0.998342581742, 0.997899822891, 2.55132893344e-06, 0.987152485531
2.9e-07, 7.5e-05, 295, 5.86636986626e-05, 6.11015656693e-05, 5.8762516928e-05, 6.12325211244e-05, 0.998318345255, 0.997861341445, 2.43786700675e-06, 0.986989014136
2.95e-07, 7.5e-05, 295, 5.50047346654e-05, 5.73357622416e-05, 5.50987015152e-05, 5.74608479837e-05, 0.998294572336, 0.997823113537, 2.3310275762e-06, 0.986826010695
3e-07, 7.5e-05, 295, 5.16264032332e-05, 5.38567373471e-05, 5.17158770841e-05, 5.39763585306e-05, 0.998269895903, 0.997783822645, 2.23033411385e-06, 0.986663313389
3.05e-07, 7.5e-05, 295, 4.85032486569e-05, 5.06385997498e-05, 4.8588538195e-05, 5.07531089205e-05, 0.998244657253, 0.997743799876, 2.1353510929e-06, 0.986500957339
3.1e-07, 7.5e-05, 295, 4.56125446239e-05, 4.76582245249e-05, 4.5693845693e-05, 4.77678583403e-05, 0.998220743562, 0.99770486224, 2.04567990101e-06, 0.986339164174
3.15e-07, 7.5e-05, 295, 4.29338158596e-05, 4.48947703235e-05, 4.301131213e-05, 4.49997508843e-05, 0.998198235148, 0.997667085733, 1.96095446385e-06, 0.986177954758
3.2e-07, 7.5e-05, 295, 4.04485633775e-05, 4.23294012951e-05, 4.05225284309e-05, 4.24300390598e-05, 0.998174717711, 0.997628148196, 1.88083791766e-06, 0.986017005193
3.25e-07, 7.5e-05, 295, 3.81402326243e-05, 3.99452536876e-05, 3.82109258647e-05, 4.00418429376e-05, 0.998149920767, 0.997587792097, 1.80502106336e-06, 0.985856263007
3.3e-07, 7.5e-05, 295, 3.59939896452e-05, 3.77272094717e-05, 3.60615683171e-05, 3.78199399026e-05, 0.99812601961, 0.997548107396, 1.73321982647e-06, 0.985695993218
3.35e-07, 7.5e-05, 295, 3.3996382664e-05, 3.56615548029e-05, 3.40609706268e-05, 3.5750580732e-05, 0.998103754487, 0.997509804671, 1.66517213886e-06, 0.985536327973
3.4e-07, 7.5e-05, 295, 3.2135170455e-05, 3.37358060915e-05, 3.21969393996e-05, 3.38213283842e-05, 0.998081527446, 0.997471350276, 1.60063563649e-06, 0.985377056633
3.45e-07, 7.5e-05, 295, 3.03992840666e-05, 3.19386705123e-05, 3.04584332399e-05, 3.20209164113e-05, 0.998058036249, 0.99743149453, 1.53938644575e-06, 0.985217936349
3.5e-07, 7.5e-05, 295, 2.87787623215e-05, 3.02599805893e-05, 2.8835439801e-05, 3.03391243741e-05, 0.998034450667, 0.997391362261, 1.48121826781e-06, 0.985059163513
3.55e-07, 7.5e-05, 295, 2.72645561431e-05, 2.86904962388e-05, 2.7318867433e-05, 2.87666680164e-05, 0.998011949431, 0.997352082016, 1.42594009571e-06, 0.984900898719
3.6e-07, 7.5e-05, 295, 2.58484046966e-05, 2.72217794352e-05, 2.59004495196e-05, 2.72951022728e-05, 0.997990582248, 0.997313699839, 1.37337473862e-06, 0.984743145186
3.65e-07, 7.5e-05, 295, 2.45227357371e-05, 2.5846093188e-05, 2.45726598736e-05, 2.59167354649e-05, 0.997968305559, 0.99727426022, 1.32335745095e-06, 0.984585583966
3.7e-07, 7.5e-05, 295, 2.32807042679e-05, 2.45564400657e-05, 2.33286377871e-05, 2.4624553266e-05, 0.997945292835, 0.997233931536, 1.27573579778e-06, 0.984428242921
3.75e-07, 7.5e-05, 295, 2.21161225226e-05, 2.3346491232e-05, 2.21621215237e-05, 2.34121512107e-05, 0.997924431506, 0.997195474344, 1.23036870943e-06, 0.984271591518
3.8e-07, 7.5e-05, 295, 2.10232083799e-05, 2.22103321651e-05, 2.10673892065e-05, 2.2273674693e-05, 0.997902880794, 0.997156170737, 1.18712378518e-06, 0.98411511904
3.85e-07, 7.5e-05, 295, 1.99967026398e-05, 2.11425807861e-05, 2.00392062019e-05, 2.12037655416e-05, 0.997878979749, 0.99711443916, 1.14587814631e-06, 0.983958573246
3.9e-07, 7.5e-05, 295, 1.90319120916e-05, 2.0138430615e-05, 1.90727782096e-05, 2.01975143751e-05, 0.99785735892, 0.997074701424, 1.10651852347e-06, 0.983802741924
3.95e-07, 7.5e-05, 295, 1.81244510735e-05, 1.91933895704e-05, 1.81637093821e-05, 1.92504180538e-05, 0.997838640345, 0.997037545718, 1.06893849699e-06, 0.98364771054
4e-07, 7.5e-05, 295, 1.72701884719e-05, 1.83032261967e-05, 1.73079648771e-05, 1.83583416242e-05, 0.997817397631, 0.996997799219, 1.03303772473e-06, 0.983492568305
4.05e-07, 7.5e-05, 295, 1.64654513774e-05, 1.74641750661e-05, 1.65018373313e-05, 1.75174842372e-05, 0.997795036207, 0.996956802109, 9.98723688647e-07, 0.983337499342
4.1e-07, 7.5e-05, 295, 1.57068675427e-05, 1.66727776492e-05, 1.57419167988e-05, 1.67243485807e-05, 0.997773507728, 0.99691641613, 9.65910106501e-07, 0.98318287771
4.15e-07, 7.5e-05, 295, 1.49913061765e-05, 1.59258221716e-05, 1.50250637649e-05, 1.59757134312e-05, 0.997753248245, 0.996877055925, 9.34515995112e-07, 0.983028794108
4.2e-07, 7.5e-05, 295, 1.43158519436e-05, 1.52203171177e-05, 1.43483848854e-05, 1.52686089698e-05, 0.99773264085, 0.996837180635, 9.04465174052e-07, 0.982874920755
4.25e-07, 7.5e-05, 295, 1.36778469124e-05, 1.45535336118e-05, 1.37092111518e-05, 1.46002945603e-05, 0.997712177673, 0.996797259924, 8.75686699389e-07, 0.982721360309
4.3e-07, 7.5e-05, 295, 1.30748200638e-05, 1.39229339261e-05, 1.31050782121e-05, 1.39682387154e-05, 0.997691112732, 0.99675658541, 8.48113862294e-07, 0.982567968587
4.35e-07, 7.5e-05, 295, 1.25045153078e-05, 1.33261997472e-05, 1.25337086168e-05, 1.3370101017e-05, 0.997670816367, 0.996716459378, 8.21684439359e-07, 0.982414999424
4.4e-07, 7.5e-05, 295, 1.19648200766e-05, 1.27611597954e-05, 1.19929957791e-05, 1.2803715778e-05, 0.997650653508, 0.996676278717, 7.96339718793e-07, 0.982262334598
4.45e-07, 7.5e-05, 295, 1.14537876376e-05, 1.22258123025e-05, 1.14809894703e-05, 1.22670772629e-05, 0.99763070659, 0.996636121254, 7.72024664824e-07, 0.98210997815
4.5e-07, 7.5e-05, 295, 1.0969612324e-05, 1.17182998755e-05, 1.09958826859e-05, 1.17583263018e-05, 0.997610891033, 0.996595907841, 7.48687551499e-07, 0.981957925608
