# L (m), R (m), T (K), F_Drude (N), F_Plasma (N), F_PFA_Drude (N), F_PFA_Plasma (N), F_Drude/F_PFA_Drude, F_Plasma/F_PFA_Plasma, F_Plasma_xi0 (N), F_Plasma_xi0/F_PFA_Plasma_xi0
2.7e-07, 7.5e-05, 295, -7.32501845358e-12, -7.78150542113e-12, -7.34080234182e-12, -7.80704080384e-12, 0.997849841542, 0.996729185442, -4.56486967547e-13, 0.979084748972
2.75e-07, 7.5e-05, 295, -6.95430312731e-12, -7.39645077543e-12, -6.96949528629e-12, -7.42121386211e-12, 0.997820192372, 0.996663202659, -4.42147648125e-13, 0.978812189259
2.8e-07, 7.5e-05, 295, -6.6080457421e-12, -7.0365162546e-12, -6.62267636915e-12, -7.0605432704e-12, 0.997790828628, 0.996597001834, -4.28470512499e-13, 0.978540536571
2.85e-07, 7.5e-05, 295, -6.28426182717e-12, -6.69967726978e-12, -6.29835941243e-12, -6.72300244449e-12, 0.997761705178, 0.996530541987, -4.15415442617e-13, 0.978269773094
2.9e-07, 7.5e-05, 295, -5.98115787884e-12, -6.38410319443e-12, -5.99474882662e-12, -6.4067583993e-12, 0.997732857844, 0.996463858404, -4.02945315592e-13, 0.977999887154
2.95e-07, 7.5e-05, 295, -5.69710939491e-12, -6.08813513029e-12, -5.71021855834e-12, -6.1101504312e-12, 0.997704262404, 0.996396929805, -3.91025735382e-13, 0.97773086347
3e-07, 7.5e-05, 295, -5.43064297069e-12, -5.81026776869e-12, -5.44329366106e-12, -5.83167145014e-12, 0.997675912571, 0.996329751832, -3.79624797994e-13, 0.977462688818
3.05e-07, 7.5e-05, 295, -5.18042015483e-12, -5.54913303279e-12, -5.19263412605e-12, -5.56995159598e-12, 0.997647827495, 0.996262343966, -3.6871287796e-13, 0.977195352296
3.1e-07, 7.5e-05, 295, -4.94522287898e-12, -5.30348531261e-12, -4.95702066555e-12, -5.32374382815e-12, 0.997619984389, 0.99619468626, -3.58262433631e-13, 0.976928839436
3.15e-07, 7.5e-05, 295, -4.72394124765e-12, -5.07218908312e-12, -4.73534218615e-12, -5.09191122431e-12, 0.99759237283, 0.996126770417, -3.48247835473e-13, 0.97666313732
3.2e-07, 7.5e-05, 295, -4.51556242366e-12, -4.85420763256e-12, -4.52658472982e-12, -4.87341576344e-12, 0.997564984016, 0.996058589741, -3.38645208901e-13, 0.976398234514
3.25e-07, 7.5e-05, 295, -4.31916090106e-12, -4.64859319268e-12, -4.32982169046e-12, -4.66730839941e-12, 0.997537822534, 0.995990149969, -3.29432291617e-13, 0.976134119888
3.3e-07, 7.5e-05, 295, -4.13388984372e-12, -4.45447814922e-12, -4.1442051433e-12, -4.47272026065e-12, 0.997510910002, 0.995921472757, -3.20588305492e-13, 0.975870785106
3.35e-07, 7.5e-05, 295, -3.95897313672e-12, -4.27106697351e-12, -3.96895814585e-12, -4.2888548334e-12, 0.99748422413, 0.995852538595, -3.12093836788e-13, 0.975608216444
3.4e-07, 7.5e-05, 295, -3.79369873641e-12, -4.09762946901e-12, -3.80336789016e-12, -4.11498100689e-12, 0.997457739028, 0.995783324915, -3.03930732599e-13, 0.975346403207
3.45e-07, 7.5e-05, 295, -3.63741269427e-12, -3.93349469733e-12, -3.6467796005e-12, -3.95042687363e-12, 0.997431458094, 0.995713836291, -2.9608200306e-13, 0.97508533505
3.5e-07, 7.5e-05, 295, -3.48951362891e-12, -3.77804536238e-12, -3.4985910876e-12, -3.79457419478e-12, 0.997405395927, 0.995644087702, -2.88531733472e-13, 0.974825003404
3.55e-07, 7.5e-05, 295, -3.34944780354e-12, -3.63071280696e-12, -3.35824787981e-12, -3.64685345031e-12, 0.997379563219, 0.995574090492, -2.81265003412e-13, 0.974565400516
3.6e-07, 7.5e-05, 295, -3.2167045793e-12, -3.49097239018e-12, -3.22523886359e-12, -3.5067394054e-12, 0.997353906282, 0.995503796148, -2.74267810881e-13, 0.974306511527
