# L (m), R (m), T (K), F_Drude (N), F_Plasma (N), F_PFA_Drude (N), F_PFA_Plasma (N), F_Drude/F_PFA_Drude, F_Plasma/F_PFA_Plasma, F_Plasma_xi0 (N), F_Plasma_xi0/F_PFA_Plasma_xi0
6.5e-08, 3e-05, 295, -1.32514776143e-10, -1.34055415992e-10, -1.32714442246e-10, -1.34284614739e-10, 0.998495520913, 0.998293186848, -1.54063984907e-12, 0.981191465419
7e-08, 3e-05, 295, -1.09689400586e-10, -1.11094359874e-10, -1.09868595497e-10, -1.11301538756e-10, 0.998369006993, 0.998138580258, -1.40495928808e-12, 0.980470984849
7.5e-08, 3e-05, 295, -9.19168170562e-11, -9.32033463858e-11, -9.20782667475e-11, -9.33913740422e-11, 0.99824660371, 0.997986669986, -1.28652932962e-12, 0.97975948712
8e-08, 3e-05, 295, -7.78530646553e-11, -7.90355853328e-11, -7.79991352236e-11, -7.92069521021e-11, 0.998127279645, 0.997836468078, -1.18252067746e-12, 0.979056261298
8.5e-08, 3e-05, 295, -6.65657504776e-11, -6.76564170167e-11, -6.66984492246e-11, -6.78132390267e-11, 0.99801046728, 0.997687442566, -1.09066653918e-12, 0.978360707202
9e-08, 3e-05, 295, -5.7393079627e-11, -5.84022119224e-11, -5.75140991661e-11, -5.85462776203e-11, 0.997895828312, 0.997539285095, -1.00913229539e-12, 0.977672311693
9.5e-08, 3e-05, 295, -4.98557907678e-11, -5.07922101855e-11, -4.99665595087e-11, -5.09250327918e-11, 0.997783142525, 0.997391801263, -9.36419417746e-13, 0.976990631169
1e-07, 3e-05, 295, -4.36005702826e-11, -4.4471863912e-11, -4.37022979427e-11, -4.45947285423e-11, 0.997672258327, 0.99724486202, -8.71293629348e-13, 0.976315278485
1.05e-07, 3e-05, 295, -3.83627746332e-11, -3.91755051354e-11, -3.84564908022e-11, -3.92895086948e-11, 0.997563059784, 0.997098371468, -8.12730502186e-13, 0.975645912758
1.1e-07, 3e-05, 295, -3.39413218733e-11, -3.47011956537e-11, -3.40279070149e-11, -3.48072789417e-11, 0.997455466727, 0.996952267134, -7.59873780353e-13, 0.974982231575
1.15e-07, 3e-05, 295, -3.01814370839e-11, -3.08934401969e-11, -3.02616487283e-11, -3.09924150224e-11, 0.997349396094, 0.996806482316, -7.12003112974e-13, 0.974323964745
1.2e-07, 3e-05, 295, -2.69625830064e-11, -2.76310918356e-11, -2.70370757484e-11, -2.77236617912e-11, 0.997244792941, 0.996660976597, -6.68508829216e-13, 0.973670869387
1.25e-07, 3e-05, 295, -2.41898753637e-11, -2.48187474051e-11, -2.42592179011e-11, -2.49055255615e-11, 0.997141600453, 0.996515706677, -6.28872041432e-13, 0.973022725822
1.3e-07, 3e-05, 295, -2.17878874303e-11, -2.23805362512e-11, -2.18525764005e-11, -2.24620595519e-11, 0.997039755446, 0.996370622183, -5.92648820976e-13, 0.972379334309
1.35e-07, 3e-05, 295, -1.96961179214e-11, -2.02555754377e-11, -1.97565883444e-11, -2.03323156183e-11, 0.996939227462, 0.996225703844, -5.59457516282e-13, 0.971740512631
1.4e-07, 3e-05, 295, -1.7865631472e-11, -1.83945999878e-11, -1.79222663856e-11, -1.84669736214e-11, 0.99683996921, 0.996080915309, -5.28968515827e-13, 0.971106093372
1.45e-07, 3e-05, 295, -1.62565422014e-11, -1.67574381316e-11, -1.63096802429e-11, -1.68258145628e-11, 0.996741932355, 0.995936218664, -5.0089593022e-13, 0.970475922459
1.5e-07, 3e-05, 295, -1.48361076699e-11, -1.53110984606e-11, -1.4886048939e-11, -1.5375805974e-11, 0.996645095735, 0.995791601849, -4.74990790652e-13, 0.969849857573
1.55e-07, 3e-05, 295, -1.35772694364e-11, -1.4028304891e-11, -1.36242813207e-11, -1.40896368029e-11, 0.996549404466, 0.995647019667, -4.51035454578e-13, 0.969227766348
1.6e-07, 3e-05, 295, -1.24575280059e-11, -1.28863669855e-11, -1.25018492194e-11, -1.29445859137e-11, 0.996454827389, 0.995502449551, -4.28838979608e-13, 0.968609525871
1.65e-07, 3e-05, 295, -1.14580657895e-11, -1.18662990668e-11, -1.14999099526e-11, -1.19216407138e-11, 0.996361348634, 0.995357883335, -4.08233277256e-13, 0.967995021437
1.7e-07, 3e-05, 295, -1.05630583508e-11, -1.09521282506e-11, -1.06026175016e-11, -1.10048050933e-11, 0.996268925976, 0.995213287086, -3.89069899804e-13, 0.967384145672
1.75e-07, 3e-05, 295, -9.75913063123e-12, -1.01303479747e-11, -9.79657772488e-12, -1.01805519207e-11, 0.996177533145, 0.99506864201, -3.71217343451e-13, 0.966776797651
1.8e-07, 3e-05, 295, -9.03492314931e-12, -9.38948192427e-12, -9.07041444711e-12, -9.43738684035e-12, 0.99608713604, 0.994923921538, -3.5455877496e-13, 0.966172882463
1.85e-07, 3e-05, 295, -8.38074462013e-12, -8.71973472735e-12, -8.41442156076e-12, -8.76549843337e-12, 0.99599771174, 0.994779109669, -3.38990107226e-13, 0.965572311006
