# high-temperature limit
# R: 0.0002 m
# omegap: 9 eV
#
# R/L, F_Drude/(kB*T), F_PR/(kB*T), F_plasma/(kB*T), F_plasma/F_PFA_plasma
235.29412, -34.855235449678, -67.890472717587, -66.189671957429, 0.95961802290455
235.84906, -34.938508715965, -68.055388231382, -66.346691671752, 0.95968531080531
236.40662, -35.022176018037, -68.221087212721, -66.504439991245, 0.95975265020158
236.96682, -35.106240157689, -68.387575241237, -66.662921987022, 0.959820041233
237.52969, -35.190703963344, -68.554857950924, -66.822142777802, 0.95988748404629
238.09524, -35.275570290359, -68.722941027714, -66.982107529415, 0.95995497878029
238.66348, -35.360842021357, -68.891830213655, -67.142821456567, 0.96002252558329
239.23445, -35.446522066546, -69.061531304467, -67.304289822339, 0.96009012459773
239.80815, -35.532613364053, -69.232050151964, -67.466517939371, 0.960157775969
240.38462, -35.619118880259, -69.403392663855, -67.62951117014, 0.96022547984109
240.96386, -35.70604161014, -69.575564806132, -67.793274928147, 0.96029323636509
241.54589, -35.793384577611, -69.748572601198, -67.957814677632, 0.96036104568667
242.13075, -35.881150835877, -69.922422130269, -68.123135934747, 0.96042890795405
242.71845, -35.969343467788, -70.09711953367, -68.289244268053, 0.9604968233165
243.309, -36.057965586202, -70.272671011523, -68.456145299127, 0.96056479192395
243.90244, -36.147020334347, -70.449082824524, -68.623844703201, 0.96063281392713
244.49878, -36.236510886196, -70.626361294217, -68.79234820965, 0.96070088947547
245.09804, -36.326440446842, -70.804512805469, -68.961661603236, 0.96076901872535
245.70025, -36.41681225288, -70.983543805108, -69.131790724055, 0.96083720183014
246.30542, -36.507629572796, -71.163460802646, -69.302741468148, 0.96090543893938
246.91358, -36.598895707361, -71.344270373288, -69.474519788974, 0.96097373020991
247.52475, -36.690613990029, -71.52597915695, -69.647131697494, 0.96104207579734
248.13896, -36.782787787343, -71.708593859504, -69.820583263003, 0.96111047585799
248.75622, -36.875420499348, -71.892121253634, -69.994880613858, 0.96117893054908
249.37656, -36.968515560008, -72.076568179625, -70.170029938189, 0.96124744002865
250, -37.062076437628, -72.261941546683, -70.346037484779, 0.96131600445758
250.62657, -37.156106635288, -72.44824833203, -70.522909563221, 0.96138462399163
251.25628, -37.250609691277, -72.635495584389, -70.700652545548, 0.96145329879341
251.88917, -37.345589179537, -72.823690423137, -70.879272866401, 0.96152202902429
252.52525, -37.441048710116, -73.012840040048, -71.058777024124, 0.96159081484872
253.16456, -37.53699192962, -73.202951698521, -71.239171580927, 0.9616596564258
253.80711, -37.633422521681, -73.394032737467, -71.420463164749, 0.96172855392372
254.45293, -37.730344207426, -73.586090568867, -71.602658468865, 0.96179750750348
255.10204, -37.827760745957, -73.779132682103, -71.785764253876, 0.96186651733467
255.75448, -37.925675934837, -73.973166641526, -71.969787347446, 0.96193558358068
256.41026, -38.024093610577, -74.168200090883, -72.154734646186, 0.96200470641266
257.06941, -38.123017649147, -74.364240750856, -72.340613115473, 0.96207388599556
257.73196, -38.222451966475, -74.561296423543, -72.527429791412, 0.96214312250267
258.39793, -38.322400518969, -74.759374989991, -72.715191780608, 0.96221241610086
259.06736, -38.42286730404, -74.958484414769, -72.903906262172, 0.96228176696519
259.74026, -38.523856360633, -75.158632743919, -73.093580487671, 0.96235117526619
260.41667, -38.625371769769, -75.359828107847, -73.284221782604, 0.96242064117716
261.09661, -38.727417655096, -75.562078721509, -73.475837547095, 0.96249016487085
261.7801, -38.829998183442, -75.765392887266, -73.668435257336, 0.96255974652589
262.46719, -38.93311756539, -75.969778993393, -73.862022465812, 0.96262938631702
263.15789, -39.036780055843, -76.175245517014, -74.05660680276, 0.96269908442127
263.85224, -39.140989954618, -76.381801024785, -74.252195977093, 0.962768841017
264.55026, -39.245751607036, -76.589454174098, -74.448797777388, 0.96283865628349
265.25199, -39.351069404526, -76.798213714277, -74.646420072923, 0.96290853040104
265.95745, -39.456947785238, -77.008088487817, -74.845070814726, 0.96297846355104
266.66667, -39.563391234666, -77.219087431629, -75.044758036629, 0.96304845591572
267.37968, -39.670404286282, -77.431219578278, -75.245489856373, 0.96311850767851
268.09651, -39.777991522177, -77.644494057291, -75.447274476693, 0.96318861902394
268.8172, -39.886157573719, -77.858920096855, -75.650120186558, 0.96325879013914
269.54178, -39.99490712221, -78.074507023478, -75.854035361786, 0.96332902120732
270.27027, -40.104244899567, -78.291264265863, -76.059028466989, 0.9633993124178
271.00271, -40.214175689006, -78.509201355019, -76.265108056346, 0.96346966396104
271.73913, -40.324704325738, -78.728327924357, -76.472282774386, 0.96354007602349
272.47956, -40.435835697679, -78.94865371366, -76.680561357994, 0.9636105487977
273.22404, -40.547574746168, -79.170188569255, -76.889952637274, 0.96368108247773
273.9726, -40.659926466701, -79.392942444168, -77.100465536309, 0.96375167725305
274.72527, -40.772895909673, -79.616925402649, -77.312109075453, 0.96382233332146
275.48209, -40.886488181137, -79.84214761817, -77.524892371507, 0.9638930508751
276.24309, -41.00070844357, -80.068619378503, -77.738824640094, 0.96396383011389
277.00831, -41.115561916655, -80.296351084177, -77.95391519607, 0.964034671234
277.77778, -41.231053878077, -80.525353251373, -78.17017345526, 0.96410557443277
278.55153, -41.347189664329, -80.755636514898, -78.387608936227, 0.96417653991352
279.32961, -41.463974671536, -80.987211627133, -78.60623126089, 0.96424756787603
280.11204, -41.581414356287, -81.220089461483, -78.826050156453, 0.96431865852281
280.89888, -41.699514236487, -81.454281013222, -79.047075456602, 0.96438981205612
281.69014, -41.818279892219, -81.689797402917, -79.269317103462, 0.96446102868403
282.48588, -41.937716966623, -81.926649875579, -79.49278514834, 0.96453230861124
283.28612, -42.057831166787, -82.164849804182, -79.717489753736, 0.96460365204522
284.09091, -42.17862826466, -82.404408691087, -79.943441194759, 0.9646750591947
284.90028, -42.300114097973, -82.645338170245, -80.170649860824, 0.96474653027128
285.71429, -42.422294571178, -82.88765000738, -80.399126256723, 0.96481806548312
286.53295, -42.545175656405, -83.131356104508, -80.62888100502, 0.96488966504439
287.35632, -42.668763394436, -83.376468500099, -80.859924847178, 0.96496132916899
288.18444, -42.79306389569, -83.62299937156, -81.092268645361, 0.96503305807214
289.01734, -42.918083341235, -83.870961037602, -81.325923384262, 0.96510485197188
289.85507, -43.043827983808, -84.120365958549, -81.560900172332, 0.96517671108314
290.69767, -43.170304148856, -84.371226741087, -81.797210244287, 0.96524863562664
291.54519, -43.297518235601, -84.623556139018, -82.034864962526, 0.96532062582445
292.39766, -43.425476718112, -84.877367054154, -82.27387581858, 0.96539268189568
293.25513, -43.554186146409, -85.132672541462, -82.514254435816, 0.96546480406649
294.11765, -43.683653147575, -85.389485808382, -82.756012570505, 0.96553699256052
294.98525, -43.813884426894, -85.647820218288, -82.999162114023, 0.96560924760231
295.85799, -43.944886769011, -85.907689294154, -83.243715095243, 0.96568156942242
296.73591, -44.076667039103, -86.169106718264, -83.489683681752, 0.96575395824852
297.61905, -44.209232184085, -86.432086336374, -83.737080182363, 0.96582641431119
298.50746, -44.342589233824, -86.696642159701, -83.98591704904, 0.96589893784243
299.4012, -44.476745302384, -86.962788367415, -84.236206878996, 0.9659715290758
300.3003, -44.611707589291, -87.230539309101, -84.487962416808, 0.96604418824628
301.20482, -44.747483380816, -87.499909507398, -84.741196556588, 0.96611691559039
302.1148, -44.884080051289, -87.770913660611, -84.995922344179, 0.96618971134621
303.0303, -45.021505064433, -88.043566645308, -85.252152979402, 0.96626257575334
303.95137, -45.159765974721, -88.317883519095, -85.509901818328, 0.96633550905296
