# high-temperature limit
# R: 0.0001 m
# omegap: 9 eV
#
# R/L, F_Drude/(kB*T), F_PR/(kB*T), F_plasma/(kB*T), F_plasma/F_PFA_plasma
200, -29.559766229339, -57.410244364201, -55.042036228509, 0.95425578562012
200.80321, -29.680261421749, -57.648547452804, -55.261890089574, 0.95438293201838
201.6129, -29.801729273734, -57.888782855514, -55.483460884591, 0.95451024797429
202.42915, -29.924181602012, -58.130974091953, -55.706768771503, 0.95463773429106
203.25203, -30.047630415469, -58.375145064654, -55.931834225332, 0.95476539177995
204.08163, -30.172087919073, -58.621320066834, -56.158678044362, 0.9548932212584
204.91803, -30.297566517898, -58.869523790808, -56.387321356709, 0.95502122355295
205.76132, -30.424078821241, -59.119781334561, -56.617785626553, 0.95514939949366
206.61157, -30.551637646839, -59.37211821311, -56.850092661386, 0.95527774992295
207.46888, -30.680256025199, -59.626560363705, -57.084264618317, 0.9554062756859
208.33333, -30.809947204024, -59.883134158087, -57.320324011716, 0.95553497764005
209.20502, -30.940724652763, -60.141866408577, -57.558293719921, 0.95566385664718
210.08403, -31.072602067267, -60.402784378633, -57.798196992891, 0.95579291357712
210.97046, -31.205593374568, -60.665915793652, -58.040057459954, 0.95592214931062
211.86441, -31.339712737773, -60.931288848179, -58.283899137201, 0.95605156473354
212.76596, -31.474974561092, -61.198932217632, -58.529746435737, 0.95618116074118
213.67521, -31.611393494987, -61.468875068166, -58.777624169717, 0.9563109382366
214.59227, -31.748984441457, -61.741147067172, -59.027557564775, 0.95644089813161
215.51724, -31.88776255946, -62.015778394529, -59.279572266642, 0.9565710413476
216.45022, -32.027743270478, -62.292799752004, -59.533694349673, 0.95670136881139
217.3913, -32.168942264218, -62.572242377189, -59.789950326267, 0.95683188146182
218.34061, -32.311375504474, -62.8541380539, -60.048367155902, 0.9569625802465
219.29825, -32.455059235136, -63.138519122865, -60.308972254426, 0.957093466119
220.26432, -32.600009986361, -63.425418497007, -60.571793504236, 0.95722454004624
221.23894, -32.746244580907, -63.714869671159, -60.836859263789, 0.95735580300107
222.22222, -32.893780140631, -64.006906736645, -61.104198378095, 0.95748725596712
223.21429, -33.042634093174, -64.301564394211, -61.373840189149, 0.95761889993738
224.21525, -33.192824178809, -64.598877967723, -61.645814546699, 0.95775073591464
225.22523, -33.34436845749, -64.898883418174, -61.920151819291, 0.95788276491127
226.24434, -33.497285316079, -65.201617358098, -62.196882905611, 0.95801498794993
227.27273, -33.65159347578, -65.50711706644, -62.476039246128, 0.95814740606316
228.3105, -33.807311999772, -65.815420504149, -62.757652835101, 0.95828002029478
229.3578, -33.964460301051, -66.126566328176, -63.041756232599, 0.95841283169621
230.41475, -34.123058150495, -66.440593910454, -63.328382577531, 0.9585458413332
231.48148, -34.283125685142, -66.757543351081, -63.617565600079, 0.95867905027844
232.55814, -34.444683416714, -67.077455498712, -63.909339635484, 0.95881245961933
233.64486, -34.607752240366, -67.40037196497, -64.203739637241, 0.95894607045139
234.74178, -34.772353443689, -67.726335144192, -64.500801191384, 0.95907988388251
235.84906, -34.938508715965, -68.055388231382, -64.800560530788, 0.95921390103167
236.96682, -35.106240157689, -68.387575241242, -65.103054549999, 0.95934812302964
238.09524, -35.275570290359, -68.722941027714, -65.408320820412, 0.95948255101886
239.23445, -35.446522066546, -69.061531304467, -65.716397605964, 0.95961718615451
240.38462, -35.619118880259, -69.403392663849, -66.027323878976, 0.95975202960159
241.54589, -35.793384577611, -69.748572601197, -66.341139337019, 0.95988708254031
242.71845, -35.969343467788, -70.097119533666, -66.657884419548, 0.96002234616122
243.90244, -36.147020334347, -70.44908282453, -66.977600325543, 0.96015782166819
245.09804, -36.326440446842, -70.804512805469, -67.300329031383, 0.96029351027749
246.30542, -36.507629572796, -71.163460802651, -67.626113309546, 0.96042941322127
247.52475, -36.690613990029, -71.52597915695, -67.954996747082, 0.96056553174046
248.75622, -36.875420499348, -71.892121253634, -68.287023765699, 0.96070186709263
250, -37.062076437628, -72.261941546678, -68.622239641652, 0.96083842054912
251.25628, -37.250609691277, -72.6354955844, -68.96069052626, 0.9609751933928
252.52525, -37.441048710116, -73.012840040048, -69.302423467619, 0.96111218692399
253.80711, -37.633422521681, -73.394032737467, -69.647486432106, 0.96124940245493
255.10204, -37.827760745957, -73.779132682099, -69.995928327207, 0.96138684131346
256.41026, -38.024093610577, -74.168200090879, -70.347799024691, 0.96152450484223
257.73196, -38.222451966475, -74.561296423548, -70.703149384554, 0.96166239439914
259.06736, -38.42286730404, -74.95848441476, -71.062031279674, 0.96180051135741
260.41667, -38.625371769769, -75.359828107852, -71.424497621267, 0.96193885710665
261.7801, -38.829998183442, -75.765392887266, -71.790602384867, 0.96207743305048
263.15789, -39.036780055843, -76.175245517019, -72.160400637621, 0.96221624061123
264.55026, -39.245751607036, -76.589454174093, -72.533948565769, 0.96235528122592
265.95745, -39.456947785238, -77.008088487818, -72.911303503472, 0.96249455634891
267.37968, -39.670404286282, -77.431219578278, -73.292523962316, 0.96263406745171
268.8172, -39.886157573719, -77.85892009686, -73.677669661808, 0.96277381602375
