# LbyR, T [K], omegap [eV], gamma [eV], ldim, E*(L+R)/(hbar*c), E_PFA*(L+R)/(hbar*c), E/E_PFA
0.00196926, 0, 9, 0.035, 5079, -8417.49700967, -8445.68238918, 0.996662746926
0.00180932, 0, 9, 0.035, 5527, -9779.75534681, -9810.07721846, 0.996909109788
0.00166237, 0, 9, 0.035, 6016, -11348.6162684, -11381.2026954, 0.997136820431
0.00152735, 0, 9, 0.035, 6548, -13152.6141193, -13187.5962637, 0.997347344906
0.0014033, 0, 9, 0.035, 7127, -15223.4927635, -15261.0040497, 0.997542017151
0.00128933, 0, 9, 0.035, 7756, -17596.791138, -17636.9666084, 0.997722087289
0.00118461, 0, 9, 0.035, 8442, -20312.4669363, -20355.4432955, 0.997888704336
0.0010884, 0, 9, 0.035, 9188, -23414.4192089, -23460.3327446, 0.998042929051
0.001, 0, 9, 0.035, 10000, -26952.0661889, -27001.0529653, 0.9981857457
0.0009, 0, 9, 0.035, 11112, -32042.7842763, -32095.7808447, 0.99834879953
0.0008, 0, 9, 0.035, 12500, -38777.329671, -38835.0486052, 0.998513741164
0.0007, 0, 9, 0.035, 14286, -47976.7375118, -48040.1039526, 0.998680967866
