# LbyR, R [m], T [K], omegap [eV], gamma [eV], ldim, E*(L+R)/(hbar*c), E_PFA*(L+R)/(hbar*c), E/E_PFA
0.00276347, 1e-05, 0, 9, 0.035, 3619, -1915.17438207, -1925.48187552, 0.994646797988
0.00253902, 1e-05, 0, 9, 0.035, 3939, -2157.0845664, -2167.83153276, 0.99504252697
0.00233281, 1e-05, 0, 9, 0.035, 4287, -2426.75273643, -2437.94107424, 0.995410743138
0.00214334, 1e-05, 0, 9, 0.035, 4666, -2727.09516164, -2738.72614672, 0.995753140525
0.00196926, 1e-05, 0, 9, 0.035, 5079, -3061.26137498, -3073.33549936, 0.996071328892
0.00180932, 1e-05, 0, 9, 0.035, 5527, -3432.70619743, -3445.22322848, 0.996366844695
0.00166237, 1e-05, 0, 9, 0.035, 6016, -3845.20512531, -3858.16430689, 0.996641101686
0.00152735, 1e-05, 0, 9, 0.035, 6548, -4302.89093959, -4316.29093472, 0.996895483802
0.0014033, 1e-05, 0, 9, 0.035, 7127, -4810.21587122, -4824.05485188, 0.997131255535
0.00128933, 1e-05, 0, 9, 0.035, 7756, -5372.04714823, -5386.3228349, 0.99734964147
0.00118461, 1e-05, 0, 9, 0.035, 8442, -5993.75422439, -6008.46405529, 0.997551815112
