# L/R, R [m], T [K], omegap [eV], gamma [eV], ldim, E*(L+R)/(hbar*c), E_PFA*(L+R)/(hbar*c), E/E_PFA
0.1, 0.0001, 0, 9, 0.35, 150, -4.02929911372, -4.54412256918, 0.88670564061
0.0950492, 0.0001, 0, 9, 0.35, 150, -4.4585831308, -5.00191505461, 0.891375219715
0.0903436, 0.0001, 0, 9, 0.35, 150, -4.93337832849, -5.50679059763, 0.89587178612
0.0858709, 0.0001, 0, 9, 0.35, 150, -5.45850264192, -6.06365140754, 0.900200601099
0.0816196, 0.0001, 0, 9, 0.35, 150, -6.03925980691, -6.67788844605, 0.904366680532
0.0775788, 0.0001, 0, 9, 0.35, 150, -6.6815019412, -7.35544499489, 0.908374944798
0.0737381, 0.0001, 0, 9, 0.35, 150, -7.39169642813, -8.10288429347, 0.912230282504
0.0700875, 0.0001, 0, 9, 0.35, 150, -8.17701071823, -8.92747554749, 0.915937621417
0.0666176, 0.0001, 0, 9, 0.35, 151, -9.04534219433, -9.8372218565, 0.919501697357
0.0633195, 0.0001, 0, 9, 0.35, 158, -10.0054005585, -10.8409431673, 0.922927129503
0.0601847, 0.0001, 0, 9, 0.35, 167, -11.0668116118, -11.9483813388, 0.926218480814
0.0572051, 0.0001, 0, 9, 0.35, 175, -12.2402109518, -13.1702939309, 0.929380241321
0.0543731, 0.0001, 0, 9, 0.35, 184, -13.5372943217, -14.5185026117, 0.932416701899
0.0516812, 0.0001, 0, 9, 0.35, 194, -14.9711110331, -16.0061939156, 0.935332353965
0.0491226, 0.0001, 0, 9, 0.35, 204, -16.555896208, -17.6477402998, 0.938131223984
0.0466906, 0.0001, 0, 9, 0.35, 215, -18.307504879, -19.4591457243, 0.940817502392
0.0443791, 0.0001, 0, 9, 0.35, 226, -20.2432286375, -21.457850839, 0.943394974146
0.042182, 0.0001, 0, 9, 0.35, 238, -22.3823949909, -23.6633472542, 0.94586766405
0.0400936, 0.0001, 0, 9, 0.35, 250, -24.7462710423, -26.0970715979, 0.948239381937
0.0381087, 0.0001, 0, 9, 0.35, 263, -27.3580341781, -28.7823705667, 0.95051358312
0.036222, 0.0001, 0, 9, 0.35, 277, -30.2437208028, -31.7454709003, 0.952694036193
0.0344288, 0.0001, 0, 9, 0.35, 291, -33.4315300129, -35.0147568843, 0.954784010734
0.0327243, 0.0001, 0, 9, 0.35, 306, -36.9531571179, -38.6221325706, 0.956787071515
0.0311042, 0.0001, 0, 9, 0.35, 322, -40.8430430131, -42.6022444557, 0.958706367116
0.0295643, 0.0001, 0, 9, 0.35, 339, -45.1393947015, -46.993520056, 0.960545084679
0.0281006, 0.0001, 0, 9, 0.35, 356, -49.8843843326, -51.8383628572, 0.962306322636
0.0267094, 0.0001, 0, 9, 0.35, 375, -55.1241293633, -57.1831244236, 0.963992959793
0.0253871, 0.0001, 0, 9, 0.35, 394, -60.9097081777, -63.0791331084, 0.965607882928
0.0241303, 0.0001, 0, 9, 0.35, 415, -67.2972922248, -69.5828192211, 0.967153860367
0.0229356, 0.0001, 0, 9, 0.35, 437, -74.3497908054, -76.757379819, 0.968633778025
0.0218001, 0.0001, 0, 9, 0.35, 459, -82.1345121073, -84.6703891372, 0.970050013285
0.0207209, 0.0001, 0, 9, 0.35, 483, -90.7262387043, -93.3969195858, 0.971405043192
0.019695, 0.0001, 0, 9, 0.35, 508, -100.20957109, -103.021907587, 0.972701568403
0.01872, 0.0001, 0, 9, 0.35, 535, -110.67338557, -113.634516519, 0.973941624076
0.0177932, 0.0001, 0, 9, 0.35, 563, -122.219868974, -125.33729464, 0.975127708992
0.0169123, 0.0001, 0, 9, 0.35, 592, -134.958380083, -138.239934452, 0.976261892908
0.016075, 0.0001, 0, 9, 0.35, 623, -149.010691537, -152.464575328, 0.977346319407
0.0152792, 0.0001, 0, 9, 0.35, 655, -164.509137669, -168.143914259, 0.978382942932
0.0145227, 0.0001, 0, 9, 0.35, 689, -181.603599829, -185.428258833, 0.97937391513
0.0138038, 0.0001, 0, 9, 0.35, 725, -200.449419998, -204.473291957, 0.980320794367
0.0131204, 0.0001, 0, 9, 0.35, 763, -221.229981335, -225.462884198, 0.981225722016
0.0124708, 0.0001, 0, 9, 0.35, 802, -244.138956541, -248.59113232, 0.982090367674
0.0118534, 0.0001, 0, 9, 0.35, 844, -269.387512326, -274.069630928, 0.982916317339
0.0112666, 0.0001, 0, 9, 0.35, 888, -297.210071304, -302.133271607, 0.983705203084
0.0107088, 0.0001, 0, 9, 0.35, 934, -327.868622179, -333.044566776, 0.984458702791
0.0101786, 0.0001, 0, 9, 0.35, 983, -361.644617659, -367.0854603, 0.985178267108
0.0096747, 0.0001, 0, 9, 0.35, 1034, -398.843358315, -404.561737912, 0.985865248588
0.00919573, 0.0001, 0, 9, 0.35, 1088, -439.809485894, -445.81861632, 0.986521131675
0.00874047, 0.0001, 0, 9, 0.35, 1145, -484.914656472, -491.228300621, 0.987147230441
0.00830775, 0.0001, 0, 9, 0.35, 1204, -534.566699838, -541.199192363, 0.987744821836
0.00789646, 0.0001, 0, 9, 0.35, 1267, -589.21172081, -596.177983015, 0.98831513004
0.00750552, 0.0001, 0, 9, 0.35, 1333, -649.341745832, -656.65732518, 0.988859365353
0.00713394, 0.0001, 0, 9, 0.35, 1402, -715.48955029, -723.170606251, 0.989378639156
0.00678076, 0.0001, 0, 9, 0.35, 1475, -788.24055006, -796.303887351, 0.989874045049
0.00644506, 0.0001, 0, 9, 0.35, 1552, -868.236679624, -876.699775192, 0.990346643393
0.00612598, 0.0001, 0, 9, 0.35, 1633, -956.176048824, -965.057052601, 0.99079743135
0.0058227, 0.0001, 0, 9, 0.35, 1718, -1052.82121275, -1062.13896532, 0.9912273696
0.00553443, 0.0001, 0, 9, 0.35, 1807, -1159.00818393, -1168.7822392, 0.991637402635
0.00526043, 0.0001, 0, 9, 0.35, 1901, -1275.64526112, -1285.8959322, 0.992028382057
0.005, 0.0001, 0, 9, 0.35, 2000, -1403.7204482, -1414.4687333, 0.992401185798
0.00459391, 0.0001, 0, 9, 0.35, 2177, -1645.82960261, -1657.45689898, 0.992984857483
0.00422079, 0.0001, 0, 9, 0.35, 2370, -1928.4579059, -1941.02843763, 0.993523777662
0.00387799, 0.0001, 0, 9, 0.35, 2579, -2258.05434302, -2271.63591403, 0.994021237767
0.00356302, 0.0001, 0, 9, 0.35, 2807, -2642.07951742, -2656.74372715, 0.994480382291
0.00327364, 0.0001, 0, 9, 0.35, 3055, -3089.03068496, -3104.8528085, 0.994904066467
0.00300776, 0.0001, 0, 9, 0.35, 3325, -3608.67528151, -3625.734376, 0.995294996069
0.00276347, 0.0001, 0, 9, 0.35, 3619, -4212.15602121, -4230.53487612, 0.995655666377
0.00253902, 0.0001, 0, 9, 0.35, 3939, -4912.1582456, -4931.94326802, 0.995988392132
0.00233281, 0.0001, 0, 9, 0.35, 4287, -5723.06569413, -5744.34688785, 0.996295280537
0.00214334, 0.0001, 0, 9, 0.35, 4666, -6661.32866332, -6684.19950393, 0.996578372533
0.00196926, 0.0001, 0, 9, 0.35, 5079, -7745.45210337, -7770.00898247, 0.996839530153
0.00180932, 0.0001, 0, 9, 0.35, 5527, -8996.38760822, -9022.72999868, 0.997080441234
0.00166237, 0.0001, 0, 9, 0.35, 6016, -10437.7780108, -10466.0080408, 0.99730269364
0.00152735, 0.0001, 0, 9, 0.35, 6548, -12096.2897138, -12126.5117449, 0.997507772085
0.0014033, 0.0001, 0, 9, 0.35, 7127, -14001.6896945, -14034.009647, 0.997697026483
0.00128933, 0.0001, 0, 9, 0.35, 7756, -16187.4160243, -16221.9414853, 0.997871681325
0.00118461, 0.0001, 0, 9, 0.35, 8442, -18691.1912241, -18728.0304288, 0.99803293759
0.0010884, 0.0001, 0, 9, 0.35, 9188, -21554.6203358, -21593.8816472, 0.998181831684
0.001, 0.0001, 0, 9, 0.35, 10000, -24824.6915927, -24866.4831336, 0.998319362626
0.0009, 0.0001, 0, 9, 0.35, 11112, -29538.3125852, -29583.4002766, 0.99847591247
0.0008, 0.0001, 0, 9, 0.35, 12500, -35787.4664675, -35836.4302528, 0.998633686868
0.0007, 0.0001, 0, 9, 0.35, 14286, -44346.3700144, -44399.9636713, 0.998792934669
0.0006, 0.0001, 0, 9, 0.35, 16667, -56567.0992796, -56626.3311875, 0.998953986482
