# L/R, R [m], T [K], omegap [eV], gamma [eV], ldim, E*(L+R)/(hbar*c), E_PFA*(L+R)/(hbar*c), E/E_PFA
0.1, 0.0001, 0, 9, 3.5, 150, -3.72118869302, -4.19638553032, 0.886760443275
0.0950492, 0.0001, 0, 9, 3.5, 150, -4.1103874515, -4.61083718168, 0.891462285381
0.0903436, 0.0001, 0, 9, 3.5, 150, -4.53991309733, -5.06692628517, 0.895989568788
0.0858709, 0.0001, 0, 9, 3.5, 150, -5.0139175044, -5.5688687419, 0.900347581668
0.0816196, 0.0001, 0, 9, 3.5, 150, -5.53695586235, -6.12128539232, 0.904541367946
0.0775788, 0.0001, 0, 9, 3.5, 150, -6.11403790652, -6.72925404954, 0.908575878026
0.0737381, 0.0001, 0, 9, 3.5, 150, -6.75068216306, -7.39836432757, 0.912456032735
0.0700875, 0.0001, 0, 9, 3.5, 150, -7.45298528665, -8.13478793997, 0.9161867945
0.0666176, 0.0001, 0, 9, 3.5, 151, -8.2276412598, -8.94529613831, 0.919772932342
0.0633195, 0.0001, 0, 9, 3.5, 158, -9.08200689653, -9.83732555789, 0.923219104937
0.0601847, 0.0001, 0, 9, 3.5, 167, -10.0241850197, -10.8190624796, 0.926529913159
0.0572051, 0.0001, 0, 9, 3.5, 175, -11.0630972844, -11.8995156528, 0.929709881238
0.0543731, 0.0001, 0, 9, 3.5, 184, -12.208517804, -13.0885477923, 0.932763359066
0.0516812, 0.0001, 0, 9, 3.5, 194, -13.4713183864, -14.3971280242, 0.935694838845
0.0491226, 0.0001, 0, 9, 3.5, 204, -14.8633075886, -15.837159772, 0.938508406974
0.0466906, 0.0001, 0, 9, 3.5, 215, -16.3975960761, -17.421856754, 0.941208294136
0.0443791, 0.0001, 0, 9, 3.5, 226, -18.0884182835, -19.165554593, 0.943798322957
0.042182, 0.0001, 0, 9, 3.5, 238, -19.9516373696, -21.0842281262, 0.946282560131
0.0400936, 0.0001, 0, 9, 3.5, 250, -22.0046377032, -23.1953757204, 0.94866485322
0.0381087, 0.0001, 0, 9, 3.5, 263, -24.2662768958, -25.5179664491, 0.950948695077
0.036222, 0.0001, 0, 9, 3.5, 277, -26.7576815099, -28.0732532518, 0.953137894988
0.0344288, 0.0001, 0, 9, 3.5, 291, -29.5016134299, -30.8841182058, 0.955235737454
0.0327243, 0.0001, 0, 9, 3.5, 306, -32.5235900161, -33.976213405, 0.957245871646
0.0311042, 0.0001, 0, 9, 3.5, 322, -35.8511968671, -37.3772550677, 0.959171474794
0.0295643, 0.0001, 0, 9, 3.5, 339, -39.5149245218, -41.1178746741, 0.961015734276
0.0281006, 0.0001, 0, 9, 3.5, 356, -43.5482947933, -45.2317385343, 0.962781803318
0.0267094, 0.0001, 0, 9, 3.5, 375, -47.9877932771, -49.7554762327, 0.964472594991
0.0253871, 0.0001, 0, 9, 3.5, 394, -52.8736790886, -54.7295000616, 0.966091030049
0.0241303, 0.0001, 0, 9, 3.5, 415, -58.250035272, -60.1980495938, 0.967639909683
0.0229356, 0.0001, 0, 9, 3.5, 437, -64.1660846377, -66.2105230891, 0.96912215225
0.0218001, 0.0001, 0, 9, 3.5, 459, -70.674153702, -72.819401174, 0.970540165981
0.0207209, 0.0001, 0, 9, 3.5, 483, -77.832181463, -80.0827915478, 0.971896458136
0.019695, 0.0001, 0, 9, 3.5, 508, -85.7055702269, -88.0662965997, 0.973193758975
0.01872, 0.0001, 0, 9, 3.5, 535, -94.362484558, -96.8382381907, 0.974434131817
0.0177932, 0.0001, 0, 9, 3.5, 563, -103.881245733, -106.477147627, 0.975620102984
0.0169123, 0.0001, 0, 9, 3.5, 592, -114.345127991, -117.066482526, 0.976753768664
0.016075, 0.0001, 0, 9, 3.5, 623, -125.846564677, -128.698879605, 0.977837297904
0.0152792, 0.0001, 0, 9, 3.5, 655, -138.485490444, -141.474468253, 0.978872669773
0.0145227, 0.0001, 0, 9, 3.5, 689, -152.374888755, -155.50646882, 0.979862059187
0.0138038, 0.0001, 0, 9, 3.5, 725, -167.630808802, -170.91109735, 0.980807047647
0.0131204, 0.0001, 0, 9, 3.5, 763, -184.390514455, -187.825887972, 0.981709797547
0.0124708, 0.0001, 0, 9, 3.5, 802, -202.797886483, -206.394937611, 0.982571999247
0.0118534, 0.0001, 0, 9, 3.5, 844, -223.009093978, -226.774628007, 0.983395258711
0.0112666, 0.0001, 0, 9, 3.5, 888, -245.196997873, -249.138056273, 0.984181226831
0.0107088, 0.0001, 0, 9, 3.5, 934, -269.554311077, -273.678204035, 0.984931598873
0.0101786, 0.0001, 0, 9, 3.5, 983, -296.286889274, -300.601164519, 0.985647842545
0.0096747, 0.0001, 0, 9, 3.5, 1034, -325.617010054, -330.129441479, 0.986331326873
0.00919573, 0.0001, 0, 9, 3.5, 1088, -357.795301153, -362.513945449, 0.986983550963
0.00874047, 0.0001, 0, 9, 3.5, 1145, -393.090684075, -398.023854124, 0.987605843224
0.00830775, 0.0001, 0, 9, 3.5, 1204, -431.797280404, -436.953553421, 0.988199494026
0.00789646, 0.0001, 0, 9, 3.5, 1267, -474.235711858, -479.623931743, 0.988765740138
0.00750552, 0.0001, 0, 9, 3.5, 1333, -520.75867751, -526.387973989, 0.989305803406
0.00713394, 0.0001, 0, 9, 3.5, 1402, -571.746571439, -577.626341358, 0.989820807159
0.00678076, 0.0001, 0, 9, 3.5, 1475, -627.616308166, -633.756231991, 0.990311852546
0.00644506, 0.0001, 0, 9, 3.5, 1552, -688.823876934, -695.233926173, 0.990780010875
0.00612598, 0.0001, 0, 9, 3.5, 1633, -755.863664099, -762.554093911, 0.991226288252
0.0058227, 0.0001, 0, 9, 3.5, 1718, -829.274373843, -836.255727245, 0.991651652509
0.00553443, 0.0001, 0, 9, 3.5, 1807, -909.645433339, -916.928553751, 0.992057046995
0.00526043, 0.0001, 0, 9, 3.5, 1901, -997.615708912, -1005.21173065, 0.992443361424
0.005, 0.0001, 0, 9, 3.5, 2000, -1093.87862939, -1101.79897502, 0.992811442183
0.00459391, 0.0001, 0, 9, 3.5, 2177, -1275.02151518, -1283.50915923, 0.993387157398
0.00422079, 0.0001, 0, 9, 3.5, 2370, -1485.32353173, -1494.41250292, 0.993918030553
0.00387799, 0.0001, 0, 9, 3.5, 2579, -1729.2862322, -1739.0118689, 0.99440737762
0.00356302, 0.0001, 0, 9, 3.5, 2807, -2012.11357027, -2022.51261612, 0.994858353033
0.00327364, 0.0001, 0, 9, 3.5, 3055, -2339.72756578, -2350.8380443, 0.995273822222
0.00300776, 0.0001, 0, 9, 3.5, 3325, -2718.93911753, -2730.80036467, 0.99565649423
0.00276347, 0.0001, 0, 9, 3.5, 3619, -3157.52571469, -3170.17821561, 0.996008899168
