# L (m), R (m), T (K), F_Drude (N), F_Plasma (N), F_PFA_Drude (N), F_PFA_Plasma (N), F_Drude/F_PFA_Drude, F_Plasma/F_PFA_Plasma, F_Plasma_xi0 (N), F_Plasma_xi0/F_PFA_Plasma_xi0
3.05e-07, 0.0001513, 295, -1.04631140145e-11, -1.1214648711e-11, -1.04752739103e-11, -1.12364490196e-11, 0.998839181118, 0.998059857823, -7.51534696436e-13, 0.987334829013
3.1e-07, 0.0001513, 295, -9.98821885718e-12, -1.07185397221e-11, -9.99996302263e-12, -1.07397658826e-11, 0.998825579113, 0.998023591876, -7.30320864927e-13, 0.987183078628
3.15e-07, 0.0001513, 295, -9.54141602648e-12, -1.0251406315e-11, -9.55276363687e-12, -1.02720822432e-11, 0.998812112304, 0.997987172643, -7.0999028854e-13, 0.987031730199
3.2e-07, 0.0001513, 295, -9.12066109952e-12, -9.81115572881e-12, -9.13163026163e-12, -9.83130406679e-12, 0.998798772859, 0.997950593548, -6.90494629284e-13, 0.986880778152
3.25e-07, 0.0001513, 295, -8.72408563032e-12, -9.39587443961e-12, -8.73469362355e-12, -9.41551681107e-12, 0.998785533451, 0.997913829708, -6.71788809293e-13, 0.986730213661
3.3e-07, 0.0001513, 295, -8.34998029235e-12, -9.00381104916e-12, -8.36024317574e-12, -9.02296767248e-12, 0.998772418077, 0.99787690436, -6.53830756814e-13, 0.986580034429
3.35e-07, 0.0001513, 295, -7.99677868423e-12, -8.63335984687e-12, -8.00671156623e-12, -8.65204981725e-12, 0.998759430521, 0.997839821687, -6.36581162634e-13, 0.986430235042
3.4e-07, 0.0001513, 295, -7.66304342433e-12, -8.28304668977e-12, -7.67266082375e-12, -8.30128835124e-12, 0.998746536614, 0.997802550557, -6.20003265442e-13, 0.986280807515
3.45e-07, 0.0001513, 295, -7.34745476252e-12, -7.95151742473e-12, -7.3567700474e-12, -7.96932781307e-12, 0.99873378061, 0.997765132925, -6.04062662206e-13, 0.986131751262
3.5e-07, 0.0001513, 295, -7.04879829956e-12, -7.63752541878e-12, -7.05782442071e-12, -7.65492100894e-12, 0.99872111849, 0.997727528456, -5.88727119225e-13, 0.985983056722
3.55e-07, 0.0001513, 295, -6.76595618574e-12, -7.33992260424e-12, -6.77470538953e-12, -7.3569190271e-12, 0.998708548448, 0.997689736314, -5.73966418494e-13, 0.985834720208
3.6e-07, 0.0001513, 295, -6.49789825432e-12, -7.0576504604e-12, -6.50638186748e-12, -7.07426229382e-12, 0.998696108938, 0.997651792833, -5.59752206079e-13, 0.985686739878
3.65e-07, 0.0001513, 295, -6.24367338379e-12, -6.78973123572e-12, -6.25190235e-12, -6.80597255086e-12, 0.998683766036, 0.997613667257, -5.46057851934e-13, 0.985539108729
3.7e-07, 0.0001513, 295, -6.00240317003e-12, -6.53526149991e-12, -6.01038783086e-12, -6.55114564683e-12, 0.998671523194, 0.997575363489, -5.32858329875e-13, 0.985391822615
3.75e-07, 0.0001513, 295, -5.7732753764e-12, -6.29340547914e-12, -5.78102543233e-12, -6.30894505262e-12, 0.998659397711, 0.997536898269, -5.20130102738e-13, 0.985244879618
3.8e-07, 0.0001513, 295, -5.55553772449e-12, -6.06338873661e-12, -5.56306266695e-12, -6.07859601789e-12, 0.998647338183, 0.997498224715, -5.07851012119e-13, 0.985098269953
3.85e-07, 0.0001513, 295, -5.34849364573e-12, -5.84449383692e-12, -5.35580226305e-12, -5.85938029992e-12, 0.998635383281, 0.997459379279, -4.96000191185e-13, 0.984951993265
3.9e-07, 0.0001513, 295, -5.15149699683e-12, -5.63605496821e-12, -5.15859749103e-12, -5.65063140088e-12, 0.998623561111, 0.99742038869, -4.84557971381e-13, 0.984806050308
3.95e-07, 0.0001513, 295, -4.96394732827e-12, -5.43745312103e-12, -4.97084793684e-12, -5.45173025947e-12, 0.998611784416, 0.997381172992, -4.73505792754e-13, 0.984660426213
4e-07, 0.0001513, 295, -4.78528745489e-12, -5.24811360074e-12, -4.79199567553e-12, -5.26210134897e-12, 0.998600119639, 0.997341794218, -4.62826145851e-13, 0.984515124992
4.05e-07, 0.0001513, 295, -4.61500008365e-12, -5.06750259493e-12, -4.62152180211e-12, -5.08120913861e-12, 0.998588837458, 0.997302503537, -4.52502511277e-13, 0.984370191091
4.1e-07, 0.0001513, 295, -4.45259973763e-12, -4.89511894594e-12, -4.45894328245e-12, -4.90855488013e-12, 0.99857734346, 0.997262751559, -4.42519208312e-13, 0.984225519525
4.15e-07, 0.0001513, 295, -4.29763810001e-12, -4.73049957553e-12, -4.30381009227e-12, -4.74367368745e-12, 0.998565923652, 0.99722280393, -4.32861475522e-13, 0.984081156661
4.2e-07, 0.0001513, 295, -4.1496959801e-12, -4.57321130347e-12, -4.15570261344e-12, -4.5861318781e-12, 0.998554604624, 0.997182685764, -4.23515323369e-13, 0.983937102208
4.25e-07, 0.0001513, 295, -4.00838209575e-12, -4.42284960038e-12, -4.01422926345e-12, -4.4355245518e-12, 0.998543389697, 0.997142400797, -4.14467504632e-13, 0.983793353716
4.3e-07, 0.0001513, 295, -3.87333085217e-12, -4.27903631832e-12, -3.87902433312e-12, -4.2914733812e-12, 0.998532238919, 0.997101913079, -4.05705466147e-13, 0.983649903033
4.35e-07, 0.0001513, 295, -3.74420076522e-12, -4.14141807585e-12, -3.7497460138e-12, -4.15362459533e-12, 0.998521166885, 0.997061236711, -3.97217310632e-13, 0.983506748804
4.4e-07, 0.0001513, 295, -3.62067237063e-12, -4.00966412318e-12, -3.62607459401e-12, -4.02164713581e-12, 0.998510173127, 0.997020371947, -3.8899175255e-13, 0.983363887646
4.45e-07, 0.0001513, 295, -3.50244672128e-12, -3.88346480436e-12, -3.50771081058e-12, -3.89523097034e-12, 0.998499280705, 0.996979340619, -3.81018083082e-13, 0.983221320197
4.5e-07, 0.0001513, 295, -3.38924362134e-12, -3.76252975222e-12, -3.39437433894e-12, -3.77408554805e-12, 0.998488464414, 0.996938120325, -3.73286130879e-13, 0.983079039884
4.55e-07, 0.0001513, 295, -3.28080050595e-12, -3.64658674022e-12, -3.28580240923e-12, -3.65793838307e-12, 0.998477722438, 0.996896710207, -3.6578623427e-13, 0.982937044488
4.6e-07, 0.0001513, 295, -3.17687110991e-12, -3.5353803189e-12, -3.18174853718e-12, -3.54653375519e-12, 0.998467060733, 0.996855116274, -3.58509208988e-13, 0.98279533076
4.65e-07, 0.0001513, 295, -3.07722428499e-12, -3.42867060657e-12, -3.08198135886e-12, -3.43963151639e-12, 0.998456488433, 0.99681334766, -3.51446321582e-13, 0.982653898471
4.7e-07, 0.0001513, 295, -2.9816428392e-12, -3.3262320995e-12, -2.98628355948e-12, -3.33700599336e-12, 0.998445988067, 0.99677138912, -3.44589260308e-13, 0.982512742336
4.75e-07, 0.0001513, 295, -2.88992263726e-12, -3.22785274971e-12, -2.89445088838e-12, -3.238444978e-12, 0.998435540523, 0.996729223944, -3.3793011245e-13, 0.982371856514
4.8e-07, 0.0001513, 295, -2.80187187455e-12, -3.13333321956e-12, -2.80629125222e-12, -3.14374879772e-12, 0.998425189237, 0.99668689236, -3.31461345007e-13, 0.982231244867
4.85e-07, 0.0001513, 295, -2.71730983285e-12, -3.04248560932e-12, -2.72162387913e-12, -3.05272945822e-12, 0.998414899898, 0.996644363988, -3.2517577647e-13, 0.982090900933
4.9e-07, 0.0001513, 295, -2.63606645103e-12, -2.95513301299e-12, -2.64027854824e-12, -2.96520985303e-12, 0.998404676958, 0.996601643545, -3.19066561955e-13, 0.981950822365
4.95e-07, 0.0001513, 295, -2.55798143483e-12, -2.87110860685e-12, -2.56209487848e-12, -2.88102303368e-12, 0.998394499875, 0.996558713097, -3.13127172016e-13, 0.981811003225
5e-07, 0.0001513, 295, -2.48290384425e-12, -2.7902552241e-12, -2.48692167151e-12, -2.80001153508e-12, 0.99838441745, 0.996515617578, -3.07351379852e-13, 0.981671448406
5.05e-07, 0.0001513, 295, -2.41069116152e-12, -2.71242440074e-12, -2.41461630452e-12, -2.72202675199e-12, 0.998374423714, 0.996472352358, -3.01733239219e-13, 0.981532155804
5.1e-07, 0.0001513, 295, -2.34120876547e-12, -2.63747583445e-12, -2.34504416854e-12, -2.64692836197e-12, 0.998364464463, 0.996428869153, -2.96267068977e-13, 0.981393115063
5.15e-07, 0.0001513, 295, -2.27432971966e-12, -2.5652771644e-12, -2.2780781481e-12, -2.57458379067e-12, 0.998354565471, 0.996385191926, -2.90947444744e-13, 0.981254326962
5.2e-07, 0.0001513, 295, -2.20993403478e-12, -2.49570321601e-12, -2.2135981395e-12, -2.50486771661e-12, 0.998344729041, 0.996341323522, -2.85769181228e-13, 0.981115789931
5.25e-07, 0.0001513, 295, -2.14790834178e-12, -2.42863566323e-12, -2.15149060395e-12, -2.43766161161e-12, 0.998334985908, 0.996297292316, -2.80727321455e-13, 0.980977506241
5.3e-07, 0.0001513, 295, -2.08814527312e-12, -2.36396239471e-12, -2.09164815314e-12, -2.37285331452e-12, 0.998325301502, 0.996253068085, -2.75817121589e-13, 0.980839470489
5.35e-07, 0.0001513, 295, -2.03054323842e-12, -2.30157727962e-12, -2.03396916416e-12, -2.31033663492e-12, 0.998315645194, 0.996208623811, -2.71034041194e-13, 0.980701673913
5.4e-07, 0.0001513, 295, -1.97500622357e-12, -2.24137996156e-12, -1.97835742199e-12, -2.25001098512e-12, 0.998306070287, 0.996164008258, -2.66373737994e-13, 0.980564123371
5.45e-07, 0.0001513, 295, -1.92144307905e-12, -2.18327512814e-12, -1.92472178709e-12, -2.19178103784e-12, 0.998296528852, 0.996119179081, -2.61832049084e-13, 0.980426809208
5.5e-07, 0.0001513, 295, -1.86976761153e-12, -2.12717260198e-12, -1.87297588589e-12, -2.13555640741e-12, 0.998287071189, 0.996074182168, -2.57404990452e-13, 0.980289737269
5.55e-07, 0.0001513, 295, -1.81989833945e-12, -2.07298709086e-12, -1.82303782296e-12, -2.08125135315e-12, 0.998277883502, 0.996029185863, -2.53088751412e-13, 0.980152942488
5.6e-07, 0.0001513, 295, -1.77175686036e-12, -2.02063650902e-12, -1.77482991266e-12, -2.02878450281e-12, 0.998268537009, 0.995983805187, -2.4887964866e-13, 0.980016342743
5.65e-07, 0.0001513, 295, -1.72526983071e-12, -1.97004400848e-12, -1.72827842924e-12, -1.9780785948e-12, 0.998259193379, 0.995938186513, -2.44774177776e-13, 0.979879966165
5.7e-07, 0.0001513, 295, -1.68036750849e-12, -1.92113648222e-12, -1.68331337339e-12, -1.92906023747e-12, 0.998249960499, 0.995892427256, -2.40768973727e-13, 0.979743829587
5.75e-07, 0.0001513, 295, -1.63698330911e-12, -1.87384410798e-12, -1.63986825473e-12, -1.88165968465e-12, 0.998240745492, 0.995846445171, -2.36860798874e-13, 0.979607916412
5.8e-07, 0.0001513, 295, -1.59505421238e-12, -1.82810076327e-12, -1.59787988852e-12, -1.83581062579e-12, 0.998231609172, 0.995800295293, -2.33046550884e-13, 0.979472234467
5.85e-07, 0.0001513, 295, -1.55452015711e-12, -1.78384340427e-12, -1.55728820574e-12, -1.79144998988e-12, 0.998222520008, 0.995753950344, -2.2932324716e-13, 0.979336777764
5.9e-07, 0.0001513, 295, -1.51532403596e-12, -1.74101205822e-12, -1.51803607557e-12, -1.74851776211e-12, 0.998213455101, 0.995707390542, -2.25688022263e-13, 0.979201539403
5.95e-07, 0.0001513, 295, -1.47741162795e-12, -1.69954975396e-12, -1.48006913922e-12, -1.70695681213e-12, 0.998204468154, 0.995660664574, -2.22138126012e-13, 0.979066527365
6e-07, 0.0001513, 295, -1.44073114352e-12, -1.65940205365e-12, -1.44333565458e-12, -1.66671273351e-12, 0.998195491774, 0.995613713323, -2.18670910133e-13, 0.978931729175
6.05e-07, 0.0001513, 295, -1.40523350386e-12, -1.62051733786e-12, -1.40778635056e-12, -1.62773369315e-12, 0.998186623487, 0.99556662412, -2.15283834001e-13, 0.978797158738
6.1e-07, 0.0001513, 295, -1.37087164923e-12, -1.58284609561e-12, -1.37337429083e-12, -1.58997029032e-12, 0.998177742502, 0.995519290668, -2.11974446377e-13, 0.97866279558
6.15e-07, 0.0001513, 295, -1.33760100695e-12, -1.54634140239e-12, -1.3400547458e-12, -1.55337542422e-12, 0.998168926417, 0.99547178247, -2.08740395438e-13, 0.978528649841
6.2e-07, 0.0001513, 295, -1.30537896722e-12, -1.51095838233e-12, -1.30778507281e-12, -1.51790416995e-12, 0.99816016742, 0.995424093455, -2.05579415105e-13, 0.978394719457
6.25e-07, 0.0001513, 295, -1.27416487603e-12, -1.47665419927e-12, -1.27652460355e-12, -1.48351366201e-12, 0.998151443764, 0.995376205213, -2.02489323235e-13, 0.978260999622
6.3e-07, 0.0001513, 295, -1.2439199881e-12, -1.4433880073e-12, -1.24623453842e-12, -1.45016298479e-12, 0.998142765072, 0.995328126867, -1.994680192e-13, 0.978127489059
6.35e-07, 0.0001513, 295, -1.2146073496e-12, -1.41112083052e-12, -1.21687784729e-12, -1.41781306988e-12, 0.998134161375, 0.995279885972, -1.9651348092e-13, 0.977994193286
6.4e-07, 0.0001513, 295, -1.1861915576e-12, -1.37981531368e-12, -1.18841917619e-12, -1.38642659924e-12, 0.99812556156, 0.99523142043, -1.93623756084e-13, 0.977861097823
6.45e-07, 0.0001513, 295, -1.15863888914e-12, -1.34943585487e-12, -1.16082475962e-12, -1.35596791438e-12, 0.998116967734, 0.995182732986, -1.90796965728e-13, 0.977728201465
6.5e-07, 0.0001513, 295, -1.1319172295e-12, -1.31994853118e-12, -1.13406233808e-12, -1.32640293076e-12, 0.998108473832, 0.995133907336, -1.88031301689e-13, 0.97759551989
6.55e-07, 0.0001513, 295, -1.10599567178e-12, -1.29132068549e-12, -1.1081010804e-12, -1.29769905725e-12, 0.998099985043, 0.995084860604, -1.85325013709e-13, 0.977463034125
6.6e-07, 0.0001513, 295, -1.08084481661e-12, -1.26352123494e-12, -1.08291151064e-12, -1.26982512026e-12, 0.998091539332, 0.995035627177, -1.82676418328e-13, 0.977330750286
6.65e-07, 0.0001513, 295, -1.0564364921e-12, -1.23652038155e-12, -1.05846543924e-12, -1.24275129227e-12, 0.998083123861, 0.994986196551, -1.80083889457e-13, 0.977198664456
6.7e-07, 0.0001513, 295, -1.03274380366e-12, -1.21028966345e-12, -1.03473589812e-12, -1.21644902439e-12, 0.9980747798, 0.994936605801, -1.77545859791e-13, 0.977066783414
6.75e-07, 0.0001513, 295, -1.00974089502e-12, -1.18480170753e-12, -1.01169707946e-12, -1.19089098282e-12, 0.998066432645, 0.994886790327, -1.75060812511e-13, 0.976935092274
6.8e-07, 0.0001513, 295, -9.87403136878e-13, -1.16003042373e-12, -9.89324278066e-13, -1.16605098889e-12, 0.998058127925, 0.994836790831, -1.72627286852e-13, 0.976803597208
6.85e-07, 0.0001513, 295, -9.65706957013e-13, -1.13595082989e-12, -9.67593836841e-13, -1.14190396242e-12, 0.998049925748, 0.99478666094, -1.70243872878e-13, 0.976672309263
6.9e-07, 0.0001513, 295, -9.44629578004e-13, -1.11253877965e-12, -9.46483095408e-13, -1.11842586829e-12, 0.998041679336, 0.994736272826, -1.67909201648e-13, 0.976541199358
6.95e-07, 0.0001513, 295, -9.2414942596e-13, -1.08977138487e-12, -9.25970341599e-13, -1.09559366593e-12, 0.99803350544, 0.994685729534, -1.6562195891e-13, 0.97641028769
7e-07, 0.0001513, 295, -9.04245638702e-13, -1.06762650707e-12, -9.06034765516e-13, -1.07338526157e-12, 0.998025322115, 0.994634960336, -1.63380868368e-13, 0.97627955828
7.05e-07, 0.0001513, 295, -8.84898353312e-13, -1.04608305437e-12, -8.86656416232e-13, -1.05177946313e-12, 0.998017199348, 0.994584027391, -1.61184701058e-13, 0.976149023911
7.1e-07, 0.0001513, 295, -8.66088404953e-13, -1.02512066921e-12, -8.67816160787e-13, -1.03075593753e-12, 0.998009076217, 0.994532878139, -1.5903226426e-13, 0.976018670434
7.15e-07, 0.0001513, 295, -8.47797517296e-13, -1.00471992626e-12, -8.49495645419e-13, -1.0102951703e-12, 0.998001016094, 0.994481569145, -1.56922408967e-13, 0.975888511361
7.2e-07, 0.0001513, 295, -8.30008071015e-13, -9.84862090712e-13, -8.31677258868e-13, -9.90378427354e-13, 0.997992986059, 0.99443007189, -1.54854019697e-13, 0.975758535203
7.25e-07, 0.0001513, 295, -8.12703149502e-13, -9.65529167617e-13, -8.14344097685e-13, -9.70987718801e-13, 0.997984944954, 0.994378351983, -1.52826018115e-13, 0.975628736277
7.3e-07, 0.0001513, 295, -7.9586660307e-13, -9.46703966405e-13, -7.97479933284e-13, -9.52105764616e-13, 0.997976964501, 0.994326472529, -1.50837363336e-13, 0.975499126092
7.35e-07, 0.0001513, 295, -7.79482811715e-13, -9.28369855546e-13, -7.81069180833e-13, -9.33715962174e-13, 0.997968977452, 0.994274375887, -1.48887043831e-13, 0.975369690229
7.4e-07, 0.0001513, 295, -7.63536910286e-13, -9.10510996157e-13, -7.65096869718e-13, -9.1580235543e-13, 0.997961095524, 0.994222160228, -1.46974085872e-13, 0.975240451117
7.45e-07, 0.0001513, 295, -7.48014405869e-13, -8.93111943831e-13, -7.49548615555e-13, -8.98349605708e-13, 0.9979531552, 0.994169684226, -1.45097537962e-13, 0.97511137401
7.5e-07, 0.0001513, 295, -7.32901623264e-13, -8.76158112138e-13, -7.34410593654e-13, -8.81342963986e-13, 0.997945331395, 0.994117100766, -1.43256488875e-13, 0.974982493989
7.55e-07, 0.0001513, 295, -7.18185143621e-13, -8.59635188253e-13, -7.19669513823e-13, -8.64768244587e-13, 0.997937427982, 0.994064240488, -1.41450044632e-13, 0.974853769479
