# eps.py --omegap_low 9 --gamma_low 0.03 --omegap_high 54.475279 --gamma_high 211.48855 --description bulk gold gold/palik.csv
#
# This file contains the dielectric function epsilon(i*xi) for bulk gold
# input filename: gold/palik.csv
#
# Drude parameters for low frequencies:
# omegap_low = 9eV
# gamma_low = 0.03eV
#
# Drude parameters for high frequencies:
# omegap_high = 54.4753eV
# gamma_high = 211.489eV
#
# xi in rad/s	epsilon(i*xi)
2.57949507e+16	2.46796871e+00
2.62636353e+16	2.43579307e+00
2.67408357e+16	2.40428104e+00
2.72267067e+16	2.37341767e+00
2.77214057e+16	2.34318845e+00
2.82250933e+16	2.31357928e+00
2.87379327e+16	2.28457650e+00
2.92600901e+16	2.25616682e+00
2.97917350e+16	2.22833736e+00
3.03330397e+16	2.20107560e+00
3.08841797e+16	2.17436939e+00
3.14453337e+16	2.14820692e+00
3.20166836e+16	2.12257672e+00
3.25984147e+16	2.09746765e+00
3.31907157e+16	2.07286887e+00
3.37937786e+16	2.04876987e+00
3.44077989e+16	2.02516040e+00
3.50329757e+16	2.00203053e+00
3.56695118e+16	1.97937056e+00
3.63176135e+16	1.95717110e+00
3.69774909e+16	1.93542296e+00
3.76493581e+16	1.91411725e+00
3.83334328e+16	1.89324527e+00
3.90299369e+16	1.87279857e+00
3.97390963e+16	1.85276891e+00
4.04611408e+16	1.83314826e+00
4.11963045e+16	1.81392880e+00
4.19448260e+16	1.79510289e+00
4.27069478e+16	1.77666308e+00
4.34829170e+16	1.75860210e+00
4.42729853e+16	1.74091287e+00
4.50774089e+16	1.72358845e+00
4.58964485e+16	1.70662207e+00
4.67303698e+16	1.69000711e+00
4.75794431e+16	1.67373710e+00
4.84439438e+16	1.65780572e+00
4.93241521e+16	1.64220676e+00
5.02203535e+16	1.62693416e+00
5.11328385e+16	1.61198199e+00
5.20619031e+16	1.59734443e+00
5.30078483e+16	1.58301576e+00
5.39709811e+16	1.56899042e+00
5.49516136e+16	1.55526290e+00
5.59500639e+16	1.54182783e+00
5.69666556e+16	1.52867992e+00
5.80017184e+16	1.51581400e+00
5.90555879e+16	1.50322496e+00
6.01286058e+16	1.49090781e+00
6.12211200e+16	1.47885763e+00
6.23334849e+16	1.46706957e+00
6.34660610e+16	1.45553890e+00
6.46192155e+16	1.44426092e+00
6.57933225e+16	1.43323105e+00
6.69887625e+16	1.42244476e+00
6.82059232e+16	1.41189758e+00
6.94451993e+16	1.40158513e+00
7.07069926e+16	1.39150310e+00
7.19917122e+16	1.38164723e+00
7.32997746e+16	1.37201333e+00
7.46316041e+16	1.36259727e+00
7.59876324e+16	1.35339499e+00
7.73682992e+16	1.34440248e+00
7.87740522e+16	1.33561579e+00
8.02053473e+16	1.32703104e+00
8.16626484e+16	1.31864439e+00
8.31464281e+16	1.31045205e+00
8.46571676e+16	1.30245031e+00
8.61953566e+16	1.29463549e+00
8.77614940e+16	1.28700397e+00
8.93560875e+16	1.27955219e+00
9.09796541e+16	1.27227664e+00
9.26327204e+16	1.26517383e+00
9.43158222e+16	1.25824037e+00
9.60295054e+16	1.25147287e+00
9.77743256e+16	1.24486803e+00
9.95508485e+16	1.23842257e+00
1.01359650e+17	1.23213327e+00
1.03201317e+17	1.22599696e+00
1.05076446e+17	1.22001049e+00
1.06985646e+17	1.21417079e+00
1.08929535e+17	1.20847482e+00
1.10908744e+17	1.20291959e+00
1.12923914e+17	1.19750215e+00
1.14975700e+17	1.19221959e+00
1.17064765e+17	1.18706905e+00
1.19191788e+17	1.18204773e+00
1.21357458e+17	1.17715283e+00
1.23562478e+17	1.17238163e+00
1.25807562e+17	1.16773146e+00
1.28093438e+17	1.16319964e+00
1.30420848e+17	1.15878360e+00
1.32790546e+17	1.15448075e+00
1.35203300e+17	1.15028859e+00
1.37659893e+17	1.14620462e+00
1.40161122e+17	1.14222642e+00
1.42707797e+17	1.13835157e+00
1.45300745e+17	1.13457773e+00
1.47940805e+17	1.13090256e+00
1.50628834e+17	1.12732380e+00
1.53365703e+17	1.12383919e+00
1.56152301e+17	1.12044654e+00
1.58989529e+17	1.11714367e+00
1.61878310e+17	1.11392847e+00
1.64819578e+17	1.11079885e+00
1.67814288e+17	1.10775274e+00
1.70863411e+17	1.10478815e+00
1.73967935e+17	1.10190309e+00
1.77128867e+17	1.09909562e+00
1.80347232e+17	1.09636383e+00
1.83624074e+17	1.09370587e+00
1.86960455e+17	1.09111989e+00
1.90357456e+17	1.08860410e+00
1.93816180e+17	1.08615674e+00
1.97337747e+17	1.08377608e+00
2.00923300e+17	1.08146043e+00
2.04574001e+17	1.07920812e+00
2.08291034e+17	1.07701753e+00
2.12075604e+17	1.07488708e+00
2.15928939e+17	1.07281520e+00
2.19852287e+17	1.07080037e+00
2.23846921e+17	1.06884109e+00
2.27914135e+17	1.06693590e+00
2.32055250e+17	1.06508338e+00
2.36271607e+17	1.06328212e+00
2.40564573e+17	1.06153076e+00
2.44935542e+17	1.05982797e+00
2.49385929e+17	1.05817243e+00
2.53917178e+17	1.05656287e+00
2.58530758e+17	1.05499804e+00
2.63228165e+17	1.05347673e+00
2.68010922e+17	1.05199774e+00
2.72880580e+17	1.05055992e+00
2.77838718e+17	1.04916214e+00
2.82886943e+17	1.04780329e+00
2.88026893e+17	1.04648229e+00
2.93260234e+17	1.04519809e+00
2.98588663e+17	1.04394967e+00
3.04013907e+17	1.04273602e+00
3.09537726e+17	1.04155618e+00
3.15161910e+17	1.04040920e+00
3.20888284e+17	1.03929415e+00
3.26718704e+17	1.03821013e+00
3.32655061e+17	1.03715627e+00
3.38699279e+17	1.03613172e+00
3.44853318e+17	1.03513564e+00
3.51119173e+17	1.03416723e+00
3.57498877e+17	1.03322570e+00
3.63994498e+17	1.03231029e+00
3.70608142e+17	1.03142026e+00
3.77341953e+17	1.03055488e+00
3.84198115e+17	1.02971345e+00
3.91178851e+17	1.02889530e+00
3.98286424e+17	1.02809974e+00
4.05523139e+17	1.02732615e+00
4.12891343e+17	1.02657390e+00
4.20393424e+17	1.02584237e+00
4.28031815e+17	1.02513098e+00
4.35808993e+17	1.02443915e+00
4.43727479e+17	1.02376633e+00
4.51789841e+17	1.02311198e+00
4.59998694e+17	1.02247557e+00
4.68356698e+17	1.02185659e+00
4.76866563e+17	1.02125455e+00
4.85531050e+17	1.02066897e+00
4.94352968e+17	1.02009938e+00
5.03335176e+17	1.01954533e+00
5.12480588e+17	1.01900638e+00
5.21792168e+17	1.01848211e+00
5.31272936e+17	1.01797211e+00
5.40925967e+17	1.01747597e+00
5.50754389e+17	1.01699330e+00
5.60761390e+17	1.01652374e+00
5.70950215e+17	1.01606690e+00
5.81324166e+17	1.01562245e+00
5.91886609e+17	1.01519003e+00
6.02640967e+17	1.01476932e+00
6.13590727e+17	1.01435998e+00
6.24739441e+17	1.01396170e+00
6.36090723e+17	1.01357419e+00
6.47648253e+17	1.01319713e+00
6.59415779e+17	1.01283026e+00
6.71397117e+17	1.01247328e+00
6.83596151e+17	1.01212593e+00
6.96016837e+17	1.01178794e+00
7.08663203e+17	1.01145907e+00
7.21539348e+17	1.01113906e+00
7.34649448e+17	1.01082768e+00
7.47997753e+17	1.01052469e+00
7.61588592e+17	1.01022986e+00
7.75426372e+17	1.00994298e+00
7.89515579e+17	1.00966384e+00
8.03860781e+17	1.00939222e+00
8.18466630e+17	1.00912793e+00
8.33337863e+17	1.00887077e+00
8.48479299e+17	1.00862055e+00
8.63895851e+17	1.00837709e+00
8.79592515e+17	1.00814020e+00
8.95574381e+17	1.00790972e+00
9.11846633e+17	1.00768548e+00
9.28414545e+17	1.00746731e+00
9.45283489e+17	1.00725504e+00
9.62458936e+17	1.00704854e+00
9.79946455e+17	1.00684763e+00
9.97751715e+17	1.00665219e+00
1.01588049e+18	1.00646206e+00
1.03433866e+18	1.00627710e+00
1.05313220e+18	1.00609719e+00
1.07226722e+18	1.00592218e+00
1.09174992e+18	1.00575195e+00
1.11158660e+18	1.00558638e+00
1.13178372e+18	1.00542535e+00
1.15234780e+18	1.00526872e+00
1.17328553e+18	1.00511640e+00
1.19460369e+18	1.00496827e+00
1.21630919e+18	1.00482422e+00
1.23840907e+18	1.00468413e+00
1.26091050e+18	1.00454792e+00
1.28382077e+18	1.00441548e+00
1.30714732e+18	1.00428670e+00
1.33089769e+18	1.00416150e+00
1.35507961e+18	1.00403978e+00
1.37970090e+18	1.00392145e+00
1.40476954e+18	1.00380642e+00
1.43029368e+18	1.00369461e+00
1.45628158e+18	1.00358592e+00
1.48274167e+18	1.00348028e+00
1.50968253e+18	1.00337761e+00
1.53711290e+18	1.00327783e+00
1.56504167e+18	1.00318086e+00
1.59347789e+18	1.00308663e+00
1.62243078e+18	1.00299506e+00
1.65190974e+18	1.00290609e+00
1.68192432e+18	1.00281965e+00
1.71248426e+18	1.00273566e+00
1.74359946e+18	1.00265407e+00
1.77528001e+18	1.00257481e+00
1.80753618e+18	1.00249781e+00
1.84037844e+18	1.00242303e+00
1.87381742e+18	1.00235038e+00
1.90786398e+18	1.00227983e+00
1.94252916e+18	1.00221131e+00
1.97782419e+18	1.00214477e+00
2.01376051e+18	1.00208015e+00
2.05034978e+18	1.00201740e+00
2.08760387e+18	1.00195647e+00
2.12553485e+18	1.00189731e+00
2.16415503e+18	1.00183988e+00
2.20347691e+18	1.00178411e+00
2.24351326e+18	1.00172998e+00
2.28427706e+18	1.00167743e+00
2.32578152e+18	1.00162642e+00
2.36804010e+18	1.00157691e+00
2.41106650e+18	1.00152885e+00
2.45487467e+18	1.00148220e+00
2.49947883e+18	1.00143693e+00
2.54489342e+18	1.00139300e+00
2.59113318e+18	1.00135036e+00
2.63821310e+18	1.00130899e+00
2.68614845e+18	1.00126884e+00
2.73495476e+18	1.00122988e+00
2.78464786e+18	1.00119208e+00
2.83524387e+18	1.00115541e+00
2.88675919e+18	1.00111983e+00
2.93921052e+18	1.00108531e+00
2.99261488e+18	1.00105182e+00
3.04698957e+18	1.00101933e+00
3.10235223e+18	1.00098781e+00
3.15872081e+18	1.00095724e+00
3.21611358e+18	1.00092758e+00
3.27454916e+18	1.00089882e+00
3.33404650e+18	1.00087092e+00
3.39462487e+18	1.00084385e+00
3.45630393e+18	1.00081761e+00
3.51910368e+18	1.00079215e+00
3.58304448e+18	1.00076746e+00
3.64814706e+18	1.00074352e+00
3.71443252e+18	1.00072030e+00
3.78192237e+18	1.00069779e+00
3.85063848e+18	1.00067595e+00
3.92060314e+18	1.00065478e+00
3.99183903e+18	1.00063425e+00
4.06436925e+18	1.00061434e+00
4.13821732e+18	1.00059504e+00
4.21340718e+18	1.00057633e+00
4.28996321e+18	1.00055818e+00
4.36791024e+18	1.00054059e+00
4.44727353e+18	1.00052353e+00
4.52807883e+18	1.00050700e+00
4.61035232e+18	1.00049097e+00
4.69412070e+18	1.00047542e+00
4.77941111e+18	1.00046036e+00
4.86625122e+18	1.00044576e+00
4.95466919e+18	1.00043160e+00
5.04469367e+18	1.00041788e+00
5.13635386e+18	1.00040458e+00
5.22967949e+18	1.00039168e+00
5.32470081e+18	1.00037919e+00
5.42144863e+18	1.00036708e+00
5.51995432e+18	1.00035534e+00
5.62024982e+18	1.00034397e+00
5.72236766e+18	1.00033294e+00
5.82634094e+18	1.00032226e+00
5.93220337e+18	1.00031191e+00
6.03998928e+18	1.00030187e+00
6.14973363e+18	1.00029215e+00
6.26147199e+18	1.00028273e+00
6.37524059e+18	1.00027361e+00
6.49107632e+18	1.00026476e+00
6.60901675e+18	1.00025620e+00
6.72910011e+18	1.00024790e+00
6.85136534e+18	1.00023986e+00
6.97585208e+18	1.00023207e+00
7.10260070e+18	1.00022452e+00
7.23165229e+18	1.00021721e+00
7.36304871e+18	1.00021013e+00
7.49683255e+18	1.00020327e+00
7.63304719e+18	1.00019663e+00
7.77173680e+18	1.00019020e+00
7.91294634e+18	1.00018397e+00
8.05672162e+18	1.00017793e+00
8.20310923e+18	1.00017209e+00
8.35215666e+18	1.00016643e+00
8.50391221e+18	1.00016096e+00
8.65842512e+18	1.00015565e+00
8.81574546e+18	1.00015052e+00
8.97592425e+18	1.00014554e+00
9.13901343e+18	1.00014073e+00
9.30506589e+18	1.00013607e+00
9.47413545e+18	1.00013156e+00
9.64627694e+18	1.00012719e+00
9.82154618e+18	1.00012296e+00
1.00000000e+19	1.00011887e+00
