# R=5.8e-05
# T=300
# R/L, L (in m), F (in N), F_pfa (in N), 1-F/F_PFA
67.0016750419, 8.6565e-07, -1.7982375253e-13, -1.80912660509e-13, 0.00601897056831
66.2251655629, 8.758e-07, -1.73473546774e-13, -1.74531980747e-13, 0.00606441277267
65.4664484452, 8.8595e-07, -1.67412922097e-13, -1.68442264389e-13, 0.00611095021697
64.7249190939, 8.961e-07, -1.61625908127e-13, -1.62627332223e-13, 0.00615778468858
64, 9.0625e-07, -1.56097570439e-13, -1.57072065651e-13, 0.00620412806811
63.2911392405, 9.164e-07, -1.50813760029e-13, -1.51762326615e-13, 0.00625034293066
62.5978090767, 9.2655e-07, -1.45761258135e-13, -1.4668488454e-13, 0.00629667063964
61.919504644, 9.367e-07, -1.40927662713e-13, -1.41827349319e-13, 0.00634353395665
61.2557427259, 9.4685e-07, -1.36301596934e-13, -1.37178109901e-13, 0.00638959792827
60.6060606061, 9.57e-07, -1.31871995641e-13, -1.32726277933e-13, 0.00643642167061
59.9700149925, 9.6715e-07, -1.27628828792e-13, -1.28461636079e-13, 0.00648292604542
59.3471810089, 9.773e-07, -1.23562450163e-13, -1.24374590357e-13, 0.00652979191587
58.7371512482, 9.8745e-07, -1.19663758724e-13, -1.20456126455e-13, 0.00657806086236
58.1395348837, 9.976e-07, -1.15924631918e-13, -1.16697769418e-13, 0.00662512663135
57.5539568345, 1.00775e-06, -1.12336991417e-13, -1.13091546527e-13, 0.00667207349698
56.9800569801, 1.0179e-06, -1.08893222566e-13, -1.09629953054e-13, 0.00672015691869
56.4174894217, 1.02805e-06, -1.05586459365e-13, -1.06305920644e-13, 0.00676783827471
55.8659217877, 1.0382e-06, -1.02410005826e-13, -1.03112788171e-13, 0.00681566619608
55.3250345781, 1.04835e-06, -9.93575381643e-14, -1.00044274668e-13, 0.00686432588152
54.7945205479, 1.0585e-06, -9.64232736148e-14, -9.7094454417e-14, 0.00691265846488
54.2740841248, 1.06865e-06, -9.36015661356e-14, -9.42577338118e-14, 0.00696142003063
53.7634408602, 1.0788e-06, -9.08872576885e-14, -9.15288299436e-14, 0.00700951006887
53.2623169108, 1.08895e-06, -8.82752110959e-14, -8.89027507413e-14, 0.00705872023315
52.7704485488, 1.0991e-06, -8.57607464337e-14, -8.63747765477e-14, 0.00710890538384
52.2875816993, 1.10925e-06, -8.33395694107e-14, -8.39404430044e-14, 0.00715833241106
51.8134715026, 1.1194e-06, -8.10073702732e-14, -8.15955251954e-14, 0.00720817619317
51.3478818999, 1.12955e-06, -7.87601334237e-14, -7.9336022815e-14, 0.00725886389103
50.8905852417, 1.1397e-06, -7.65941799726e-14, -7.7158146463e-14, 0.00730922807585
50.4413619168, 1.14985e-06, -7.45058818697e-14, -7.50583048393e-14, 0.00735991801064
50, 1.16e-06, -7.24918378541e-14, -7.30330928259e-14, 0.00741109202426
49.5662949195, 1.17015e-06, -7.05488512224e-14, -7.10792803789e-14, 0.00746250037566
49.14004914, 1.1803e-06, -6.86738745575e-14, -6.91938021697e-14, 0.00751407779079
48.7210718636, 1.19045e-06, -6.68639989654e-14, -6.73737479183e-14, 0.00756598777258
48.309178744, 1.2006e-06, -6.5116426064e-14, -6.56163533612e-14, 0.00761894362559
47.9041916168, 1.21075e-06, -6.34286198532e-14, -6.39189918477e-14, 0.00767177297898
47.5059382423, 1.2209e-06, -6.17981562896e-14, -6.22791664136e-14, 0.00772345154419
47.1142520612, 1.23105e-06, -6.02224945285e-14, -6.06945024409e-14, 0.00777678197231
46.7289719626, 1.2412e-06, -5.86993698777e-14, -5.91627407519e-14, 0.00783214009908
46.3499420626, 1.25135e-06, -5.72268509524e-14, -5.76817311502e-14, 0.00788603581718
45.9770114943, 1.2615e-06, -5.58027790046e-14, -5.62494263704e-14, 0.00794047859052
45.6100342075, 1.27165e-06, -5.44252240161e-14, -5.48638764079e-14, 0.00799528616142
45.2488687783, 1.2818e-06, -5.30922956248e-14, -5.3523223201e-14, 0.00805122618593
44.8933782267, 1.29195e-06, -5.18023076956e-14, -5.22256956418e-14, 0.00810688954955
44.5434298441, 1.3021e-06, -5.05535795801e-14, -5.09696048937e-14, 0.00816222363295
44.1988950276, 1.31225e-06, -4.93444337633e-14, -4.9753339988e-14, 0.00821866883266
43.8596491228, 1.3224e-06, -4.81733414039e-14, -4.85753637121e-14, 0.0082762593521
43.5255712731, 1.33255e-06, -4.70389126004e-14, -4.74342086931e-14, 0.0083335656606
