# L, R, T, 1-E/E_PFA
3.5e-07, 0.00014, 300, 0.0033639441
3.745e-07, 0.00014, 300, 0.0036405419
3.99e-07, 0.00014, 300, 0.0039276805
4.235e-07, 0.00014, 300, 0.0042256579
4.48e-07, 0.00014, 300, 0.0045346988
4.725e-07, 0.00014, 300, 0.0048549037
4.97e-07, 0.00014, 300, 0.0051863931
5.215e-07, 0.00014, 300, 0.0055291868
5.46e-07, 0.00014, 300, 0.0058833341
5.705e-07, 0.00014, 300, 0.0062487756
5.95e-07, 0.00014, 300, 0.0066254317
6.195e-07, 0.00014, 300, 0.0070131559
6.44e-07, 0.00014, 300, 0.0074118546
6.685e-07, 0.00014, 300, 0.0078213005
6.93e-07, 0.00014, 300, 0.0082413343
7.175e-07, 0.00014, 300, 0.008671678
7.42e-07, 0.00014, 300, 0.0091121186
7.665e-07, 0.00014, 300, 0.0095623273
7.91e-07, 0.00014, 300, 0.010022044
8.155e-07, 0.00014, 300, 0.010490965
8.4e-07, 0.00014, 300, 0.010968717
8.645e-07, 0.00014, 300, 0.011454989
8.89e-07, 0.00014, 300, 0.011949441
9.135e-07, 0.00014, 300, 0.012451662
9.38e-07, 0.00014, 300, 0.012961316
9.625e-07, 0.00014, 300, 0.013478025
9.87e-07, 0.00014, 300, 0.014001419
1.0115e-06, 0.00014, 300, 0.014531076
1.036e-06, 0.00014, 300, 0.015066641
1.0605e-06, 0.00014, 300, 0.015607729
1.085e-06, 0.00014, 300, 0.016153978
1.1095e-06, 0.00014, 300, 0.016704965
1.134e-06, 0.00014, 300, 0.017260341
1.1585e-06, 0.00014, 300, 0.017819738
1.183e-06, 0.00014, 300, 0.018382792
1.2075e-06, 0.00014, 300, 0.018949146
1.232e-06, 0.00014, 300, 0.01951847
1.2565e-06, 0.00014, 300, 0.020090393
1.281e-06, 0.00014, 300, 0.020664605
1.3055e-06, 0.00014, 300, 0.021240788
1.33e-06, 0.00014, 300, 0.021818623
1.3545e-06, 0.00014, 300, 0.022397828
1.379e-06, 0.00014, 300, 0.022978098
1.4035e-06, 0.00014, 300, 0.02355917
1.428e-06, 0.00014, 300, 0.024140786
1.4525e-06, 0.00014, 300, 0.024722669
1.477e-06, 0.00014, 300, 0.025304593
1.5015e-06, 0.00014, 300, 0.025886331
1.526e-06, 0.00014, 300, 0.026467657
1.5505e-06, 0.00014, 300, 0.027048365
1.575e-06, 0.00014, 300, 0.027628267
1.5995e-06, 0.00014, 300, 0.028207177
1.624e-06, 0.00014, 300, 0.028784923
1.6485e-06, 0.00014, 300, 0.029361346
1.673e-06, 0.00014, 300, 0.029936281
1.6975e-06, 0.00014, 300, 0.0305096
1.722e-06, 0.00014, 300, 0.031081164
1.7465e-06, 0.00014, 300, 0.031650857
1.771e-06, 0.00014, 300, 0.032218568
1.7955e-06, 0.00014, 300, 0.032784194
1.82e-06, 0.00014, 300, 0.033347635
1.8445e-06, 0.00014, 300, 0.033908814
1.869e-06, 0.00014, 300, 0.03446765
1.8935e-06, 0.00014, 300, 0.035024074
1.918e-06, 0.00014, 300, 0.035578024
1.9425e-06, 0.00014, 300, 0.036129439
1.967e-06, 0.00014, 300, 0.036678274
1.9915e-06, 0.00014, 300, 0.037224496
2.016e-06, 0.00014, 300, 0.037768053
2.0405e-06, 0.00014, 300, 0.038308923
2.065e-06, 0.00014, 300, 0.038847074
2.0895e-06, 0.00014, 300, 0.039382493
2.114e-06, 0.00014, 300, 0.039915169
2.1385e-06, 0.00014, 300, 0.04044508
2.163e-06, 0.00014, 300, 0.040972225
2.1875e-06, 0.00014, 300, 0.0414966
2.212e-06, 0.00014, 300, 0.042018202
2.2365e-06, 0.00014, 300, 0.042537045
2.261e-06, 0.00014, 300, 0.043053127
2.2855e-06, 0.00014, 300, 0.043566461
2.31e-06, 0.00014, 300, 0.044077069
2.3345e-06, 0.00014, 300, 0.044584954
2.359e-06, 0.00014, 300, 0.045090138
2.3835e-06, 0.00014, 300, 0.045592643
2.408e-06, 0.00014, 300, 0.046092484
2.4325e-06, 0.00014, 300, 0.046589696
2.457e-06, 0.00014, 300, 0.0470843
2.4815e-06, 0.00014, 300, 0.047576315
2.506e-06, 0.00014, 300, 0.048065783
2.5305e-06, 0.00014, 300, 0.048552717
2.555e-06, 0.00014, 300, 0.049037155
2.5795e-06, 0.00014, 300, 0.049519129
2.604e-06, 0.00014, 300, 0.04999867
2.6285e-06, 0.00014, 300, 0.05047581
2.653e-06, 0.00014, 300, 0.050950582
2.6775e-06, 0.00014, 300, 0.05142302
2.702e-06, 0.00014, 300, 0.051893156
2.7265e-06, 0.00014, 300, 0.052361026
2.751e-06, 0.00014, 300, 0.052826658
2.7755e-06, 0.00014, 300, 0.053290097
2.8e-06, 0.00014, 300, 0.053751372
