# L (m), R (m), T (K), P_Drude (mPa), P_Plasma (mPa), P_PFA_Drude (mPa), P_PFA_Plasma (mPa)
6.5e-08, 1e-05, 295, -27477.8101072, -27629.4148769, -27551.4888631, -27707.5142109
7e-08, 1e-05, 295, -21211.4829734, -21343.3001787, -21273.8761845, -21409.6914179
7.5e-08, 1e-05, 295, -16658.8617371, -16774.2149768, -16712.1575502, -16831.142585
8e-08, 1e-05, 295, -13281.3459206, -13382.8829943, -13327.2341107, -13432.0835829
8.5e-08, 1e-05, 295, -10729.3496065, -10819.2025054, -10769.1467051, -10862.031867
9e-08, 1e-05, 295, -8769.73503121, -8849.6370036, -8804.47652253, -8887.16377289
9.5e-08, 1e-05, 295, -7243.26694752, -7314.63943403, -7273.7761508, -7347.71510834
1e-07, 1e-05, 295, -6038.85890459, -6102.87696605, -6065.79714067, -6132.1869653
1.05e-07, 1e-05, 295, -5077.53448196, -5135.17663931, -5101.43809594, -5161.2780367
1.1e-07, 1e-05, 295, -4302.18351188, -4354.27013228, -4323.49112437, -4377.61947148
1.15e-07, 1e-05, 295, -3670.86868355, -3718.09184487, -3689.94188039, -3739.06628563
1.2e-07, 1e-05, 295, -3152.36149614, -3195.30843779, -3169.50108544, -3214.22238325
1.25e-07, 1e-05, 295, -2723.11125762, -2762.28295406, -2738.56845949, -2779.3995428
1.3e-07, 1e-05, 295, -2365.14779133, -2400.97377936, -2379.13469133, -2416.51558799
1.35e-07, 1e-05, 295, -2064.61330723, -2097.46361098, -2077.3090047, -2111.61900819
1.4e-07, 1e-05, 295, -1810.71343706, -1840.90822455, -1822.27097712, -1853.83847489
1.45e-07, 1e-05, 295, -1594.96448081, -1622.7819346, -1605.51452637, -1634.62501372
1.5e-07, 1e-05, 295, -1410.64081427, -1436.32358491, -1420.29597638, -1447.19863074
1.55e-07, 1e-05, 295, -1252.3688841, -1276.12941197, -1261.226558, -1286.13966284
1.6e-07, 1e-05, 295, -1115.82403305, -1137.84896066, -1123.96838585, -1147.08382931
1.65e-07, 1e-05, 295, -997.50052734, -1017.9543754, -1005.00541381, -1026.49243897
1.7e-07, 1e-05, 295, -894.539730931, -913.567976695, -901.469298889, -921.477644919
1.75e-07, 1e-05, 295, -804.59509515, -822.326760802, -811.005875821, -829.668420902
1.8e-07, 1e-05, 295, -725.730225758, -742.280065017, -731.671948245, -749.106942925
1.85e-07, 1e-05, 295, -656.338317578, -671.808669946, -661.854910134, -678.167872083
1.9e-07, 1e-05, 295, -595.079246524, -609.561615946, -600.209701423, -615.495029345
1.95e-07, 1e-05, 295, -540.830211893, -554.406615871, -545.609027408, -559.951380666
2e-07, 1e-05, 295, -492.645732922, -505.389859157, -497.103801671, -510.57928387
2.05e-07, 1e-05, 295, -449.726681975, -461.704883797, -453.891523925, -466.568701695
2.1e-07, 1e-05, 295, -411.394522219, -422.666677651, -415.29085698, -427.231639733
2.15e-07, 1e-05, 295, -377.071155434, -387.691411176, -380.72107695, -391.981478901
