# L (m), R (m), T (K), F'_Drude (mPa), F'_Plasma (N/m), F'_PFA_Drude (N/m), F'_PFA_Plasma (N/m), F'_Drude/F'_PFA_Drude, F'_Plasma/F'_PFA_Plasma, F'_Plasma_xi0 (N/m), F'_Plasma_xi0/F'_PFA_Plasma_xi0
1.45e-07, 0.000125, 295, 0.00126029829388, 0.00128304395571, 0.00126096816032, 0.00128383148363, 0.999468768159, 0.999386579988, 2.27456618226e-05, 0.994853701497
1.5e-07, 0.000125, 295, 0.00111488477664, 0.00113590285498, 0.00111549785133, 0.00113662714667, 0.99945040263, 0.999362771082, 2.10180783388e-05, 0.994736360116
1.55e-07, 0.000125, 295, 0.000990002489762, 0.00100946391931, 0.000990565022283, 0.00101013172908, 0.999432109444, 0.999338888435, 1.9461429549e-05, 0.994619572512
1.6e-07, 0.000125, 295, 0.000882245595955, 0.000900300631832, 0.00088276270596, 0.000900917532818, 0.999414214034, 0.999315252547, 1.80550358767e-05, 0.994503336106
1.65e-07, 0.000125, 295, 0.000788852720677, 0.000805633876706, 0.000789329406208, 0.000806205276323, 0.999396087961, 0.999291247982, 1.67811560286e-05, 0.994387602819
1.7e-07, 0.000125, 295, 0.000707572173264, 0.000723196684548, 0.000708012331706, 0.000723726849936, 0.999378318113, 0.999267450989, 1.56245112844e-05, 0.994272370013
1.75e-07, 0.000125, 295, 0.000636555302567, 0.000651127196335, 0.000636962525375, 0.000651620054016, 0.999360680116, 0.999243642552, 1.45718937682e-05, 0.994157618588
1.8e-07, 0.000125, 295, 0.000574276416302, 0.000587888262055, 0.000574653804361, 0.000588347217166, 0.999343277542, 0.999219924734, 1.36118457522e-05, 0.994043336458
1.85e-07, 0.000125, 295, 0.000519469253827, 0.000532203647843, 0.000519819630855, 0.000532631801219, 0.999325964224, 0.999196155066, 1.27343940167e-05, 0.993929494809
1.9e-07, 0.000125, 295, 0.000471077642046, 0.000483008472167, 0.000471403597151, 0.000483408665636, 0.99930854345, 0.999172142541, 1.19308301208e-05, 0.993816081544
1.95e-07, 0.000125, 295, 0.000428216682127, 0.000439410208649, 0.000428520328059, 0.000439784785974, 0.999291408337, 0.999148271297, 1.1193526522e-05, 0.993703079736
2e-07, 0.000125, 295, 0.000390141467906, 0.00040065725178, 0.00039042441285, 0.000401008031827, 0.999275288802, 0.999125254312, 1.05157838742e-05, 0.993590557006
2.05e-07, 0.000125, 295, 0.000356221366462, 0.000366113066328, 0.000356485569273, 0.000366442201417, 0.999258868146, 0.999101808997, 9.8916998663e-06, 0.993478489844
2.1e-07, 0.000125, 295, 0.000325921483467, 0.000335237543218, 0.000326168676348, 0.000335546945195, 0.999242131762, 0.999077917469, 9.31605975057e-06, 0.993366675927
2.15e-07, 0.000125, 295, 0.000298786022273, 0.000307570271227, 0.000299017634604, 0.000307861533618, 0.999225422505, 0.99905391756, 8.7842489535e-06, 0.99325523049
2.2e-07, 0.000125, 295, 0.000274424968528, 0.000282717138731, 0.000274642252964, 0.000282991665475, 0.999208845566, 0.999029912263, 8.29217020298e-06, 0.993144151388
2.25e-07, 0.000125, 295, 0.000252503520323, 0.000260339698362, 0.000252707542519, 0.000260598694693, 0.9991926549, 0.999006148781, 7.83617803913e-06, 0.993033446457
2.3e-07, 0.000125, 295, 0.000232733113842, 0.000240146135102, 0.000232924934636, 0.000240390791163, 0.999176469475, 0.998982256934, 7.41302126028e-06, 0.992923080277
2.35e-07, 0.000125, 295, 0.000214864456357, 0.000221884250829, 0.000215045045406, 0.000222115656068, 0.99916022688, 0.998958176819, 7.01979447129e-06, 0.992813040742
2.4e-07, 0.000125, 295, 0.000198681520788, 0.000205335416682, 0.000198851688842, 0.000205554492795, 0.999144246371, 0.998934218803, 6.65389589426e-06, 0.992703343344
2.45e-07, 0.000125, 295, 0.000183996425442, 0.000190309416101, 0.000184156903111, 0.000190516996706, 0.999128581843, 0.998910435243, 6.31299065918e-06, 0.992593986944
2.5e-07, 0.000125, 295, 0.000170645309358, 0.000176640288699, 0.000170796802351, 0.000176837175397, 0.999113022076, 0.998886621565, 5.99497934163e-06, 0.992484950183
2.55e-07, 0.000125, 295, 0.000158484893725, 0.000164182864381, 0.000158628104091, 0.000164369848748, 0.999097194245, 0.998862416873, 5.69797065593e-06, 0.992376184618
2.6e-07, 0.000125, 295, 0.000147389709851, 0.000152809968185, 0.000147525211878, 0.000152987707753, 0.999081499183, 0.998838210137, 5.42025833404e-06, 0.99226772131
2.65e-07, 0.000125, 295, 0.000137249514666, 0.00014240981471, 0.000137377755916, 0.000142578834405, 0.999066506442, 0.998814552693, 5.16030004421e-06, 0.992159617429
2.7e-07, 0.000125, 295, 0.000127967001201, 0.000132883699636, 0.00012808851297, 0.000133044603481, 0.999051345305, 0.998790602247, 4.91669843496e-06, 0.992051784516
2.75e-07, 0.000125, 295, 0.000119456358576, 0.000124144544997, 0.000119571641499, 0.000124297901786, 0.999035867355, 0.998766215789, 4.68818642096e-06, 0.991944187693
2.8e-07, 0.000125, 295, 0.000111641779985, 0.000116115393547, 0.000111751179641, 0.000116261612216, 0.999021042491, 0.998742330627, 4.47361356224e-06, 0.991836922113
2.85e-07, 0.000125, 295, 0.000104455861647, 0.000108727794152, 0.000104559763189, 0.00010886731947, 0.999006295171, 0.998718391172, 4.2719325046e-06, 0.991729933684
2.9e-07, 0.000125, 295, 9.78387362568e-05, 0.000101920925313, 9.79375282133e-05, 0.000102054201874, 0.998991275783, 0.998694061016, 4.08218905657e-06, 0.991623187311
2.95e-07, 0.000125, 295, 9.17371992783e-05, 9.56407121911e-05, 9.1831169192e-05, 9.57680799728e-05, 0.998976710038, 0.99867003931, 3.90351291273e-06, 0.991516732288
