# L (m), R (m), T (K), F_Drude, F_Plasma, F_PFA_Drude, F_PFA_Plasma, F_Drude/F_PFA_Drude, F_Plasma/F_PFA_Plasma
1.45e-07, 0.000125, 295, -6.79038823741e-11, -7.00353128608e-11, -6.79570010122e-11, -7.01075606784e-11, 0.999218349291, 0.99896947181
1.5e-07, 0.000125, 295, -6.19752880541e-11, -6.39973851574e-11, -6.20252039126e-11, -6.40658582251e-11, 0.999195232658, 0.99893120814
1.55e-07, 0.000125, 295, -5.67208582969e-11, -5.86418232968e-11, -5.67678388363e-11, -5.87068200121e-11, 0.999172409232, 0.998892859205
1.6e-07, 0.000125, 295, -5.20467538838e-11, -5.38739864229e-11, -5.2091038414e-11, -5.39357746405e-11, 0.999149862788, 0.998854411232
1.65e-07, 0.000125, 295, -4.78744888354e-11, -4.96146827517e-11, -4.79162914691e-11, -4.96735029742e-11, 0.999127590378, 0.998815863207
1.7e-07, 0.000125, 295, -4.41380603027e-11, -4.57972860004e-11, -4.41775729232e-11, -4.58533545553e-11, 0.999105595489, 0.998777220218
1.75e-07, 0.000125, 295, -4.07816778787e-11, -4.23654533973e-11, -4.08190738537e-11, -4.24189663364e-11, 0.999083860278, 0.998738466689
1.8e-07, 0.000125, 295, -3.77579575355e-11, -3.92713100928e-11, -3.77933935296e-11, -3.93224451681e-11, 0.999062375967, 0.998699595738
1.85e-07, 0.000125, 295, -3.50264718773e-11, -3.64739913461e-11, -3.50600898365e-11, -3.6522910139e-11, 0.999041133114, 0.998660599805
1.9e-07, 0.000125, 295, -3.2552581471e-11, -3.39384669999e-11, -3.25845097708e-11, -3.3985316198e-11, 0.99902013871, 0.998621487061
1.95e-07, 0.000125, 295, -3.03064851379e-11, -3.16345859219e-11, -3.0336840326e-11, -3.16794991763e-11, 0.9989993952, 0.998582261224
2e-07, 0.000125, 295, -2.82624442061e-11, -2.9536295244e-11, -2.82913339315e-11, -2.95793962045e-11, 0.99897884895, 0.998542872201
2.05e-07, 0.000125, 295, -2.63981855486e-11, -2.76210392992e-11, -2.64256730063e-11, -2.76624059517e-11, 0.998959819957, 0.998504589495
2.1e-07, 0.000125, 295, -2.46942315607e-11, -2.58690850713e-11, -2.47204460244e-11, -2.590886097e-11, 0.99893956348, 0.998464776253
2.15e-07, 0.000125, 295, -2.31336918555e-11, -2.4263311948e-11, -2.31587134701e-11, -2.43015904333e-11, 0.998919559384, 0.998424856782
2.2e-07, 0.000125, 295, -2.17017435477e-11, -2.27886883398e-11, -2.17256466324e-11, -2.28255561407e-11, 0.998899775683, 0.998384801638
2.25e-07, 0.000125, 295, -2.03853729861e-11, -2.14320112251e-11, -2.04082257239e-11, -2.1467548207e-11, 0.998880219274, 0.99834461851
2.3e-07, 0.000125, 295, -1.91731211262e-11, -2.01816494076e-11, -1.91949865386e-11, -2.02159296032e-11, 0.998860878992, 0.998304297838
2.35e-07, 0.000125, 295, -1.80548706483e-11, -1.90273287882e-11, -1.80758070174e-11, -1.90604208691e-11, 0.99884174637, 0.998263832623
2.4e-07, 0.000125, 295, -1.70216655585e-11, -1.79599503456e-11, -1.70417267593e-11, -1.79919180002e-11, 0.998822818775, 0.998223221418
2.45e-07, 0.000125, 295, -1.60655578682e-11, -1.69714353917e-11, -1.60847938442e-11, -1.70023378422e-11, 0.998804089367, 0.998182458742
2.5e-07, 0.000125, 295, -1.51794771892e-11, -1.60545939122e-11, -1.51979343943e-11, -1.60844863944e-11, 0.998785545157, 0.998141533308
2.55e-07, 0.000125, 295, -1.43571198476e-11, -1.52030125736e-11, -1.43748411294e-11, -1.52319462537e-11, 0.998767201549, 0.99810046073
2.6e-07, 0.000125, 295, -1.35928523471e-11, -1.44109572029e-11, -1.36098778534e-11, -1.44389801168e-11, 0.998749033131, 0.99805921792
2.65e-07, 0.000125, 295, -1.28816304247e-11, -1.36732909765e-11, -1.28979973451e-11, -1.37004477997e-11, 0.998731049485, 0.998017814919
2.7e-07, 0.000125, 295, -1.22189276089e-11, -1.29854022041e-11, -1.22346705697e-11, -1.30117346731e-11, 0.998713250126, 0.997976252232
2.75e-07, 0.000125, 295, -1.16006739205e-11, -1.23431423401e-11, -1.16158254772e-11, -1.23686897702e-11, 0.998695610858, 0.997934507971
2.8e-07, 0.000125, 295, -1.10232034855e-11, -1.17427729843e-11, -1.10377939486e-11, -1.17675721173e-11, 0.998678135944, 0.99789258712
2.85e-07, 0.000125, 295, -1.04832082567e-11, -1.11809190551e-11, -1.04972656874e-11, -1.12050040741e-11, 0.998660848352, 0.997850512248
2.9e-07, 0.000125, 295, -9.97769692846e-12, -1.06545272075e-11, -9.99124804437e-12, -1.06779306655e-11, 0.998643701383, 0.997808240307
2.95e-07, 0.000125, 295, -9.50396137009e-12, -1.01608318328e-11, -9.51703093056e-12, -1.0183584052e-11, 0.998626718714, 0.997765794532
3e-07, 0.000125, 295, -9.05954495716e-12, -9.69732298886e-12, -9.07215610177e-12, -9.7194524169e-12, 0.998609906569, 0.997723181606
3.05e-07, 0.000125, 295, -8.64221541674e-12, -9.26171888854e-12, -8.65439021008e-12, -9.28325265997e-12, 0.998593223435, 0.99768036353
3.1e-07, 0.000125, 295, -8.24994238126e-12, -8.85194313733e-12, -8.26170110925e-12, -8.87290638024e-12, 0.998576718301, 0.997637387119
3.15e-07, 0.000125, 295, -7.88087485527e-12, -8.46610190178e-12, -7.89223697692e-12, -8.48651870718e-12, 0.998560342057, 0.997594207224
3.2e-07, 0.000125, 295, -7.53332412593e-12, -8.10246656487e-12, -7.54430788304e-12, -8.12235960574e-12, 0.998544100098, 0.997550829828
3.25e-07, 0.000125, 295, -7.20574711436e-12, -7.75945683801e-12, -7.21636948409e-12, -7.77884733235e-12, 0.998528017481, 0.997507279226
3.3e-07, 0.000125, 295, -6.89673140546e-12, -7.43562557258e-12, -6.90700857216e-12, -7.45453376775e-12, 0.998512066897, 0.997463530818
3.35e-07, 0.000125, 295, -6.60498315683e-12, -7.12964647671e-12, -6.61493024309e-12, -7.148091389e-12, 0.998496267399, 0.997419603179
3.4e-07, 0.000125, 295, -6.32931509196e-12, -6.84030192853e-12, -6.3389464836e-12, -6.85830167816e-12, 0.998480600576, 0.997375480043
