# optical data by Diego Dalvit, omegap = 9eV
# T = 295K
# R = 10500nm
#
# P_PR = pi³*hbar*c*R/(120*L^4)
#
# order of finite difference formula: 8
# stepsize: 0
#
# L (nm), P_Drude/F_PR, P_PFA_Drude/P_PR, P_plasma/P_PR, P_PFA_plasma/P_PR, 1-P_Drude/P_PFA_Drude, 1-P_plasma/P_PFA_plasma
58, 0.355651832108, 0.356444238969, 0.357278337664, 0.358113594324, 0.00222308786134, 0.00233237909192
62, 0.36824086704, 0.369132792746, 0.370123239914, 0.371066492908, 0.00241627328428, 0.00254200530702
66, 0.380268196373, 0.381262084014, 0.382421132653, 0.383475683298, 0.00260683577792, 0.00274998048566
70, 0.391771747154, 0.392874124988, 0.394209043894, 0.395382285214, 0.00280593137731, 0.00296735934705
74, 0.40279529149, 0.40400537183, 0.405529891742, 0.406821905327, 0.0029952085408, 0.0031758702473
78, 0.41336564596, 0.41468783788, 0.416409685824, 0.417825752943, 0.00318840293707, 0.00338913317032
82, 0.423513500063, 0.424949926227, 0.426878356377, 0.428421473309, 0.00338022452787, 0.00360186645091
86, 0.433264187216, 0.434817061724, 0.436960524023, 0.438633779117, 0.00357132837015, 0.00381469730277
90, 0.442640871262, 0.444312178103, 0.446678685502, 0.448484936334, 0.00376155982924, 0.00402745039072
94, 0.451664595953, 0.453456098824, 0.456053260754, 0.457995143284, 0.00395077467542, 0.00423996314969
98, 0.460354543262, 0.462267838756, 0.465102848806, 0.467182830241, 0.00413893274241, 0.00445217867845
102, 0.468728318431, 0.470764846586, 0.473844511212, 0.476064899469, 0.00432599878662, 0.00466404529907
106, 0.476802177758, 0.478963201761, 0.482293996589, 0.484656920185, 0.00451187898064, 0.00487545621847
110, 0.484591089732, 0.48687777672, 0.490465800218, 0.492973288032, 0.00469663455073, 0.00508645777668
114, 0.492108971024, 0.494522371719, 0.498373396618, 0.501027358158, 0.00488026595482, 0.00529703916706
118, 0.499368930091, 0.501909828386, 0.506029482526, 0.508831556254, 0.00506245973018, 0.00550687883466
122, 0.50638278593, 0.509052126074, 0.513445491815, 0.516397473043, 0.00524374618555, 0.0057164904597
126, 0.513162061075, 0.515960464505, 0.520632587882, 0.523735944972, 0.00542367801865, 0.00592542314408
130, 0.519717305375, 0.522645335058, 0.527600985562, 0.530857123678, 0.00560232625495, 0.00613373725438
134, 0.52605830865, 0.529116583183, 0.534360159862, 0.537770536636, 0.00577996349129, 0.00634169509466
138, 0.532194581887, 0.535383462764, 0.54091932947, 0.544485140114, 0.00595625584086, 0.00654895860599
142, 0.538134775518, 0.541454684458, 0.547286869483, 0.551009365898, 0.0061314622167, 0.00675577702511
146, 0.543887211156, 0.547338458328, 0.553470845331, 0.557351162733, 0.00630550826262, 0.00696206926733
150, 0.549459790461, 0.553042532253, 0.559478917556, 0.56351803334, 0.0064782391637, 0.0071676779535
154, 0.554859705946, 0.558574226125, 0.565318052355, 0.569517067329, 0.00665000282058, 0.00737293966235
158, 0.560094121269, 0.563940462659, 0.570995202877, 0.575354971398, 0.00682047422545, 0.00757752819956
162, 0.565169387987, 0.569147795453, 0.576516520376, 0.58103809591, 0.00699011311048, 0.00778189169779
166, 0.570092113839, 0.574202434332, 0.58188842717, 0.586572459585, 0.00715831255225, 0.00798542846274
170, 0.574868003498, 0.579110268458, 0.587116451889, 0.591963771707, 0.00732548737537, 0.00818854134306
174, 0.579502588594, 0.583876887446, 0.592205960189, 0.597217452472, 0.00749181710336, 0.00839140293389
178, 0.584001447428, 0.588507600707, 0.597162376861, 0.602338651665, 0.00765691602502, 0.00859362883303
182, 0.588369658363, 0.593007455205, 0.601990631532, 0.607332265523, 0.00782080697598, 0.00879524157495
186, 0.592611731051, 0.597381251849, 0.606695098327, 0.612202952815, 0.00798404835061, 0.00899677870359
190, 0.596732704761, 0.601633560389, 0.611280683896, 0.616955149187, 0.0081459146422, 0.00919753291421
194, 0.600736506131, 0.605768733633, 0.615751194664, 0.621593080356, 0.00830717602775, 0.00939824762629
198, 0.604627908936, 0.609790920005, 0.620111286097, 0.626120774963, 0.00846685462108, 0.0095979707211
202, 0.608410238533, 0.613704075812, 0.624364175411, 0.630542075552, 0.00862604223774, 0.00979776034065
206, 0.612087905307, 0.617511976007, 0.628514169187, 0.634860649774, 0.00878374980705, 0.00999665137451
210, 0.615663726732, 0.621218224833, 0.632563986704, 0.639079999832, 0.00894129933624, 0.0101959271592
214, 0.619141746946, 0.624826265108, 0.636517579382, 0.643203471996, 0.00909775801597, 0.0103946774314
218, 0.622525514865, 0.628339387347, 0.640378408431, 0.64723426508, 0.00925275830138, 0.0105925427912
222, 0.625817694696, 0.631760738012, 0.644149054891, 0.651175438742, 0.00940711088605, 0.0107903084689
226, 0.629021421531, 0.635093327483, 0.6478325745, 0.65502992058, 0.00956065146596, 0.0109878126991
230, 0.632139716889, 0.638340037065, 0.651431914275, 0.658800513425, 0.00971319330647, 0.0111848715966
234, 0.635175266889, 0.641503625987, 0.654949689597, 0.662489901844, 0.00986488437751, 0.0113816259328
238, 0.638130734609, 0.644586737743, 0.658388495265, 0.66610065829, 0.0100157244254, 0.0115780744684
242, 0.641008713244, 0.647591906068, 0.661750860888, 0.669635248874, 0.0101656502532, 0.0117741531664
246, 0.643811552359, 0.650521560559, 0.665039075449, 0.673096038778, 0.0103148129232, 0.011970005563
250, 0.646541651722, 0.65337803194, 0.668255479739, 0.676485297344, 0.0104631314251, 0.0121655528026
