# optical data by Diego Dalvit, omegap = 9eV
# T = 295K
# R = 52300nm
#
# P_PR = pi³*hbar*c*R/(120*L^4)
#
# order of finite difference formula: 8
# stepsize: 0
#
# L (nm), P_Drude/F_PR, P_PFA_Drude/P_PR, P_plasma/P_PR, P_PFA_plasma/P_PR
490, 0.74112179, 0.74383829, 0.79643054, 0.80062665
494, 0.7417946, 0.74452962, 0.79765672, 0.80189557
498, 0.74245109, 0.74520475, 0.7988667, 0.80314859
502, 0.74309175, 0.74586397, 0.80006098, 0.804386
506, 0.74371687, 0.74650759, 0.80123981, 0.8056081
510, 0.74432692, 0.7471359, 0.80240369, 0.80681518
514, 0.74492222, 0.74774919, 0.80355293, 0.80800752
518, 0.74550272, 0.74834774, 0.80468746, 0.80918539
522, 0.74606887, 0.74893182, 0.80580774, 0.81034906
526, 0.74662067, 0.7495017, 0.80691375, 0.8114988
530, 0.74715888, 0.75005765, 0.80800625, 0.81263485
534, 0.74768347, 0.7505999, 0.8090852, 0.81375746
538, 0.74819496, 0.75112872, 0.81015114, 0.81486689
542, 0.74869324, 0.75164435, 0.81120393, 0.81596337
546, 0.74917858, 0.75214701, 0.81224384, 0.81704712
550, 0.74965118, 0.75263695, 0.81327107, 0.81811838
554, 0.75011132, 0.75311438, 0.8142859, 0.81917737
558, 0.75055947, 0.75357953, 0.81528878, 0.8202243
562, 0.75099573, 0.75403262, 0.81627982, 0.82125939
566, 0.7514203, 0.75447385, 0.81725922, 0.82228283
570, 0.75183322, 0.75490343, 0.81822702, 0.82329484
574, 0.75223469, 0.75532156, 0.81918339, 0.82429561
578, 0.75262505, 0.75572844, 0.82012869, 0.82528533
582, 0.75300432, 0.75612427, 0.82106292, 0.8262642
586, 0.75337299, 0.75650922, 0.82198658, 0.82723239
590, 0.75373102, 0.75688348, 0.82289962, 0.82819009
594, 0.75407894, 0.75724724, 0.82380258, 0.82913747
598, 0.75441637, 0.75760066, 0.82469506, 0.8300747
602, 0.75474368, 0.75794393, 0.82557743, 0.83100196
606, 0.755061, 0.75827721, 0.82644982, 0.83191942
610, 0.75536872, 0.75860066, 0.82731262, 0.83282722
614, 0.75566694, 0.75891445, 0.82816592, 0.83372554
618, 0.75595564, 0.75921873, 0.82900971, 0.83461452
622, 0.75623537, 0.75951367, 0.82984453, 0.83549431
626, 0.75650575, 0.7597994, 0.83066999, 0.83636508
630, 0.75676715, 0.76007608, 0.83148646, 0.83722696
634, 0.75701988, 0.76034386, 0.83229425, 0.83808009
638, 0.75726371, 0.76060288, 0.83309315, 0.83892461
642, 0.7574991, 0.76085327, 0.83388357, 0.83976067
646, 0.75772621, 0.76109517, 0.83466571, 0.84058839
650, 0.75794496, 0.76132873, 0.83543947, 0.84140791
654, 0.75815564, 0.76155406, 0.83620514, 0.84221935
658, 0.75835845, 0.76177129, 0.83696292, 0.84302285
662, 0.75855319, 0.76198056, 0.8377126, 0.84381852
666, 0.75874022, 0.76218199, 0.83845454, 0.84460648
670, 0.75891966, 0.7623757, 0.83918886, 0.84538686
674, 0.75909145, 0.7625618, 0.83991552, 0.84615978
678, 0.75925587, 0.76274041, 0.84063475, 0.84692534
682, 0.75941314, 0.76291165, 0.84134682, 0.84768365
686, 0.75956313, 0.76307563, 0.84205156, 0.84843484
690, 0.75970612, 0.76323246, 0.84274926, 0.849179
694, 0.7598423, 0.76338224, 0.84344013, 0.84991624
698, 0.7599714, 0.76352509, 0.84412386, 0.85064667
702, 0.76009383, 0.76366111, 0.84480087, 0.85137039
706, 0.76020966, 0.76379039, 0.84547126, 0.85208749
710, 0.76031878, 0.76391304, 0.84613488, 0.85279808
714, 0.76042157, 0.76402915, 0.84679212, 0.85350225
718, 0.76051799, 0.76413883, 0.84744295, 0.85420009
722, 0.760608, 0.76424216, 0.84808731, 0.85489171
726, 0.76069202, 0.76433924, 0.84872564, 0.85557718
730, 0.76077002, 0.76443016, 0.84935788, 0.8562566
734, 0.76084197, 0.76451502, 0.84998403, 0.85693006
738, 0.76090819, 0.76459389, 0.85060439, 0.85759765
742, 0.76096841, 0.76466686, 0.85121868, 0.85825944
746, 0.76102282, 0.76473402, 0.85182712, 0.85891552
750, 0.76107167, 0.76479545, 0.85242992, 0.85956598
754, 0.76111491, 0.76485124, 0.85302707, 0.86021088
758, 0.7611527, 0.76490146, 0.85361869, 0.86085032
762, 0.76118511, 0.76494619, 0.85420488, 0.86148437
766, 0.76121216, 0.76498551, 0.85478564, 0.86211311
770, 0.76123381, 0.7650195, 0.85536093, 0.8627366
774, 0.76125053, 0.76504823, 0.85593123, 0.86335493
778, 0.76126197, 0.76507178, 0.85649617, 0.86396816
782, 0.76126854, 0.76509021, 0.85705618, 0.86457638
786, 0.76127027, 0.7651036, 0.85761128, 0.86517964
790, 0.76126672, 0.76511202, 0.85816101, 0.86577801
794, 0.76125867, 0.76511553, 0.85870619, 0.86637157
798, 0.76124562, 0.76511421, 0.85924629, 0.86696038
802, 0.76122793, 0.76510812, 0.85978167, 0.8675445
806, 0.76120568, 0.76509733, 0.86031243, 0.86812401
810, 0.76117884, 0.7650819, 0.86083851, 0.86869895
814, 0.76114744, 0.76506189, 0.86135995, 0.8692694
818, 0.76111165, 0.76503737, 0.86187694, 0.86983542
822, 0.76107143, 0.7650084, 0.86238941, 0.87039706
826, 0.7610269, 0.76497503, 0.86289749, 0.87095439
830, 0.76097815, 0.76493733, 0.86340127, 0.87150746
834, 0.76092522, 0.76489536, 0.86390078, 0.87205634
838, 0.76086813, 0.76484917, 0.86439606, 0.87260107
842, 0.76080709, 0.76479882, 0.8648873, 0.87314171
846, 0.76074187, 0.76474436, 0.86537428, 0.87367832
850, 0.76067274, 0.76468586, 0.86585727, 0.87421096
854, 0.76059961, 0.76462336, 0.86633617, 0.87473966
858, 0.76052261, 0.76455691, 0.86681112, 0.8752645
862, 0.76044172, 0.76448657, 0.86728208, 0.87578551
866, 0.76035721, 0.7644124, 0.86774934, 0.87630275
870, 0.76026877, 0.76433444, 0.86821257, 0.87681627
874, 0.76017686, 0.76425273, 0.86867227, 0.87732612
878, 0.76008127, 0.76416734, 0.86912818, 0.87783234
882, 0.75998203, 0.76407831, 0.86958035, 0.87833499
886, 0.75987927, 0.76398568, 0.87002891, 0.87883411
890, 0.75977318, 0.76388951, 0.87047406, 0.87932974
894, 0.75966351, 0.76378984, 0.87091552, 0.87982194
898, 0.7595505, 0.76368671, 0.87135357, 0.88031074
902, 0.7594344, 0.76358017, 0.87178842, 0.88079619
906, 0.75931468, 0.76347027, 0.87221957, 0.88127834
910, 0.75919184, 0.76335705, 0.8726475, 0.88175723
914, 0.75906564, 0.76324055, 0.87307197, 0.8822329
918, 0.75893644, 0.76312081, 0.87349335, 0.88270538
922, 0.75880384, 0.76299787, 0.87391122, 0.88317474
926, 0.7586684, 0.76287179, 0.87432618, 0.88364099
930, 0.75852976, 0.76274259, 0.87473782, 0.88410419
934, 0.75838839, 0.76261032, 0.87514666, 0.88456437
938, 0.75824366, 0.76247502, 0.87555202, 0.88502157
942, 0.75809622, 0.76233672, 0.87595458, 0.88547583
946, 0.75794593, 0.76219547, 0.87635419, 0.88592719
950, 0.75779272, 0.7620513, 0.87675078, 0.88637569
954, 0.75763637, 0.76190425, 0.87714412, 0.88682136
958, 0.75747775, 0.76175435, 0.87753511, 0.88726423
962, 0.75731619, 0.76160165, 0.87792305, 0.88770435
966, 0.75715181, 0.76144618, 0.87830807, 0.88814175
970, 0.75698485, 0.76128797, 0.87869042, 0.88857646
974, 0.75681564, 0.76112707, 0.87907042, 0.88900852
978, 0.7566433, 0.76096349, 0.87944716, 0.88943796
982, 0.75646839, 0.76079728, 0.87982126, 0.88986482
986, 0.75629106, 0.76062848, 0.88019281, 0.89028912
990, 0.75611122, 0.76045711, 0.88056175, 0.89071091
994, 0.75592866, 0.7602832, 0.88092787, 0.89113021
998, 0.75574391, 0.7601068, 0.88129171, 0.89154706
1002, 0.75555694, 0.75992792, 0.88165322, 0.89196148
1006, 0.75536738, 0.75974661, 0.88201205, 0.89237351
1010, 0.75517546, 0.75956289, 0.88236839, 0.89278317
1014, 0.75498126, 0.7593768, 0.88272236, 0.89319051
1018, 0.75478475, 0.75918836, 0.8830739, 0.89359554
1022, 0.75458583, 0.7589976, 0.88342293, 0.8939983
