# optical data by Diego Dalvit, omegap = 9eV
# T = 295K
# R = 31400nm
#
# F_PR = -pi³*hbar*c*R/(360*L³)
#
# order of finite difference formula: 8
# stepsize: 1
#
# L (nm), F_Drude/F_PR, F_PFA_Drude/F_PR, F_plasma/F_PR, F_PFA_plasma/F_PR, 1-F_Drude/F_PFA_Drude, 1-F_Plasma/F_PFA_Plasma
86, 0.502878414101, 0.503848866824, 0.51124460831, 0.512394209351, 0.00192607900455, 0.00224358710501
90, 0.512225946402, 0.513259056502, 0.521239169351, 0.522470274967, 0.00201284339147, 0.00235631704802
94, 0.521148028356, 0.522244012566, 0.530818912765, 0.532132660249, 0.00209860560127, 0.00246883452584
98, 0.529671406352, 0.530830412351, 0.540009777082, 0.541407228149, 0.00218338281193, 0.00258114593684
102, 0.537820488758, 0.53904260376, 0.548835435069, 0.550317584551, 0.00226719556809, 0.00269326207933
106, 0.545617620647, 0.546902880262, 0.557317560922, 0.558885345815, 0.00235006920171, 0.00280519950049
110, 0.553083323277, 0.554431713433, 0.565476063063, 0.567130364251, 0.00243202205581, 0.00291696811158
114, 0.560236485548, 0.56164795065, 0.573329269731, 0.575070920336, 0.00251307798979, 0.00302858402889
118, 0.567094536622, 0.568568985049, 0.580894096346, 0.582723887469, 0.00259326214759, 0.00314006540995
122, 0.573673599966, 0.575210902745, 0.588186194906, 0.590104874104, 0.00267258977814, 0.00325142069057
126, 0.579988611915, 0.581588610429, 0.595220068438, 0.597228347727, 0.00275108295627, 0.00336266571452
130, 0.586053435732, 0.58771594746, 0.602009181393, 0.604107743047, 0.00282876742533, 0.00347382015615
134, 0.591880967929, 0.593605784259, 0.608566062716, 0.610755557172, 0.00290565957382, 0.00358489485713
138, 0.597483220098, 0.599270109293, 0.614902384729, 0.617183433683, 0.00298177594366, 0.0036959011361
142, 0.602871393594, 0.604720106319, 0.621029035254, 0.623402237309, 0.00305713784965, 0.00380685521023
146, 0.608055953263, 0.609966222966, 0.626956188984, 0.629422120092, 0.00313176309014, 0.00391777001376
150, 0.613046688196, 0.615018232295, 0.632693366178, 0.635252580998, 0.00320566772653, 0.0040286570996
154, 0.617852765117, 0.619885288044, 0.638249484159, 0.640902518978, 0.00327886943989, 0.00413952939878
158, 0.622482780199, 0.624575973871, 0.64363290745, 0.646380281164, 0.0033513835935, 0.00425039840112
