# optical data by Diego Dalvit, omegap = 9eV
# T = 295K
# R = 52300nm
#
# F_PR = -pi³*hbar*c*R/(360*L³)
#
# order of finite difference formula: 8
# stepsize: 1
#
# L (nm), F_Drude/F_PR, F_PFA_Drude/F_PR, F_plasma/F_PR, F_PFA_plasma/F_PR, 1-F_Drude/F_PFA_Drude, 1-F_Plasma/F_PFA_Plasma
78, 0.483123973038, 0.48363238885, 0.490282111087, 0.49088430978, 0.00105124434152, 0.0012267629673
82, 0.493438462983, 0.493984108004, 0.501225497429, 0.501876022916, 0.00110458011064, 0.00129618761834
86, 0.503265755206, 0.503848866824, 0.511694502584, 0.512394209351, 0.00115731453829, 0.00136556337793
90, 0.512638307331, 0.513259056502, 0.521720602346, 0.522470274967, 0.00120942662927, 0.00143486176586
94, 0.52158549776, 0.522244012566, 0.531332283711, 0.532132660249, 0.00126093318362, 0.00150409211362
98, 0.530134045621, 0.530830412351, 0.540555455197, 0.541407228149, 0.00131184407176, 0.00157325744326
102, 0.538308336616, 0.53904260376, 0.549413764146, 0.550317584551, 0.0013621690365, 0.00164236148453
106, 0.546130694173, 0.546902880262, 0.557928860401, 0.558885345815, 0.00141192543922, 0.00171141616233
110, 0.553621620876, 0.554431713433, 0.566120631065, 0.567130364251, 0.00146112232989, 0.00178042518908
114, 0.560799989239, 0.56164795065, 0.574007385397, 0.575070920336, 0.00150977388971, 0.00184939787569
118, 0.567683212699, 0.568568985049, 0.58160602049, 0.582723887469, 0.00155789776463, 0.00191834761393
122, 0.574287402403, 0.575210902745, 0.588932173509, 0.590104874104, 0.00160549867373, 0.00198727488369
126, 0.580627481795, 0.581588610429, 0.596000332125, 0.597228347727, 0.0016525919123, 0.00205619108006
130, 0.586717304087, 0.58771594746, 0.602823948302, 0.604107743047, 0.00169919393343, 0.00212510890528
134, 0.592569756421, 0.593605784259, 0.609415539257, 0.610755557172, 0.00174531290915, 0.00219403311069
138, 0.598196840811, 0.599270109293, 0.61578676543, 0.617183433683, 0.00179095947816, 0.0022629710653
142, 0.603609752164, 0.604720106319, 0.621948505881, 0.623402237309, 0.00183614558758, 0.00233193168353
146, 0.608818948832, 0.609966222966, 0.627910926593, 0.629422120092, 0.00188088141762, 0.00240092213318
150, 0.613834212299, 0.615018232295, 0.633683538071, 0.635252580998, 0.00192517869143, 0.00246995128304
154, 0.618664705088, 0.619885288044, 0.639275251269, 0.640902518978, 0.00196904649943, 0.00253902529683
158, 0.623319019339, 0.624575973871, 0.644694424632, 0.646380281164, 0.00201249261089, 0.00260814969318
162, 0.627805216522, 0.629098348238, 0.649948902138, 0.651693705627, 0.00205553188867, 0.00267733672084
166, 0.632130880485, 0.633459984806, 0.655046065106, 0.656850160373, 0.00209816618694, 0.0027465857148
170, 0.636303139682, 0.637668008808, 0.659992853233, 0.661856579155, 0.00214040708719, 0.00281590601397
174, 0.640328708681, 0.641729130611, 0.664795804784, 0.666719493239, 0.00218226329957, 0.00288530405234
178, 0.644213918168, 0.64564967574, 0.669461085758, 0.671445060828, 0.00222374087014, 0.00295478392209
182, 0.647964736596, 0.649435612567, 0.673994510574, 0.676039093302, 0.00226485265518, 0.00302435576308
186, 0.651586807316, 0.65309257729, 0.678401578354, 0.680507080274, 0.00230559958326, 0.00309401912221
190, 0.655085460995, 0.656625897112, 0.682687484636, 0.684854211053, 0.00234598745449, 0.00316377760704
194, 0.65846573431, 0.660040611511, 0.68685713933, 0.689085395906, 0.00238603075895, 0.00323364359334
198, 0.66173239932, 0.6633414912, 0.690915195441, 0.693205284037, 0.0024257368215, 0.00330362253373
202, 0.664889985068, 0.666533056425, 0.694866070199, 0.697218281275, 0.00246510107955, 0.00337370826271
206, 0.667942772305, 0.669619592901, 0.698713939198, 0.701128565704, 0.00250413908638, 0.00344391403292
210, 0.670894830565, 0.672605167183, 0.702462772909, 0.704940102729, 0.00254285381823, 0.00351424157998
214, 0.673750021069, 0.675493640529, 0.706116339318, 0.708656657908, 0.00258125222063, 0.00358469586402
218, 0.676512015018, 0.678288681777, 0.709678221725, 0.712281809871, 0.00261933717513, 0.00365527816446
222, 0.679184295812, 0.680993779257, 0.713151820541, 0.715818961746, 0.00265712184173, 0.00372599965586
226, 0.681770188741, 0.683612251812, 0.716540382802, 0.719271351845, 0.00269460218916, 0.00379685502038
230, 0.684272854039, 0.686147259024, 0.719846994624, 0.722642063578, 0.00273178237039, 0.00386784702285
234, 0.686695293464, 0.688601810704, 0.72307458785, 0.725934034643, 0.0027686788073, 0.00393898984871
238, 0.689040382954, 0.690978775695, 0.726225972275, 0.729150065581, 0.00280528550227, 0.00401027640825
242, 0.691310849149, 0.693280890075, 0.729303811771, 0.732292827715, 0.0028416201195, 0.00408172227158
246, 0.693509313644, 0.695510764774, 0.7323106686, 0.735364870689, 0.00287767095916, 0.00415331519146
250, 0.69563826446, 0.697670892681, 0.735248974452, 0.738368628836, 0.00291344850855, 0.00422506355518
254, 0.697700077738, 0.699763655269, 0.738121052063, 0.741306428373, 0.00294896357597, 0.00429697650985
258, 0.699697029966, 0.701791328848, 0.740929127272, 0.7441804929, 0.00298421880562, 0.0043690551676
262, 0.70163130175, 0.703756090038, 0.74367533252, 0.746992949131, 0.00301921122744, 0.00444129575056
266, 0.70350497131, 0.705660021605, 0.746361700235, 0.749745832276, 0.00305394981928, 0.00451370570603
270, 0.705320032038, 0.707505117218, 0.748990180392, 0.752441090376, 0.00308843728038, 0.00458628592669
274, 0.707078395405, 0.709293286327, 0.751562643065, 0.755080589722, 0.00312267289798, 0.00465903468373
278, 0.708781874909, 0.711026358276, 0.75408086232, 0.757666118772, 0.00315668095897, 0.00473197410282
282, 0.710432243511, 0.712706086902, 0.75654657367, 0.760199391735, 0.00319043632898, 0.00480507891027
286, 0.712031167834, 0.714334154227, 0.758961408004, 0.762682053187, 0.00322396231387, 0.00487836991561
290, 0.713580266375, 0.715912173854, 0.761326949703, 0.765115681258, 0.00325725356312, 0.00495184146496
294, 0.715081082981, 0.717441694868, 0.763644710171, 0.767501790476, 0.00329031878754, 0.00502550007311
298, 0.716535106508, 0.718924204861, 0.765916147322, 0.769841835947, 0.00332315748619, 0.00509934436122
302, 0.717943763712, 0.720361132682, 0.768142658191, 0.772137215169, 0.00335577373657, 0.00517337708783
306, 0.719308423093, 0.721753851893, 0.770325583101, 0.774389271915, 0.00338817561401, 0.00524760473988
310, 0.720630410169, 0.723103682806, 0.772466220601, 0.776599297779, 0.00342035685278, 0.00532202023556
314, 0.721910987624, 0.724411895652, 0.774565807526, 0.778768535553, 0.00345232876939, 0.00539663306209
318, 0.723151376052, 0.725679712358, 0.776625539806, 0.780898181248, 0.00348409396523, 0.00547144499078
322, 0.724352753136, 0.726908309411, 0.778646571527, 0.782989385712, 0.00351565148154, 0.00554645345655
326, 0.72551625162, 0.728098819386, 0.780630012849, 0.78504325788, 0.00354700172172, 0.00562165840744
330, 0.72664294762, 0.729252333562, 0.782576918248, 0.787060865403, 0.00357816605085, 0.00569707801817
334, 0.727733913659, 0.73036990322, 0.784488339538, 0.789043237848, 0.00360911580519, 0.00577268531207
338, 0.728790141084, 0.731452542052, 0.786365248239, 0.790991367242, 0.00363988203584, 0.00584850757523
342, 0.729812617418, 0.732501227242, 0.788208612849, 0.792906210329, 0.003670450948, 0.00592453107149
346, 0.73080227834, 0.733516901715, 0.79001935085, 0.794788690476, 0.00370083275266, 0.00600076433245
350, 0.731760023739, 0.734500475005, 0.791798344571, 0.79663969818, 0.00373104083652, 0.00607721862242
354, 0.732686756609, 0.735452825382, 0.793546480255, 0.798460093655, 0.00376104173819, 0.00615386221503
358, 0.733583294874, 0.736374800514, 0.795264559771, 0.800250706937, 0.00379087611033, 0.00623073134816
362, 0.734450460031, 0.737267219506, 0.796953389122, 0.802012340446, 0.00382054077568, 0.00630782229785
366, 0.73528906255, 0.738130873456, 0.798613763962, 0.803745768993, 0.00385000954249, 0.00638510985545
370, 0.736099841563, 0.738966526959, 0.800246409077, 0.805451741504, 0.00387931698119, 0.0064626248332
374, 0.736883539391, 0.739774919431, 0.801852053293, 0.807130982503, 0.00390845913152, 0.00654036249953
378, 0.737640884972, 0.740556765562, 0.803431412154, 0.808784192209, 0.00393741671857, 0.00661830449462
382, 0.738372551174, 0.741312757067, 0.804985146001, 0.810412048039, 0.00396621515608, 0.00669647255474
386, 0.739079199981, 0.742043562939, 0.806513904596, 0.812015205931, 0.0039948637879, 0.00677487477389
390, 0.739761503992, 0.742749830699, 0.808018348764, 0.813594300173, 0.00402332869492, 0.00685347894883
394, 0.740420064783, 0.743432187507, 0.809499069018, 0.815149945564, 0.00405164421922, 0.00693231543134
398, 0.741055488801, 0.744091240416, 0.810956660749, 0.816682736967, 0.00407981098369, 0.00701138393088
402, 0.741668373984, 0.74472757747, 0.812391711526, 0.818193250669, 0.00410781550053, 0.00709067098628
406, 0.742259287425, 0.745341768709, 0.8138047784, 0.819682045607, 0.00413566153603, 0.00717017926447
410, 0.742828772472, 0.745934366308, 0.81519639497, 0.821149662963, 0.00416336071464, 0.00724991832951
414, 0.743377352745, 0.746505905572, 0.816567075669, 0.822596627602, 0.00419092843478, 0.00732990110964
418, 0.743905579807, 0.747056905847, 0.817917362989, 0.824023448356, 0.00421832127602, 0.0074100869088
422, 0.74441392308, 0.747587870553, 0.819247717656, 0.825430619226, 0.00424558449631, 0.00749051637455
426, 0.744902870397, 0.748099288186, 0.820558619082, 0.826818619015, 0.00427271866078, 0.00757118887784
430, 0.745372912529, 0.748591632695, 0.821850550041, 0.828187912386, 0.00429970096529, 0.00765208263692
434, 0.745824508386, 0.749065364347, 0.823123961908, 0.829538950869, 0.00432653292374, 0.00773319800585
438, 0.746258084325, 0.749520929728, 0.82437927324, 0.83087217233, 0.00435324121536, 0.00781455837155
442, 0.746674075738, 0.749958762508, 0.825616912216, 0.832188002177, 0.00437982317752, 0.0078961604147
446, 0.747072912263, 0.75037928418, 0.826837301749, 0.833486853476, 0.00440626758604, 0.00797799233442
450, 0.74745500865, 0.750782903938, 0.82804084962, 0.83476912802, 0.00443256668584, 0.00806004699207
454, 0.747820741782, 0.75117001951, 0.829227926191, 0.836035215765, 0.00445874787521, 0.00814234788792
458, 0.748170487098, 0.751541017378, 0.830398900843, 0.837285495744, 0.00448482544783, 0.00822490648187
462, 0.748504656288, 0.751896273526, 0.831554179047, 0.838520337014, 0.004510751492, 0.0083076792052
466, 0.748823590546, 0.752236153264, 0.832694096062, 0.839740097859, 0.00453655770636, 0.00839069351878
