# optical data by Diego Dalvit, omegap = 9eV
# T = 295K
# R = 102800nm
#
# P_PR = pi³*hbar*c*R/(120*L^4)
#
# order of finite difference formula: 8
# stepsize: 0
#
# L (nm), P_Drude/F_PR, P_PFA_Drude/P_PR, P_plasma/P_PR, P_PFA_plasma/P_PR, 1-P_Drude/P_PFA_Drude, 1-P_plasma/P_PFA_plasma
86, 0.434657268412, 0.434817061724, 0.438457166873, 0.438633779117, 0.000367495496463, 0.000402641685784
90, 0.44414017642, 0.444312178103, 0.448294044617, 0.448484936334, 0.000387118993292, 0.000425636853776
94, 0.453271685928, 0.453456098824, 0.457789640334, 0.457995143284, 0.000406683020743, 0.000448701155507
98, 0.462070845813, 0.462267838756, 0.466962417798, 0.467182830241, 0.000426144599191, 0.000471790548677
102, 0.470555124108, 0.470764846586, 0.475829297955, 0.476064899469, 0.000445493074012, 0.000494893688255
106, 0.478740624087, 0.478963201761, 0.484405875686, 0.484656920185, 0.000464707252587, 0.000517983934937
110, 0.486642203225, 0.48687777672, 0.49270652908, 0.492973288032, 0.00048384524004, 0.000541122528617
114, 0.49427373511, 0.494522371719, 0.500744688998, 0.501027358158, 0.000502781315619, 0.000564179090157
118, 0.501647989379, 0.501909828386, 0.508532708403, 0.508831556254, 0.000521685353627, 0.000587321770465
122, 0.50877704335, 0.509052126074, 0.516082276339, 0.516397473043, 0.000540382231922, 0.000610376155904
126, 0.515672005269, 0.515960464505, 0.523404136638, 0.523735944972, 0.000559072363207, 0.000633541266281
130, 0.522343532187, 0.522645335058, 0.530508609294, 0.530857123678, 0.000577452530851, 0.000656512587591
134, 0.528801282656, 0.529116583183, 0.537405033416, 0.537770536636, 0.000595899915122, 0.000679663899258
138, 0.535054671057, 0.535383462764, 0.544102526327, 0.544485140114, 0.000614123764166, 0.000702707492875
142, 0.541112353483, 0.541454684458, 0.550609466922, 0.551009365898, 0.000632243074717, 0.000725757130378
146, 0.546982597401, 0.547338458328, 0.556933857899, 0.557351162733, 0.000650166128842, 0.000748728739075
150, 0.552673003775, 0.553042532253, 0.563083060221, 0.56351803334, 0.000668173706211, 0.000771888550709
154, 0.558191157327, 0.558574226125, 0.56906442847, 0.569517067329, 0.000685797482563, 0.000794776635929
158, 0.563543758082, 0.563940462659, 0.574884436097, 0.575354971398, 0.000703451167213, 0.000817817390474
162, 0.568737453977, 0.569147795453, 0.580549553596, 0.58103809591, 0.000720975254193, 0.000840809436818
