# R=1e-05
# T=300
# R/L, L (in m), F (in N), F_pfa (in N), 1-F/F_PFA
66.2251655629, 1.51e-07, -4.822659391e-12, -4.87150750484e-12, 0.0100273095717
65.4664484452, 1.5275e-07, -4.67440585495e-12, -4.72223200344e-12, 0.0101278692888
64.7249190939, 1.545e-07, -4.53219680597e-12, -4.57902640888e-12, 0.0102269781238
64, 1.5625e-07, -4.39571805833e-12, -4.44158291397e-12, 0.0103262410116
63.2911392405, 1.58e-07, -4.26468550414e-12, -4.30961239876e-12, 0.0104248109709
62.5978090767, 1.5975e-07, -4.1388278153e-12, -4.18284310953e-12, 0.0105228173943
61.919504644, 1.615e-07, -4.01788759049e-12, -4.06101944596e-12, 0.0106209428545
61.2557427259, 1.6325e-07, -3.90162975564e-12, -3.94390084427e-12, 0.0107180911229
60.6060606061, 1.65e-07, -3.78982508145e-12, -3.8312607487e-12, 0.0108151519728
59.9700149925, 1.6675e-07, -3.68226106898e-12, -3.72288566138e-12, 0.0109121246502
59.3471810089, 1.685e-07, -3.57874014964e-12, -3.61857426883e-12, 0.0110082359052
58.7371512482, 1.7025e-07, -3.47906943327e-12, -3.51813663187e-12, 0.0111045143181
58.1395348837, 1.72e-07, -3.38307314252e-12, -3.42139343867e-12, 0.0112002015646
57.5539568345, 1.7375e-07, -3.2905835331e-12, -3.32817531181e-12, 0.0112950115894
56.9800569801, 1.755e-07, -3.2014366505e-12, -3.23832216984e-12, 0.0113903180138
56.4174894217, 1.7725e-07, -3.11548647166e-12, -3.1516826329e-12, 0.0114847100601
55.8659217877, 1.79e-07, -3.03258825237e-12, -3.06811347163e-12, 0.0115788479117
55.3250345781, 1.8075e-07, -2.95260621102e-12, -2.98747909833e-12, 0.0116730146606
54.7945205479, 1.825e-07, -2.87541237136e-12, -2.90965109186e-12, 0.0117672942294
54.2740841248, 1.8425e-07, -2.80089142275e-12, -2.8345077562e-12, 0.0118596724173
53.7634408602, 1.86e-07, -2.72892143358e-12, -2.76193371225e-12, 0.0119525962997
53.2623169108, 1.8775e-07, -2.65939625561e-12, -2.69181951565e-12, 0.0120451092123
52.7704485488, 1.895e-07, -2.5922122899e-12, -2.62406130092e-12, 0.0121372968723
52.2875816993, 1.9125e-07, -2.52726915746e-12, -2.55856045201e-12, 0.0122300391704
51.8134715026, 1.93e-07, -2.46448061068e-12, -2.49522329303e-12, 0.0123206137272
51.3478818999, 1.9475e-07, -2.40374944175e-12, -2.43396079953e-12, 0.0124124257814
