# L (m), R (m), T (K), P_Drude (mPa), P_Plasma (mPa), P_PFA_Drude (mPa), P_PFA_Plasma (mPa)
6.65e-07, 5e-05, 295, -5.04276482839, -5.57111198475, -5.06674658068, -5.61373947259
6.7e-07, 5e-05, 295, -4.89542082429, -5.41263949361, -4.91875501338, -5.45433295144
6.75e-07, 5e-05, 295, -4.75336808556, -5.25976751671, -4.77607502736, -5.30055345206
6.8e-07, 5e-05, 295, -4.616203445, -5.11207648938, -4.63848049649, -5.15216402623
6.85e-07, 5e-05, 295, -4.48407384016, -4.96971448434, -4.50575642327, -5.00893929696
6.9e-07, 5e-05, 295, -4.35658160857, -4.83226826118, -4.37769831803, -4.8706648168
6.95e-07, 5e-05, 295, -4.23345263656, -4.69945096224, -4.25411161659, -4.73713646528
7e-07, 5e-05, 295, -4.11457561531, -4.57114547916, -4.134811134, -4.60815988423
7.05e-07, 5e-05, 295, -3.99997613164, -4.44737493946, -4.01962055201, -4.48354994718
7.1e-07, 5e-05, 295, -3.88912134296, -4.32758610364, -3.90837193744, -4.36313026118
7.15e-07, 5e-05, 295, -3.78210720026, -4.21187548955, -3.80090529018, -4.2467326986
7.2e-07, 5e-05, 295, -3.67870261287, -4.10000168204, -3.69706811823, -4.13419695726
7.25e-07, 5e-05, 295, -3.57877013261, -3.99182012488, -3.59671503814, -4.02537014622
7.3e-07, 5e-05, 295, -3.48217154519, -3.88718547144, -3.49970739921, -3.92010639664
7.35e-07, 5e-05, 295, -3.3887701306, -3.78595420097, -3.40591293007, -3.8182664952
7.4e-07, 5e-05, 295, -3.29845613223, -3.68800998718, -3.3152054056, -3.71971753902
7.45e-07, 5e-05, 295, -3.21108604815, -3.59320305139, -3.22746433366, -3.6243326105
7.5e-07, 5e-05, 295, -3.12655532523, -3.50142247206, -3.14257465974, -3.53199047121
7.55e-07, 5e-05, 295, -3.04482267671, -3.41262399181, -3.06042648869, -3.44257527272
7.6e-07, 5e-05, 295, -2.9655455821, -3.32645023437, -2.98091482232, -3.35597628447
7.65e-07, 5e-05, 295, -2.88896024604, -3.24314495627, -2.90393931189, -3.27208763674
7.7e-07, 5e-05, 295, -2.81480575736, -3.1624357712, -2.82940402472, -3.1908080781
7.75e-07, 5e-05, 295, -2.74282208431, -3.08405073146, -2.75721722365, -3.11204074641
7.8e-07, 5e-05, 295, -2.67332104419, -3.00831302793, -2.68729115897, -3.03569295249
7.85e-07, 5e-05, 295, -2.60576029833, -2.93465648614, -2.61954187192, -2.96167597592
